"","2014","2015"
"Ethnicity","%","%"
"All","50.7","52.4"
"Asian","52.8","55.7"
"Black","53.7","54.0"
"Chinese","51.3","56.2"
"Mixed","50.1","54.3"
"White","50.7","52.5"
"Other","49.2","50.2"
"Unknown","48.5","50.3"
