"Title","Languages spoken other than English"
"Location","England and Wales"
"Time period","2011"
"Data source","2011 Census"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/language/articles/languageinenglandandwales/2013-03-04"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","March 2013"

"Language","'000s"
"English (English or Welsh in Wales)","49,808"
"Polish","546"
"Panjabi","273"
"Urdu","269"
"Bengali (with Sylheti and Chatgaya)","221"
"Gujarati","213"
"Arabic","159"
"French","147"
"Chinese (other than Mandarin and Cantonese)","141"
"Portuguese","133"
"Spanish","120"
