"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","69","83"
"Asian","78","85"
"Bangladeshi","78","83"
"Indian","81","89"
"Pakistani","76","81"
"Asian other","80","85"
"Black","78","84"
"Black African","80","85"
"Black Caribbean","74","81"
"Black other","74","81"
"Chinese","77","89"
"Mixed","73","85"
"Mixed White/Asian","72","87"
"Mixed White/Black African","77","83"
"Mixed White/Black Caribbean","70","81"
"Mixed other","73","85"
"White","66","82"
"White British","66","83"
"White Irish","60","84"
"White Irish Traveller","35","47"
"White Gypsy/Roma","37","37"
"White other","69","79"
"Other","76","80"
