"","Asian","","Black","","Mixed","","White","","Other",""
"Age group","%","Sample size","%","Sample size","%","Sample size","%","Sample size","%","Sample size"
"All","79","5,323","71","2,775","70","1,032","78","92,637","78","817"
"16-24","77","578","61","263","68","211","77","6,273","68","102"
"25-34","78","1,348","72","536","73","272","77","12,544","83","186"
"35-44","79","1,523","77","709","65","222","77","13,929","81","225"
"45-54","78","814","69","639","70","151","76","16,024","74","128"
"55-64","82","539","75","336","71","90","76","15,390","77","87"
"65-74","87","352","78","163","86","54","78","15,912","87","62"
"75+","84","169","77","129","?","32","85","12,565","?","27"
