"Title","Confidence in the local police by ethnicity and age"
"Location","England and Wales"
"Time period","2014/15 to 2016/17 (3 years combined)"
"Data source","Crime Survey for England and Wales"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","20/07/2017"

"Standard Ethnicity","Age group","%","Sample size"
"Asian","All","79","5,323"
"Asian","16-24","77","578"
"Asian","25-34","78","1,348"
"Asian","35-44","79","1,523"
"Asian","45-54","78","814"
"Asian","55-64","82","539"
"Asian","65-74","87","352"
"Asian","75+","84","169"
"Black","All","71","2,775"
"Black","16-24","61","263"
"Black","25-34","72","536"
"Black","35-44","77","709"
"Black","45-54","69","639"
"Black","55-64","75","336"
"Black","65-74","78","163"
"Black","75+","77","129"
"Mixed","All","70","1,032"
"Mixed","16-24","68","211"
"Mixed","25-34","73","272"
"Mixed","35-44","65","222"
"Mixed","45-54","70","151"
"Mixed","55-64","71","90"
"Mixed","65-74","86","54"
"Mixed","75+","?","32"
"White","All","78","92,637"
"White","16-24","77","6,273"
"White","25-34","77","12,544"
"White","35-44","77","13,929"
"White","45-54","76","16,024"
"White","55-64","76","15,390"
"White","65-74","78","15,912"
"White","75+","85","12,565"
"Other","All","78","817"
"Other","16-24","68","102"
"Other","25-34","83","186"
"Other","35-44","81","225"
"Other","45-54","74","128"
"Other","55-64","77","87"
"Other","65-74","87","62"
"Other","75+","?","27"
