"","White British","","","All other ethnic groups","",""
"Age group","%","Private renters","All households","%","Private renters","All households"
" 16 - 24 yrs old","64"," 349,592 "," 547,604 ","78"," 163,159 "," 209,064 "
" 25 - 34 yrs old","40"," 959,728 "," 2,400,150 ","62"," 546,719 "," 888,814 "
" 35 - 44 yrs old","21"," 613,464 "," 2,909,500 ","37"," 384,650 "," 1,043,931 "
" 45 - 54 yrs old","12"," 454,510 "," 3,746,787 ","24"," 193,390 "," 795,069 "
" 55 - 64 yrs old","9"," 293,670 "," 3,240,797 ","17"," 74,074 "," 426,164 "
" 65 yrs old or over","5"," 324,525 "," 5,963,859 ","9"," 41,457 "," 445,322 "
