"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Court/Tribunal","Court/Tribunal type","Count","Percentage"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2011","Court Judges","Heads of Division","2","40"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2011","Court Judges","Lords Justices of Appeal","10","26.3"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2011","Court Judges","High Court Judges","11","11.3"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2011","Court Judges","Deputy High Court Judges","37","56.1"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2011","Court Judges","Judge Advocates, Deputy Judge Advocates","0","0"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2011","Court Judges","Masters, Registrars, Costs Judges","7","21.9"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2011","Court Judges","Deputy Masters, Deputy Registrars, Deputy Costs Judges","25","43.1"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2011","Court Judges","Circuit Judges","60","9.4"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2011","Court Judges","Recorders","193","21"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2011","Court Judges","District Judges (County Courts)","27","6.2"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2011","Court Judges","Deputy District Judges (County Courts)","105","17.6"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2011","Court Judges","District Judges (Magistrates' Courts)","19","13.8"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2011","Court Judges","Deputy District Judges (Magistrates' Courts)","27","25.5"
"Number of judges and judiciary members","01/04/2017","Date","Other","ONS 5+1 2011","Court Judges","All","28","1.1"
"Number of judges and judiciary members","01/04/2017","Date","Asian","ONS 5+1 2011","Court Judges","All","78","3"
"Number of judges and judiciary members","01/04/2017","Date","Black","ONS 5+1 2011","Court Judges","All","28","1.1"
"Number of judges and judiciary members","01/04/2017","Date","Mixed","ONS 5+1 2011","Court Judges","All","39","1.5"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2011","Court Judges","All","523","16.7"
"Number of judges and judiciary members","01/04/2017","Date","White","ONS 5+1 2011","Court Judges","All","2438","93.4"
"Number of judges and judiciary members","01/04/2017","Date","White","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","13","100"
"Number of judges and judiciary members","01/04/2017","Date","White","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","54","85.7"
"Number of judges and judiciary members","01/04/2017","Date","White","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","16","76.2"
"Number of judges and judiciary members","01/04/2017","Date","White","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","1079","89.3"
"Number of judges and judiciary members","01/04/2017","Date","White","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","17","89.5"
"Number of judges and judiciary members","01/04/2017","Date","White","ONS 5+1 2017","Tribunal Judges","Employment Judge","295","93.1"
"Number of judges and judiciary members","01/04/2017","Date","White","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","11","91.7"
"Number of judges and judiciary members","01/04/2017","Date","White","ONS 5+1 2018","Tribunal non-legal members","non-legal members","2344","83.7"
"Number of judges and judiciary members","01/04/2017","Date","Asian","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents"," - ","0"
"Number of judges and judiciary members","01/04/2017","Date","Asian","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","1","1.6"
"Number of judges and judiciary members","01/04/2017","Date","Asian","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","2","9.5"
"Number of judges and judiciary members","01/04/2017","Date","Asian","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","63","5.2"
"Number of judges and judiciary members","01/04/2017","Date","Asian","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge"," - ","0"
"Number of judges and judiciary members","01/04/2017","Date","Asian","ONS 5+1 2017","Tribunal Judges","Employment Judge","9","2.8"
"Number of judges and judiciary members","01/04/2017","Date","Asian","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge"," - ","0"
"Number of judges and judiciary members","01/04/2017","Date","Asian","ONS 5+1 2018","Tribunal non-legal members","non-legal members","308","11"
"Number of judges and judiciary members","01/04/2017","Date","Black","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents"," - ","0"
"Number of judges and judiciary members","01/04/2017","Date","Black","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","2","3.2"
"Number of judges and judiciary members","01/04/2017","Date","Black","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge"," - ","0"
"Number of judges and judiciary members","01/04/2017","Date","Black","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","21","1.7"
"Number of judges and judiciary members","01/04/2017","Date","Black","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge"," - ","0"
"Number of judges and judiciary members","01/04/2017","Date","Black","ONS 5+1 2017","Tribunal Judges","Employment Judge","8","2.5"
"Number of judges and judiciary members","01/04/2017","Date","Black","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","1","8.3"
"Number of judges and judiciary members","01/04/2017","Date","Black","ONS 5+1 2018","Tribunal non-legal members","non-legal members","66","2.4"
"Number of judges and judiciary members","01/04/2017","Date","Mixed","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents"," - ","0"
"Number of judges and judiciary members","01/04/2017","Date","Mixed","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","5","7.9"
"Number of judges and judiciary members","01/04/2017","Date","Mixed","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","2","9.5"
"Number of judges and judiciary members","01/04/2017","Date","Mixed","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","16","1.3"
"Number of judges and judiciary members","01/04/2017","Date","Mixed","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","2","10.5"
"Number of judges and judiciary members","01/04/2017","Date","Mixed","ONS 5+1 2017","Tribunal Judges","Employment Judge","3","0.9"
"Number of judges and judiciary members","01/04/2017","Date","Mixed","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge"," - ","0"
"Number of judges and judiciary members","01/04/2017","Date","Mixed","ONS 5+1 2018","Tribunal non-legal members","non-legal members","31","1.1"
"Number of judges and judiciary members","01/04/2017","Date","Other","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents"," - ","0"
"Number of judges and judiciary members","01/04/2017","Date","Other","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","1","1.6"
"Number of judges and judiciary members","01/04/2017","Date","Other","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","1","4.8"
"Number of judges and judiciary members","01/04/2017","Date","Other","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","29","2.4"
"Number of judges and judiciary members","01/04/2017","Date","Other","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge"," - ","0"
"Number of judges and judiciary members","01/04/2017","Date","Other","ONS 5+1 2017","Tribunal Judges","Employment Judge","2","0.6"
"Number of judges and judiciary members","01/04/2017","Date","Other","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge"," - ","0"
"Number of judges and judiciary members","01/04/2017","Date","Other","ONS 5+1 2018","Tribunal non-legal members","non-legal members","50","1.8"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","1","7.1"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","4","6"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","4","16"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","107","8.1"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","10","34.5"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2017","Tribunal Judges","Employment Judge","7","2.2"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge"," - ","0"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2018","Tribunal non-legal members","non-legal members","328","10.5"
"Number of judges and judiciary members","01/04/2017","Date","Other","ONS 5+1 2011","Tribunal Judges","All","33","2"
"Number of judges and judiciary members","01/04/2017","Date","Asian","ONS 5+1 2011","Tribunal Judges","All","75","4.5"
"Number of judges and judiciary members","01/04/2017","Date","Black","ONS 5+1 2011","Tribunal Judges","All","32","1.9"
"Number of judges and judiciary members","01/04/2017","Date","Mixed","ONS 5+1 2011","Tribunal Judges","All","28","1.7"
"Number of judges and judiciary members","01/04/2017","Date","Unknown","ONS 5+1 2011","Tribunal Judges","All","133","7.4"
"Number of judges and judiciary members","01/04/2017","Date","White","ONS 5+1 2011","Tribunal Judges","All","1485","89.8"
"Number of judges and judiciary members","01/04/2016","Date","White","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","13","100"
"Number of judges and judiciary members","01/04/2016","Date","White","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","65","85.5"
"Number of judges and judiciary members","01/04/2016","Date","White","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","19","90.5"
"Number of judges and judiciary members","01/04/2016","Date","White","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","1154","89.2"
"Number of judges and judiciary members","01/04/2016","Date","White","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","12","92.3"
"Number of judges and judiciary members","01/04/2016","Date","White","ONS 5+1 2017","Tribunal Judges","Employment Judge","307","93"
"Number of judges and judiciary members","01/04/2016","Date","White","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","10","90.9"
"Number of judges and judiciary members","01/04/2016","Date","White","ONS 5+1 2018","Tribunal non-legal members","non-legal members","2531","84.3"
"Number of judges and judiciary members","01/04/2016","Date","Asian","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0","0"
"Number of judges and judiciary members","01/04/2016","Date","Asian","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","3","3.9"
"Number of judges and judiciary members","01/04/2016","Date","Asian","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","0","0"
"Number of judges and judiciary members","01/04/2016","Date","Asian","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","65","5"
"Number of judges and judiciary members","01/04/2016","Date","Asian","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","0","0"
"Number of judges and judiciary members","01/04/2016","Date","Asian","ONS 5+1 2017","Tribunal Judges","Employment Judge","9","2.7"
"Number of judges and judiciary members","01/04/2016","Date","Asian","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0","0"
"Number of judges and judiciary members","01/04/2016","Date","Asian","ONS 5+1 2018","Tribunal non-legal members","non-legal members","311","10.4"
"Number of judges and judiciary members","01/04/2016","Date","Black","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0","0"
"Number of judges and judiciary members","01/04/2016","Date","Black","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","2","2.6"
"Number of judges and judiciary members","01/04/2016","Date","Black","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","1","4.8"
"Number of judges and judiciary members","01/04/2016","Date","Black","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","22","1.7"
"Number of judges and judiciary members","01/04/2016","Date","Black","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","0","0"
"Number of judges and judiciary members","01/04/2016","Date","Black","ONS 5+1 2017","Tribunal Judges","Employment Judge","8","2.4"
"Number of judges and judiciary members","01/04/2016","Date","Black","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","1","9.1"
"Number of judges and judiciary members","01/04/2016","Date","Black","ONS 5+1 2018","Tribunal non-legal members","non-legal members","71","2.4"
"Number of judges and judiciary members","01/04/2016","Date","Mixed","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0","0"
"Number of judges and judiciary members","01/04/2016","Date","Mixed","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","5","6.6"
"Number of judges and judiciary members","01/04/2016","Date","Mixed","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","1","4.8"
"Number of judges and judiciary members","01/04/2016","Date","Mixed","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","18","1.4"
"Number of judges and judiciary members","01/04/2016","Date","Mixed","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","1","7.7"
"Number of judges and judiciary members","01/04/2016","Date","Mixed","ONS 5+1 2017","Tribunal Judges","Employment Judge","4","1.2"
"Number of judges and judiciary members","01/04/2016","Date","Mixed","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0","0"
"Number of judges and judiciary members","01/04/2016","Date","Mixed","ONS 5+1 2018","Tribunal non-legal members","non-legal members","35","1.2"
"Number of judges and judiciary members","01/04/2016","Date","Other","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0","0"
"Number of judges and judiciary members","01/04/2016","Date","Other","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","1","1.3"
"Number of judges and judiciary members","01/04/2016","Date","Other","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","0","0"
"Number of judges and judiciary members","01/04/2016","Date","Other","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","34","2.6"
"Number of judges and judiciary members","01/04/2016","Date","Other","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","0","0"
"Number of judges and judiciary members","01/04/2016","Date","Other","ONS 5+1 2017","Tribunal Judges","Employment Judge","2","0.6"
"Number of judges and judiciary members","01/04/2016","Date","Other","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0","0"
"Number of judges and judiciary members","01/04/2016","Date","Other","ONS 5+1 2018","Tribunal non-legal members","non-legal members","53","1.8"
"Number of judges and judiciary members","01/04/2016","Date","Unknown","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","1","7.1"
"Number of judges and judiciary members","01/04/2016","Date","Unknown","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","3","3.8"
"Number of judges and judiciary members","01/04/2016","Date","Unknown","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","3","12.5"
"Number of judges and judiciary members","01/04/2016","Date","Unknown","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","118","8.4"
"Number of judges and judiciary members","01/04/2016","Date","Unknown","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","4","23.5"
"Number of judges and judiciary members","01/04/2016","Date","Unknown","ONS 5+1 2017","Tribunal Judges","Employment Judge","8","2.4"
"Number of judges and judiciary members","01/04/2016","Date","Unknown","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0","0"
"Number of judges and judiciary members","01/04/2016","Date","Unknown","ONS 5+1 2018","Tribunal non-legal members","non-legal members","465","13.4"
"Number of judges and judiciary members","01/04/2016","Date","Other","ONS 5+1 2011","Tribunal Judges","All","37","2.1"
"Number of judges and judiciary members","01/04/2016","Date","Asian","ONS 5+1 2011","Tribunal Judges","All","77","4.4"
"Number of judges and judiciary members","01/04/2016","Date","Black","ONS 5+1 2011","Tribunal Judges","All","34","1.9"
"Number of judges and judiciary members","01/04/2016","Date","Mixed","ONS 5+1 2011","Tribunal Judges","All","29","1.7"
"Number of judges and judiciary members","01/04/2016","Date","Unknown","ONS 5+1 2011","Tribunal Judges","All","137","7.2"
"Number of judges and judiciary members","01/04/2016","Date","White","ONS 5+1 2011","Tribunal Judges","All","1580","89.9"
"Number of judges and judiciary members","01/04/2015","Date","White","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","13","100"
"Number of judges and judiciary members","01/04/2015","Date","White","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","64","87.7"
"Number of judges and judiciary members","01/04/2015","Date","White","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","17","89.5"
"Number of judges and judiciary members","01/04/2015","Date","White","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","1239","89.7"
"Number of judges and judiciary members","01/04/2015","Date","White","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","12","92.3"
"Number of judges and judiciary members","01/04/2015","Date","White","ONS 5+1 2017","Tribunal Judges","Employment Judge","328","93.7"
"Number of judges and judiciary members","01/04/2015","Date","White","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","10","90.9"
"Number of judges and judiciary members","01/04/2015","Date","White","ONS 5+1 2018","Tribunal Judges","Lawyer Chairman  (Rent Assessment Panel)","8","-"
"Number of judges and judiciary members","01/04/2015","Date","White","ONS 5+1 2018","Tribunal non-legal members","non-legal members","2722","84.2"
"Number of judges and judiciary members","01/04/2015","Date","Asian","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0","0"
"Number of judges and judiciary members","01/04/2015","Date","Asian","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","3","4.1"
"Number of judges and judiciary members","01/04/2015","Date","Asian","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","0","0"
"Number of judges and judiciary members","01/04/2015","Date","Asian","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","64","4.6"
"Number of judges and judiciary members","01/04/2015","Date","Asian","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","0","0"
"Number of judges and judiciary members","01/04/2015","Date","Asian","ONS 5+1 2017","Tribunal Judges","Employment Judge","9","2.6"
"Number of judges and judiciary members","01/04/2015","Date","Asian","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0","0"
"Number of judges and judiciary members","01/04/2015","Date","Asian","ONS 5+1 2018","Tribunal Judges","Lawyer Chairman  (Rent Assessment Panel)","0","-"
"Number of judges and judiciary members","01/04/2015","Date","Asian","ONS 5+1 2018","Tribunal non-legal members","non-legal members","341","10.6"
"Number of judges and judiciary members","01/04/2015","Date","Black","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0","0"
"Number of judges and judiciary members","01/04/2015","Date","Black","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","1","1.4"
"Number of judges and judiciary members","01/04/2015","Date","Black","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","0","0"
"Number of judges and judiciary members","01/04/2015","Date","Black","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","23","1.7"
"Number of judges and judiciary members","01/04/2015","Date","Black","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","0","0"
"Number of judges and judiciary members","01/04/2015","Date","Black","ONS 5+1 2017","Tribunal Judges","Employment Judge","8","2.3"
"Number of judges and judiciary members","01/04/2015","Date","Black","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","1","9.1"
"Number of judges and judiciary members","01/04/2015","Date","Black","ONS 5+1 2018","Tribunal Judges","Lawyer Chairman  (Rent Assessment Panel)","0","-"
"Number of judges and judiciary members","01/04/2015","Date","Black","ONS 5+1 2018","Tribunal non-legal members","non-legal members","67","2.1"
"Number of judges and judiciary members","01/04/2015","Date","Mixed","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0","0"
"Number of judges and judiciary members","01/04/2015","Date","Mixed","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","4","5.5"
"Number of judges and judiciary members","01/04/2015","Date","Mixed","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","1","5.3"
"Number of judges and judiciary members","01/04/2015","Date","Mixed","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","18","1.3"
"Number of judges and judiciary members","01/04/2015","Date","Mixed","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","1","7.7"
"Number of judges and judiciary members","01/04/2015","Date","Mixed","ONS 5+1 2017","Tribunal Judges","Employment Judge","3","0.9"
"Number of judges and judiciary members","01/04/2015","Date","Mixed","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0","0"
"Number of judges and judiciary members","01/04/2015","Date","Mixed","ONS 5+1 2018","Tribunal Judges","Lawyer Chairman  (Rent Assessment Panel)","0","-"
"Number of judges and judiciary members","01/04/2015","Date","Mixed","ONS 5+1 2018","Tribunal non-legal members","non-legal members","36","1.1"
"Number of judges and judiciary members","01/04/2015","Date","Other","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0","0"
"Number of judges and judiciary members","01/04/2015","Date","Other","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","1","1.4"
"Number of judges and judiciary members","01/04/2015","Date","Other","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","1","5.3"
"Number of judges and judiciary members","01/04/2015","Date","Other","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","37","2.7"
"Number of judges and judiciary members","01/04/2015","Date","Other","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","0","0"
"Number of judges and judiciary members","01/04/2015","Date","Other","ONS 5+1 2017","Tribunal Judges","Employment Judge","2","0.6"
"Number of judges and judiciary members","01/04/2015","Date","Other","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0","0"
"Number of judges and judiciary members","01/04/2015","Date","Other","ONS 5+1 2018","Tribunal Judges","Lawyer Chairman  (Rent Assessment Panel)","0","-"
"Number of judges and judiciary members","01/04/2015","Date","Other","ONS 5+1 2018","Tribunal non-legal members","non-legal members","65","2"
"Number of judges and judiciary members","01/04/2015","Date","Unknown","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","1","7.1"
"Number of judges and judiciary members","01/04/2015","Date","Unknown","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","4","5.2"
"Number of judges and judiciary members","01/04/2015","Date","Unknown","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","0","0"
"Number of judges and judiciary members","01/04/2015","Date","Unknown","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","113","7.6"
"Number of judges and judiciary members","01/04/2015","Date","Unknown","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","3","18.8"
"Number of judges and judiciary members","01/04/2015","Date","Unknown","ONS 5+1 2017","Tribunal Judges","Employment Judge","9","2.5"
"Number of judges and judiciary members","01/04/2015","Date","Unknown","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0","0"
"Number of judges and judiciary members","01/04/2015","Date","Unknown","ONS 5+1 2018","Tribunal Judges","Lawyer Chairman  (Rent Assessment Panel)","6","42.9"
"Number of judges and judiciary members","01/04/2015","Date","Unknown","ONS 5+1 2018","Tribunal non-legal members","non-legal members","420","11.5"
"Number of judges and judiciary members","01/04/2015","Date","Other","ONS 5+1 2011","Tribunal Judges","All","41","2.2"
"Number of judges and judiciary members","01/04/2015","Date","Asian","ONS 5+1 2011","Tribunal Judges","All","76","4.1"
"Number of judges and judiciary members","01/04/2015","Date","Black","ONS 5+1 2011","Tribunal Judges","All","33","1.8"
"Number of judges and judiciary members","01/04/2015","Date","Mixed","ONS 5+1 2011","Tribunal Judges","All","27","1.4"
"Number of judges and judiciary members","01/04/2015","Date","Unknown","ONS 5+1 2011","Tribunal Judges","All","136","6.8"
"Number of judges and judiciary members","01/04/2015","Date","White","ONS 5+1 2011","Tribunal Judges","All","1691","90.5"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2011","Court Judges","Heads of Division","4","-"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2011","Court Judges","Lords Justices of Appeal","28","93.3"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2011","Court Judges","High Court Judges","84","96.6"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2011","Court Judges","Deputy High Court Judges","38","86.4"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2011","Court Judges","Judge Advocates, Deputy Judge Advocates","6","-"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2011","Court Judges","Masters, Registrars, Costs Judges","19","95"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2011","Court Judges","Deputy Masters, Deputy Registrars, Deputy Costs Judges","20","100"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2011","Court Judges","Circuit Judges","571","96"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2011","Court Judges","Recorders","605","91.8"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2011","Court Judges","District Judges (County Courts)","342","91.4"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2011","Court Judges","Deputy District Judges (County Courts)","445","92.7"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2011","Court Judges","District Judges (Magistrates' Courts)","114","92.7"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2011","Court Judges","Deputy District Judges (Magistrates' Courts)","62","92.5"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2011","Court Judges","Heads of Division","0","-"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2011","Court Judges","Lords Justices of Appeal","1","3.3"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2011","Court Judges","High Court Judges","2","2.3"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2011","Court Judges","Deputy High Court Judges","2","4.5"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2011","Court Judges","Judge Advocates, Deputy Judge Advocates","0","-"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2011","Court Judges","Masters, Registrars, Costs Judges","1","5"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2011","Court Judges","Deputy Masters, Deputy Registrars, Deputy Costs Judges","0","0"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2011","Court Judges","Circuit Judges","11","1.8"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2011","Court Judges","Recorders","19","2.9"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2011","Court Judges","District Judges (County Courts)","20","5.3"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2011","Court Judges","Deputy District Judges (County Courts)","13","2.7"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2011","Court Judges","District Judges (Magistrates' Courts)","7","5.7"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2011","Court Judges","Deputy District Judges (Magistrates' Courts)","2","3"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2011","Court Judges","Heads of Division","0","-"
