"Title","Percentage of apprenticeships by ethnicity"
"Location","England"
"Time period","2008/09 to 2015/16"
"Data source","Apprenticeship statistics https://www.gov.uk/government/statistical-data-sets/fe-data-library-apprenticeships"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value"
"Apprenticeship participation","2008/09","Academic Year","Asian","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3.1"
"Apprenticeship participation","2008/09","Academic Year","Black","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.8"
"Apprenticeship participation","2008/09","Academic Year","Mixed","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.4"
"Apprenticeship participation","2008/09","Academic Year","White","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","92.4"
"Apprenticeship participation","2008/09","Academic Year","Other","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.4"
"Apprenticeship participation","2008/09","Academic Year","Not known/not provided","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.9"
"Apprenticeship participation","2008/09","Academic Year","Ethnic minority (excl. White minorities)","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6.7"
"Apprenticeship participation","2009/10","Academic Year","Asian","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.9"
"Apprenticeship participation","2009/10","Academic Year","Black","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2"
"Apprenticeship participation","2009/10","Academic Year","Mixed","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.6"
"Apprenticeship participation","2009/10","Academic Year","White","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","92.1"
"Apprenticeship participation","2009/10","Academic Year","Other","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.5"
"Apprenticeship participation","2009/10","Academic Year","Not known/not provided","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.8"
"Apprenticeship participation","2009/10","Academic Year","Ethnic minority (excl. White minorities)","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","7"
"Apprenticeship participation","2010/11","Academic Year","Asian","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3.7"
"Apprenticeship participation","2010/11","Academic Year","Black","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.7"
"Apprenticeship participation","2010/11","Academic Year","Mixed","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.7"
"Apprenticeship participation","2010/11","Academic Year","White","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","90.5"
"Apprenticeship participation","2010/11","Academic Year","Other","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.6"
"Apprenticeship participation","2010/11","Academic Year","Not known/not provided","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.8"
"Apprenticeship participation","2010/11","Academic Year","Ethnic minority (excl. White minorities)","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","8.7"
"Apprenticeship participation","2011/12","Academic Year","Asian","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3.9"
"Apprenticeship participation","2011/12","Academic Year","Black","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3.2"
"Apprenticeship participation","2011/12","Academic Year","Mixed","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.8"
"Apprenticeship participation","2011/12","Academic Year","White","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","89.6"
"Apprenticeship participation","2011/12","Academic Year","Other","2001 ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.7"
