"Title","Representation of ethnic groups in apprenticeships"
"Location","England"
"Time period","2008/09 to 2015/16"
"Data source","Apprenticeship statistics https://www.gov.uk/government/statistical-data-sets/fe-data-library-apprenticeships"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Value","Grouping"
"White","84.6%","Population (2015 estimate)"
"Black","3.7%","Population (2015 estimate)"
"Asian","8.2%","Population (2015 estimate)"
"Mixed","2.6%","Population (2015 estimate)"
"Other","1.1%","Population (2015 estimate)"
"White","88.0%","Apprentices"
"Black","3.5%","Apprentices"
"Asian","4.3%","Apprentices"
"Mixed","2.1%","Apprentices"
"Other","0.7%","Apprentices"
