"Title","People feeling strongly they belong to Britain, by ethnicity"
"Location","England"
"Time period"," 2016/17 to 2017/18"
"Data source","Community Life Survey"
"Data source link","https://www.gov.uk/government/collections/community-life-survey--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26/07/2018"

"Time","Ethnicity","%","Number of respondents"
"2016/17","All","85","7,343"
"2016/17","Asian","84","993"
"2016/17","Black","81","197"
"2016/17","Mixed","79","143"
"2016/17","White","85","5,821"
"2016/17","Other","68","120"
"2017/18","All","85","7,537"
"2017/18","Asian","84","859"
"2017/18","Black","82","233"
"2017/18","Mixed","73","197"
"2017/18","White","86","6,107"
"2017/18","Other","79","85"
