"","2016/17","","2017/18",""
"","%","Number of respondents","%","Number of respondents"
"All","85","7,343","85","7,537"
"Asian","84","993","84","859"
"Black","81","197","82","233"
"Mixed","79","143","73","197"
"White","85","5,821","86","6,107"
"Other","68","120","79","85"
