"Title","Armed forces workforce"
"Time period","2012 to 2017"
"Location","Other"
"Source","UK armed forces biannual diversity statistics"
"Department","Ministry of Defence"
"Last update","June 2017"
"
"
"Service","Rank","Eth","Year","%","Number","Number_Note","Note"
"Maritime Reserve","Other Ranks","White","Oct-16",97.2,2200,NA,NA
"Royal Air Force Reserve","All Ranks","All","Apr-12",NA,NA,"..",NA
"Royal Air Force Reserve","All Ranks","All","Apr-13",NA,1540,NA,NA
"Royal Air Force Reserve","All Ranks","All","Apr-14",NA,1720,NA,NA
"Royal Air Force Reserve","All Ranks","All","Apr-15",NA,2220,NA,NA
"Royal Air Force Reserve","All Ranks","All","Apr-16",NA,2540,NA,NA
"Royal Air Force Reserve","All Ranks","All","Apr-17",NA,2730,NA,NA
"Royal Air Force Reserve","All Ranks","All","Oct-12",NA,1520,NA,NA
"Royal Air Force Reserve","All Ranks","All","Oct-13",NA,1570,NA,NA
"Royal Air Force Reserve","All Ranks","All","Oct-14",NA,1850,NA,NA
"Royal Air Force Reserve","All Ranks","All","Oct-15",NA,2430,NA,NA
"Royal Air Force Reserve","All Ranks","All","Oct-16",NA,2650,NA,NA
"Royal Air Force Reserve","All Ranks","BAME","Apr-12",NA,NA,"..",".."
"Royal Air Force Reserve","All Ranks","BAME","Apr-13",3.3,50,NA,NA
"Royal Air Force Reserve","All Ranks","BAME","Apr-14",3.8,60,NA,NA
"Royal Air Force Reserve","All Ranks","BAME","Apr-15",3.9,80,NA,NA
"Royal Air Force Reserve","All Ranks","BAME","Apr-16",3.9,90,NA,NA
"Royal Air Force Reserve","All Ranks","BAME","Apr-17",4.5,120,NA,NA
"Royal Air Force Reserve","All Ranks","BAME","Oct-12",3.3,40,NA,NA
"Royal Air Force Reserve","All Ranks","BAME","Oct-13",3.7,50,NA,NA
"Royal Air Force Reserve","All Ranks","BAME","Oct-14",4.1,70,NA,NA
"Royal Air Force Reserve","All Ranks","BAME","Oct-15",3.9,90,NA,NA
"Royal Air Force Reserve","All Ranks","BAME","Oct-16",4.3,110,NA,NA
"Royal Air Force Reserve","All Ranks","Unknown","Apr-12",NA,NA,"..",".."
"Royal Air Force Reserve","All Ranks","Unknown","Apr-13",NA,130,NA,"*"
"Royal Air Force Reserve","All Ranks","Unknown","Apr-14",NA,140,NA,"*"
"Royal Air Force Reserve","All Ranks","Unknown","Apr-15",NA,150,NA,"*"
"Royal Air Force Reserve","All Ranks","Unknown","Apr-16",NA,140,NA,"*"
"Royal Air Force Reserve","All Ranks","Unknown","Apr-17",NA,100,NA,"*"
"Royal Air Force Reserve","All Ranks","Unknown","Oct-12",NA,140,NA,"*"
"Royal Air Force Reserve","All Ranks","Unknown","Oct-13",NA,120,NA,"*"
"Royal Air Force Reserve","All Ranks","Unknown","Oct-14",NA,150,NA,"*"
"Royal Air Force Reserve","All Ranks","Unknown","Oct-15",NA,150,NA,"*"
"Royal Air Force Reserve","All Ranks","Unknown","Oct-16",NA,110,NA,"*"
"Royal Air Force Reserve","All Ranks","White","Apr-12",NA,NA,"..",".."
"Royal Air Force Reserve","All Ranks","White","Apr-13",96.7,1360,NA,NA
"Royal Air Force Reserve","All Ranks","White","Apr-14",96.2,1520,NA,NA
"Royal Air Force Reserve","All Ranks","White","Apr-15",96.1,1990,NA,NA
"Royal Air Force Reserve","All Ranks","White","Apr-16",96.1,2310,NA,NA
"Royal Air Force Reserve","All Ranks","White","Apr-17",95.5,2500,NA,NA
"Royal Air Force Reserve","All Ranks","White","Oct-12",96.7,1330,NA,NA
"Royal Air Force Reserve","All Ranks","White","Oct-13",96.3,1390,NA,NA
"Royal Air Force Reserve","All Ranks","White","Oct-14",95.9,1630,NA,NA
"Royal Air Force Reserve","All Ranks","White","Oct-15",96.1,2190,NA,NA
"Royal Air Force Reserve","All Ranks","White","Oct-16",95.7,2440,NA,NA
"Royal Air Force Reserve","Officers","All","Apr-12",NA,NA,"..",NA
"Royal Air Force Reserve","Officers","All","Apr-13",NA,220,NA,NA
"Royal Air Force Reserve","Officers","All","Apr-14",NA,290,NA,NA
"Royal Air Force Reserve","Officers","All","Apr-15",NA,340,NA,NA
"Royal Air Force Reserve","Officers","All","Apr-16",NA,390,NA,NA
"Royal Air Force Reserve","Officers","All","Apr-17",NA,430,NA,NA
"Royal Air Force Reserve","Officers","All","Oct-12",NA,210,NA,NA
"Royal Air Force Reserve","Officers","All","Oct-13",NA,240,NA,NA
"Royal Air Force Reserve","Officers","All","Oct-14",NA,300,NA,NA
"Royal Air Force Reserve","Officers","All","Oct-15",NA,360,NA,NA
"Royal Air Force Reserve","Officers","All","Oct-16",NA,390,NA,NA
"Royal Air Force Reserve","Officers","BAME","Apr-12",NA,NA,"..",".."
"Royal Air Force Reserve","Officers","BAME","Apr-13",3.3,10,NA,NA
"Royal Air Force Reserve","Officers","BAME","Apr-14",2.9,10,NA,NA
"Royal Air Force Reserve","Officers","BAME","Apr-15",NA,NA,"~","~"
"Royal Air Force Reserve","Officers","BAME","Apr-16",2.6,10,NA,NA
"Royal Air Force Reserve","Officers","BAME","Apr-17",2.6,10,NA,NA
"Royal Air Force Reserve","Officers","BAME","Oct-12",3.5,10,NA,NA
"Royal Air Force Reserve","Officers","BAME","Oct-13",3.5,10,NA,NA
"Royal Air Force Reserve","Officers","BAME","Oct-14",2.7,10,NA,NA
"Royal Air Force Reserve","Officers","BAME","Oct-15",1.9,10,NA,NA
"Royal Air Force Reserve","Officers","BAME","Oct-16",2.6,10,NA,NA
"Royal Air Force Reserve","Officers","Unknown","Apr-12",NA,NA,"..",".."
"Royal Air Force Reserve","Officers","Unknown","Apr-13",NA,40,NA,"*"
"Royal Air Force Reserve","Officers","Unknown","Apr-14",NA,40,NA,"*"
"Royal Air Force Reserve","Officers","Unknown","Apr-15",NA,40,NA,"*"
"Royal Air Force Reserve","Officers","Unknown","Apr-16",NA,40,NA,"*"
"Royal Air Force Reserve","Officers","Unknown","Apr-17",NA,40,NA,"*"
"Royal Air Force Reserve","Officers","Unknown","Oct-12",NA,40,NA,"*"
"Royal Air Force Reserve","Officers","Unknown","Oct-13",NA,40,NA,"*"
"Royal Air Force Reserve","Officers","Unknown","Oct-14",NA,40,NA,"*"
"Royal Air Force Reserve","Officers","Unknown","Oct-15",NA,40,NA,"*"
"Royal Air Force Reserve","Officers","Unknown","Oct-16",NA,40,NA,"*"
"Royal Air Force Reserve","Officers","White","Apr-12",NA,NA,"..",".."
"Royal Air Force Reserve","Officers","White","Apr-13",96.7,180,NA,NA
"Royal Air Force Reserve","Officers","White","Apr-14",97.1,240,NA,NA
"Royal Air Force Reserve","Officers","White","Apr-15",98.3,290,NA,NA
"Royal Air Force Reserve","Officers","White","Apr-16",97.4,340,NA,NA
"Royal Air Force Reserve","Officers","White","Apr-17",97.4,380,NA,NA
"Royal Air Force Reserve","Officers","White","Oct-12",96.5,160,NA,NA
"Royal Air Force Reserve","Officers","White","Oct-13",96.5,190,NA,NA
"Royal Air Force Reserve","Officers","White","Oct-14",97.3,250,NA,NA
"Royal Air Force Reserve","Officers","White","Oct-15",98.1,310,NA,NA
"Royal Air Force Reserve","Officers","White","Oct-16",97.4,340,NA,NA
"Royal Air Force Reserve","Other Ranks","All","Apr-12",NA,NA,"..",NA
"Royal Air Force Reserve","Other Ranks","All","Apr-13",NA,1320,NA,NA
"Royal Air Force Reserve","Other Ranks","All","Apr-14",NA,1430,NA,NA
"Royal Air Force Reserve","Other Ranks","All","Apr-15",NA,1880,NA,NA
"Royal Air Force Reserve","Other Ranks","All","Apr-16",NA,2160,NA,NA
"Royal Air Force Reserve","Other Ranks","All","Apr-17",NA,2300,NA,NA
"Royal Air Force Reserve","Other Ranks","All","Oct-12",NA,1310,NA,NA
"Royal Air Force Reserve","Other Ranks","All","Oct-13",NA,1330,NA,NA
"Royal Air Force Reserve","Other Ranks","All","Oct-14",NA,1540,NA,NA
"Royal Air Force Reserve","Other Ranks","All","Oct-15",NA,2070,NA,NA
"Royal Air Force Reserve","Other Ranks","All","Oct-16",NA,2260,NA,NA
"Royal Air Force Reserve","Other Ranks","BAME","Apr-12",NA,NA,"..",".."
"Royal Air Force Reserve","Other Ranks","BAME","Apr-13",3.3,40,NA,NA
"Royal Air Force Reserve","Other Ranks","BAME","Apr-14",4,50,NA,NA
"Royal Air Force Reserve","Other Ranks","BAME","Apr-15",4.2,80,NA,NA
"Royal Air Force Reserve","Other Ranks","BAME","Apr-16",4.1,80,NA,NA
"Royal Air Force Reserve","Other Ranks","BAME","Apr-17",4.9,110,NA,NA
"Royal Air Force Reserve","Other Ranks","BAME","Oct-12",3.2,40,NA,NA
"Royal Air Force Reserve","Other Ranks","BAME","Oct-13",3.7,50,NA,NA
"Royal Air Force Reserve","Other Ranks","BAME","Oct-14",4.3,60,NA,NA
"Royal Air Force Reserve","Other Ranks","BAME","Oct-15",4.2,80,NA,NA
"Royal Air Force Reserve","Other Ranks","BAME","Oct-16",4.6,100,NA,NA
"Royal Air Force Reserve","Other Ranks","Unknown","Apr-12",NA,NA,"..",".."
"Royal Air Force Reserve","Other Ranks","Unknown","Apr-13",NA,90,NA,"*"
"Royal Air Force Reserve","Other Ranks","Unknown","Apr-14",NA,90,NA,"*"
"Royal Air Force Reserve","Other Ranks","Unknown","Apr-15",NA,100,NA,"*"
"Royal Air Force Reserve","Other Ranks","Unknown","Apr-16",NA,100,NA,"*"
"Royal Air Force Reserve","Other Ranks","Unknown","Apr-17",NA,60,NA,"*"
"Royal Air Force Reserve","Other Ranks","Unknown","Oct-12",NA,100,NA,"*"
"Royal Air Force Reserve","Other Ranks","Unknown","Oct-13",NA,80,NA,"*"
"Royal Air Force Reserve","Other Ranks","Unknown","Oct-14",NA,100,NA,"*"
"Royal Air Force Reserve","Other Ranks","Unknown","Oct-15",NA,110,NA,"*"
"Royal Air Force Reserve","Other Ranks","Unknown","Oct-16",NA,70,NA,"*"
"Royal Air Force Reserve","Other Ranks","White","Apr-12",NA,NA,"..",".."
"Royal Air Force Reserve","Other Ranks","White","Apr-13",96.7,1190,NA,NA
"Royal Air Force Reserve","Other Ranks","White","Apr-14",96,1290,NA,NA
"Royal Air Force Reserve","Other Ranks","White","Apr-15",95.8,1700,NA,NA
"Royal Air Force Reserve","Other Ranks","White","Apr-16",95.9,1970,NA,NA
"Royal Air Force Reserve","Other Ranks","White","Apr-17",95.1,2130,NA,NA
"Royal Air Force Reserve","Other Ranks","White","Oct-12",96.8,1170,NA,NA
"Royal Air Force Reserve","Other Ranks","White","Oct-13",96.3,1200,NA,NA
"Royal Air Force Reserve","Other Ranks","White","Oct-14",95.7,1380,NA,NA
"Royal Air Force Reserve","Other Ranks","White","Oct-15",95.8,1880,NA,NA
"Royal Air Force Reserve","Other Ranks","White","Oct-16",95.4,2100,NA,NA
