"Title","Judges and non-legal members by ethnicity"
"Location","United Kingdom"
"Time period","April 2016"
"Data source","Judicial Statistics"
"Data source link","https://www.judiciary.gov.uk/publications/judicial-statistics-2016/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28 July 2016 (revised 2 December 2016)"

"Standard Ethnicity","Court/Tribunal",""
"Asian","Court","79"
"Asian","Tribunal","390"
"Black","Court","26"
"Black","Tribunal","106"
"Mixed","Court","41"
"Mixed","Tribunal","64"
"White","Court","2,506"
"White","Tribunal","4,130"
"Other","Court","28"
"Other","Tribunal","90"
"Unknown","Court","522"
"Unknown","Tribunal","662"
