"Title","Confidence in the police by ethnicity and age"
"Location","England and Wales"
"Time period","2013/14 to 2015/16 (3 years combined)"
"Data source","Crime Survey for England and Wales https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Time_type","Ethnicity","Ethnicity_type","Age Group","Age Bracket Type","Value","Denominator"
"3 years combined","Asian","ONS 5+1","16-24","ONS age brackets","76","567"
"3 years combined","Asian","ONS 5+1","25-34","ONS age brackets","77","1354"
"3 years combined","Asian","ONS 5+1","35-44","ONS age brackets","80","1450"
"3 years combined","Asian","ONS 5+1","45-54","ONS age brackets","77","797"
"3 years combined","Asian","ONS 5+1","55-64","ONS age brackets","83","540"
"3 years combined","Asian","ONS 5+1","65-74","ONS age brackets","84","351"
"3 years combined","Asian","ONS 5+1","75+","ONS age brackets","87","142"
"3 years combined","Black","ONS 5+1","16-24","ONS age brackets","63","282"
"3 years combined","Black","ONS 5+1","25-34","ONS age brackets","69","534"
"3 years combined","Black","ONS 5+1","35-44","ONS age brackets","78","713"
"3 years combined","Black","ONS 5+1","45-54","ONS age brackets","67","610"
"3 years combined","Black","ONS 5+1","55-64","ONS age brackets","78","282"
"3 years combined","Black","ONS 5+1","65-74","ONS age brackets","80","162"
"3 years combined","Black","ONS 5+1","75+","ONS age brackets","84","139"
"3 years combined","Mixed","ONS 5+1","16-24","ONS age brackets","70","204"
"3 years combined","Mixed","ONS 5+1","25-34","ONS age brackets","71","254"
"3 years combined","Mixed","ONS 5+1","35-44","ONS age brackets","63","223"
"3 years combined","Mixed","ONS 5+1","45-54","ONS age brackets","64","158"
"3 years combined","Mixed","ONS 5+1","55-64","ONS age brackets","74","71"
"3 years combined","Mixed","ONS 5+1","65-74","ONS age brackets","81","61"
"3 years combined","Mixed","ONS 5+1","75+","ONS age brackets","?","28"
"3 years combined","Other","ONS 5+1","16-24","ONS age brackets","73","89"
"3 years combined","Other","ONS 5+1","25-34","ONS age brackets","82","176"
"3 years combined","Other","ONS 5+1","35-44","ONS age brackets","81","193"
"3 years combined","Other","ONS 5+1","45-54","ONS age brackets","74","112"
"3 years combined","Other","ONS 5+1","55-64","ONS age brackets","72","63"
"3 years combined","Other","ONS 5+1","65-74","ONS age brackets","?","43"
"3 years combined","Other","ONS 5+1","75+","ONS age brackets","?","28"
"3 years combined","White","ONS 5+1","16-24","ONS age brackets","75","6515"
"3 years combined","White","ONS 5+1","25-34","ONS age brackets","76","12583"
"3 years combined","White","ONS 5+1","35-44","ONS age brackets","76","14087"
"3 years combined","White","ONS 5+1","45-54","ONS age brackets","75","16020"
"3 years combined","White","ONS 5+1","55-64","ONS age brackets","75","15576"
"3 years combined","White","ONS 5+1","65-74","ONS age brackets","78","15692"
"3 years combined","White","ONS 5+1","75+","ONS age brackets","84","12796"
