"Title","Confidence in the police by ethnicity and socio-economic group"
"Location","England and Wales"
"Time period","2013/14 to 2015/16 (3 years combined)"
"Data source","Crime Survey for England and Wales https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Socio-economic classification","Income","Age Bracket","Age Bracket Type","Value","Denominator"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","Managerial and professional occupations","All","All","ONS age brackets","78","1639"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","Intermediate occupations","All","All","ONS age brackets","76","1070"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","Routine and manual occupations","All","All","ONS age brackets","79","1454"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","Never worked and long-term unemployed","All","All","ONS age brackets","85","578"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","Full-time students","All","All","ONS age brackets","79","420"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","Not classified","All","All","ONS age brackets","?","40"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","Managerial and professional occupations","All","All","ONS age brackets","69","794"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","Intermediate occupations","All","All","ONS age brackets","69","467"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","Routine and manual occupations","All","All","ONS age brackets","76","985"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","Never worked and long-term unemployed","All","All","ONS age brackets","73","231"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","Full-time students","All","All","ONS age brackets","65","223"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","Not classified","All","All","ONS age brackets","?","22"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","Managerial and professional occupations","All","All","ONS age brackets","65","335"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","Intermediate occupations","All","All","ONS age brackets","74","198"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","Routine and manual occupations","All","All","ONS age brackets","64","307"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","Never worked and long-term unemployed","All","All","ONS age brackets","75","55"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","Full-time students","All","All","ONS age brackets","80","99"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","Not classified","All","All","ONS age brackets","?","5"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","Managerial and professional occupations","All","All","ONS age brackets","77","194"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","Intermediate occupations","All","All","ONS age brackets","75","123"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","Routine and manual occupations","All","All","ONS age brackets","81","177"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","Never worked and long-term unemployed","All","All","ONS age brackets","82","104"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","Full-time students","All","All","ONS age brackets","77","105"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Other","ONS 5+1","Not classified","All","All","ONS age brackets","?","1"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","Managerial and professional occupations","All","All","ONS age brackets","80","32012"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","Intermediate occupations","All","All","ONS age brackets","77","22083"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","Routine and manual occupations","All","All","ONS age brackets","74","33433"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","Never worked and long-term unemployed","All","All","ONS age brackets","69","2801"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","Full-time students","All","All","ONS age brackets","80","2448"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","White","ONS 5+1","Not classified","All","All","ONS age brackets","73","492"
