"Title","Confidence in the police by ethnicity"
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","Crime Survey for England and Wales https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Time","Time_type","Ethnicity","Ethnicity_type","Value","Denominator"
"2013/14","Year","All","All","76","35075"
"2013/14","Year","Any other asian","ONS 18+1","82","344"
"2013/14","Year","Any other black background","ONS 18+1","?","45"
"2013/14","Year","Any other ethnic group","ONS 18+1","76","144"
"2013/14","Year","Any other mixed/multiple ethnic background","ONS 18+1","74","92"
"2013/14","Year","Any other white background","ONS 18+1","81","1558"
"2013/14","Year","Arab","ONS 18+1","79","88"
"2013/14","Year","Asian","ONS 5+1","79","1805"
"2013/14","Year","Bangladeshi","ONS 18+1","71","137"
"2013/14","Year","Black","ONS 5+1","70","946"
"2013/14","Year","Black african","ONS 18+1","75","555"
"2013/14","Year","Black caribbean","ONS 18+1","62","346"
"2013/14","Year","Chinese","ONS 18+1","77","168"
"2013/14","Year","Gypsy or Irish traveller","ONS 18+1","?","12"
"2013/14","Year","Indian","ONS 18+1","83","759"
"2013/14","Year","Mixed","ONS 5+1","72","336"
"2013/14","Year","Mixed white and asian","ONS 18+1","75","80"
"2013/14","Year","Mixed white and black african","ONS 18+1","?","46"
"2013/14","Year","Mixed white and black caribbean","ONS 18+1","69","118"
"2013/14","Year","Other","ONS 5+1","77","232"
"2013/14","Year","Pakistani","ONS 18+1","72","397"
"2013/14","Year","White","ONS 5+1","76","31725"
"2013/14","Year","White British","ONS 18+1","75","29836"
"2013/14","Year","White Irish","ONS 18+1","81","319"
"2014/15","Year","All","All","76","33015"
"2014/15","Year","Any other asian","ONS 18+1","81","320"
"2014/15","Year","Any other black background","ONS 18+1","65","57"
"2014/15","Year","Any other ethnic group","ONS 18+1","73","149"
"2014/15","Year","Any other mixed/multiple ethnic background","ONS 18+1","59","75"
"2014/15","Year","Any other white background","ONS 18+1","81","1403"
"2014/15","Year","Arab","ONS 18+1","82","82"
"2014/15","Year","Asian","ONS 5+1","78","1626"
"2014/15","Year","Bangladeshi","ONS 18+1","82","122"
"2014/15","Year","Black","ONS 5+1","71","894"
"2014/15","Year","Black african","ONS 18+1","77","523"
"2014/15","Year","Black caribbean","ONS 18+1","60","314"
"2014/15","Year","Chinese","ONS 18+1","77","134"
"2014/15","Year","Gypsy or Irish traveller","ONS 18+1","?","10"
"2014/15","Year","Indian","ONS 18+1","81","665"
"2014/15","Year","Mixed","ONS 5+1","64","304"
"2014/15","Year","Mixed white and asian","ONS 18+1","73","87"
"2014/15","Year","Mixed white and black african","ONS 18+1","?","44"
"2014/15","Year","Mixed white and black caribbean","ONS 18+1","68","98"
"2014/15","Year","Other","ONS 5+1","77","231"
"2014/15","Year","Pakistani","ONS 18+1","71","385"
"2014/15","Year","White","ONS 5+1","76","29917"
"2014/15","Year","White British","ONS 18+1","75","28209"
"2014/15","Year","White Irish","ONS 18+1","80","295"
"2015/16","Year","All","All","78","34922"
"2015/16","Year","Any other asian","ONS 18+1","84","329"
"2015/16","Year","Any other black background","ONS 18+1","62","61"
"2015/16","Year","Any other ethnic group","ONS 18+1","81","155"
"2015/16","Year","Any other mixed/multiple ethnic background","ONS 18+1","72","90"
"2015/16","Year","Any other white background","ONS 18+1","85","1641"
"2015/16","Year","Arab","ONS 18+1","80","86"
"2015/16","Year","Asian","ONS 5+1","79","1770"
"2015/16","Year","Bangladeshi","ONS 18+1","77","133"
"2015/16","Year","Black","ONS 5+1","73","882"
"2015/16","Year","Black african","ONS 18+1","79","518"
"2015/16","Year","Black caribbean","ONS 18+1","62","303"
"2015/16","Year","Chinese","ONS 18+1","80","171"
"2015/16","Year","Gypsy or Irish traveller","ONS 18+1","?","15"
"2015/16","Year","Indian","ONS 18+1","81","712"
"2015/16","Year","Mixed","ONS 5+1","72","359"
"2015/16","Year","Mixed white and asian","ONS 18+1","76","93"
"2015/16","Year","Mixed white and black african","ONS 18+1","?","44"
"2015/16","Year","Mixed white and black caribbean","ONS 18+1","66","132"
"2015/16","Year","Other","ONS 5+1","81","241"
"2015/16","Year","Pakistani","ONS 18+1","75","425"
"2015/16","Year","White","ONS 5+1","79","31627"
"2015/16","Year","White British","ONS 18+1","78","29685"
"2015/16","Year","White Irish","ONS 18+1","80","286"
