"","Asian","","Black","","Mixed","","White","","Other inc Chinese","","Unknown",""
"Year","Assaults per 1,000 prisoners","Number","Assaults per 1,000 prisoners","Number","Assaults per 1,000 prisoners","Number","Assaults per 1,000 prisoners","Number","Assaults per 1,000 prisoners","Number","Assaults per 1,000 prisoners","Number"
"2012","70","454","180","2,009","182","579","72","4,458","77","94","N/A","211"
"2013","95","619","188","2,031","216","703","77","4,787","111","111","N/A","145"
"2014","89","592","217","2,325","262","905","95","5,914","120","123","N/A","80"
"2015","118","810","285","3,017","336","1,177","127","8,026","163","160","N/A","60"
"2016","150","1,032","339","3,549","405","1,465","167","10,442","221","225","N/A","69"
