"","Assailant","","Fighter","","Victim",""
"Ethnicity","Incidents per 1,000 prisoners","Number of incidents","Incidents per 1,000 prisoners","Number of incidents","Incidents per 1,000 prisoners","Number of incidents"
"Asian","150","1,032","146","1,002","132","906"
"Black","339","3,549","334","3,506","153","1,604"
"Mixed","405","1,465","376","1,359","209","757"
"White","167","10,442","149","9,339","136","8,493"
"Other inc Chinese","221","225","199","202","122","124"
"Unknown","N/A","69","N/A","58","N/A","57"
