"Ethnicity","Year","Assaults per 1,000 prisoners","Number"
"Asian","2012","70","454"
"Asian","2013","95","619"
"Asian","2014","89","592"
"Asian","2015","118","810"
"Asian","2016","150","1,032"
"Black","2012","180","2,009"
"Black","2013","188","2,031"
"Black","2014","217","2,325"
"Black","2015","285","3,017"
"Black","2016","339","3,549"
"Mixed","2012","182","579"
"Mixed","2013","216","703"
"Mixed","2014","262","905"
"Mixed","2015","336","1,177"
"Mixed","2016","405","1,465"
"White","2012","72","4,458"
"White","2013","77","4,787"
"White","2014","95","5,914"
"White","2015","127","8,026"
"White","2016","167","10,442"
"Other inc Chinese","2012","77","94"
"Other inc Chinese","2013","111","111"
"Other inc Chinese","2014","120","123"
"Other inc Chinese","2015","163","160"
"Other inc Chinese","2016","221","225"
"Unknown","2012","N/A","211"
"Unknown","2013","N/A","145"
"Unknown","2014","N/A","80"
"Unknown","2015","N/A","60"
"Unknown","2016","N/A","69"
