"Title","Young people given youth cautions by ethnicity"
"Location","England and Wales"
"Time period","2005/06 to 2015/16"
"Data source","Youth justice statistics https://www.gov.uk/government/collections/youth-justice-statistics"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Year","Ethnic Group","Number of Cautions","Percentage"
"2005/06","Asian","4,216","3.60%"
"2005/06","Black","6,820","5.90%"
"2005/06","Other","927","0.80%"
"2005/06","Unknown","6,172","*N/A"
"2005/06","White","104,147","89.70%"
"2006/07","Asian","4,578","3.70%"
"2006/07","Black","7,569","6.10%"
"2006/07","Other","1,284","1.00%"
"2006/07","Unknown","8,411","*N/A"
"2006/07","White","109,818","89.10%"
"2007/08","Asian","4,314","3.80%"
"2007/08","Black","7,081","6.30%"
"2007/08","Other","1,154","1.00%"
"2007/08","Unknown","7,157","*N/A"
"2007/08","White","100,552","88.90%"
"2008/09","Asian","3,775","4.30%"
"2008/09","Black","5,867","6.60%"
"2008/09","Other","1,040","1.20%"
"2008/09","Unknown","4,850","*N/A"
"2008/09","White","78,124","88.00%"
"2009/10","Asian","2,812","4.20%"
"2009/10","Black","4,484","6.70%"
"2009/10","Other","839","1.30%"
"2009/10","Unknown","3,910","*N/A"
"2009/10","White","58,689","87.80%"
"2010/11","Asian","1,977","4.10%"
"2010/11","Black","3,429","7.10%"
"2010/11","Other","593","1.20%"
"2010/11","Unknown","2,131","*N/A"
"2010/11","White","42,484","87.60%"
"2011/12","Asian","1,649","4.00%"
"2011/12","Black","2,940","7.20%"
"2011/12","Other","315","0.80%"
"2011/12","Unknown","1,248","*N/A"
"2011/12","White","36,061","88.00%"
"2012/13","Asian","1,157","3.80%"
"2012/13","Black","2,179","7.20%"
"2012/13","Other","233","0.80%"
"2012/13","Unknown","1,056","*N/A"
"2012/13","White","26,626","88.20%"
"2013/14","Asian","998","3.80%"
"2013/14","Black","1,930","7.40%"
"2013/14","Other","190","0.70%"
"2013/14","Unknown","1,025","*N/A"
"2013/14","White","22,872","88.00%"
"2014/15","Asian","866","4.20%"
"2014/15","Black","1,809","8.80%"
"2014/15","Other","137","0.70%"
"2014/15","Unknown","1,210","*N/A"
"2014/15","White","17,719","86.30%"
"2015/16","Asian","706","4.20%"
"2015/16","Black","1,545","9.30%"
"2015/16","Other","93","0.60%"
"2015/16","Unknown","1,435","*N/A"
"2015/16","White","14,269","85.90%"
