"Ethnicity","Socio-economic group","%","Overcrowded households","All households"
"White British","Higher managerial, administrative and professional occupations","1"," 59,423 "," 7,583,359 "
"White British","Intermediate occupations","2"," 65,141 "," 3,908,430 "
"White British","Routine and manual occupations","3"," 162,790 "," 6,274,838 "
"All other ethnic groups","Higher managerial, administrative and professional occupations","6"," 87,153 "," 1,376,604 "
"All other ethnic groups","Intermediate occupations","11"," 80,223 "," 734,328 "
"All other ethnic groups","Routine and manual occupations","11"," 146,653 "," 1,283,093 "
