"","White British","","","All other ethnic groups","",""
"Socio-economic group","%","Overcrowded households","All households","%","Overcrowded households","All households"
"Higher managerial, administrative and professional occupations","1"," 59,423 "," 7,583,359 ","6"," 87,153 "," 1,376,604 "
"Intermediate occupations","2"," 65,141 "," 3,908,430 ","11"," 80,223 "," 734,328 "
"Routine and manual occupations","3"," 162,790 "," 6,274,838 ","11"," 146,653 "," 1,283,093 "
