"","All","","Asian","","Black","","White","","Other",""
"Time","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents"
"2005/06","76","28,117","67","2,080","74","1,322","77","24,038","73","645"
"2010/11","76","14,102","64","796","74","423","77","12,617","67","238"
"2015/16","76","10,171","59","434","70","242","78","9,312","78","174"
