"Standard Ethnicity","Local authority","Boys","Girls"
"All","Barking and Dagenham","78","85"
"All","Barnet","81","87"
"All","Barnsley","76","83"
"All","Bath and North East Somerset","84","87"
"All","Bedford","75","82"
"All","Bexley","83","89"
"All","Birmingham","74","80"
"All","Blackburn with Darwen","78","84"
"All","Blackpool","79","82"
"All","Bolton","77","82"
"All","Bournemouth","84","86"
"All","Bracknell Forest","81","85"
"All","Bradford","75","81"
"All","Brent","77","83"
"All","Brighton and Hove","84","88"
"All","Bristol, City of","79","81"
"All","Bromley","86","90"
"All","Buckinghamshire","82","87"
"All","Bury","79","81"
"All","Calderdale","76","81"
"All","Cambridgeshire","80","83"
"All","Camden","80","85"
"All","Central Bedfordshire","81","87"
"All","Cheshire East","80","86"
"All","Cheshire West and Chester","81","85"
"All","City of London","!","!"
"All","Cornwall","84","86"
"All","County Durham","82","87"
"All","Coventry","75","82"
"All","Croydon","82","88"
"All","Cumbria","81","86"
"All","Darlington","78","86"
"All","Derby","75","80"
"All","Derbyshire","82","88"
"All","Devon","83","86"
"All","Doncaster","79","82"
"All","Dorset","82","86"
"All","Dudley","76","83"
"All","Ealing","79","86"
"All","East Riding of Yorkshire","84","88"
"All","East Sussex","84","87"
"All","Enfield","74","80"
"All","Essex","81","86"
"All","Gateshead","79","85"
"All","Gloucestershire","81","86"
"All","Greenwich","83","88"
"All","Hackney","81","87"
"All","Halton","73","79"
"All","Hammersmith and Fulham","80","86"
"All","Hampshire","87","90"
"All","Haringey","81","87"
"All","Harrow","83","88"
"All","Hartlepool","78","83"
"All","Havering","86","87"
"All","Herefordshire, County of","83","88"
"All","Hertfordshire","83","88"
"All","Hillingdon","81","86"
"All","Hounslow","82","91"
"All","Isle of Wight","78","85"
"All","Isles of Scilly","!","!"
"All","Islington","77","82"
"All","Kensington and Chelsea","86","86"
"All","Kent","84","89"
"All","Kingston upon Hull, City of","78","83"
"All","Kingston upon Thames","85","89"
"All","Kirklees","75","81"
"All","Knowsley","77","82"
"All","Lambeth","81","88"
"All","Lancashire","80","85"
"All","Leeds","74","79"
"All","Leicester","75","81"
"All","Leicestershire","81","86"
"All","Lewisham","85","89"
"All","Lincolnshire","81","85"
"All","Liverpool","71","77"
"All","Luton","75","80"
"All","Manchester","73","81"
"All","Medway","79","86"
"All","Merton","85","87"
"All","Middlesbrough","73","79"
"All","Milton Keynes","80","88"
"All","Newcastle upon Tyne","78","83"
"All","Newham","80","86"
"All","Norfolk","82","86"
"All","North East Lincolnshire","82","82"
"All","North Lincolnshire","81","86"
"All","North Somerset","86","91"
"All","North Tyneside","80","88"
"All","North Yorkshire","81","85"
"All","Northamptonshire","79","85"
"All","Northumberland","84","88"
"All","Nottingham","73","80"
"All","Nottinghamshire","80","85"
"All","Oldham","73","79"
"All","Oxfordshire","83","87"
"All","Peterborough","74","81"
"All","Plymouth","79","83"
"All","Poole","83","88"
"All","Portsmouth","80","86"
"All","Reading","78","83"
"All","Redbridge","80","86"
"All","Redcar and Cleveland","80","88"
"All","Richmond upon Thames","90","92"
"All","Rochdale","75","81"
"All","Rotherham","77","83"
"All","Rutland","88","88"
"All","Salford","80","87"
"All","Sandwell","74","81"
"All","Sefton","81","86"
"All","Sheffield","78","83"
"All","Shropshire","82","88"
"All","Slough","77","86"
"All","Solihull","81","88"
"All","Somerset","84","89"
"All","South Gloucestershire","85","90"
"All","South Tyneside","77","83"
"All","Southampton","77","82"
"All","Southend-on-Sea","84","88"
"All","Southwark","80","87"
"All","St. Helens","74","82"
"All","Staffordshire","83","87"
"All","Stockport","82","88"
"All","Stockton-on-Tees","83","88"
"All","Stoke-on-Trent","75","81"
"All","Suffolk","80","84"
"All","Sunderland","80","86"
"All","Surrey","85","88"
"All","Sutton","83","86"
"All","Swindon","80","86"
"All","Tameside","76","84"
"All","Telford and Wrekin","80","86"
"All","Thurrock","77","82"
"All","Torbay","79","83"
"All","Tower Hamlets","79","84"
"All","Trafford","86","90"
"All","Wakefield","77","83"
"All","Walsall","73","81"
"All","Waltham Forest","82","89"
"All","Wandsworth","85","88"
"All","Warrington","86","88"
"All","Warwickshire","82","87"
"All","West Berkshire","84","89"
"All","West Sussex","78","81"
"All","Westminster","79","84"
"All","Wigan","80","85"
"All","Wiltshire","81","84"
"All","Windsor and Maidenhead","87","91"
"All","Wirral","79","84"
"All","Wokingham","89","93"
"All","Wolverhampton","76","83"
"All","Worcestershire","83","86"
"All","York","84","89"
"Asian","Barking and Dagenham","84","89"
"Asian","Barnet","81","93"
"Asian","Barnsley","67","100"
"Asian","Bath and North East Somerset","80","77"
"Asian","Bedford","70","76"
"Asian","Bexley","89","91"
"Asian","Birmingham","75","82"
"Asian","Blackburn with Darwen","80","86"
"Asian","Blackpool","79","!"
"Asian","Bolton","80","83"
"Asian","Bournemouth","76","91"
"Asian","Bracknell Forest","89","91"
"Asian","Bradford","74","81"
"Asian","Brent","77","85"
"Asian","Brighton and Hove","74","72"
"Asian","Bristol, City of","78","84"
"Asian","Bromley","89","88"
"Asian","Buckinghamshire","74","80"
"Asian","Bury","72","73"
"Asian","Calderdale","69","67"
"Asian","Cambridgeshire","73","80"
"Asian","Camden","72","80"
"Asian","Central Bedfordshire","85","84"
"Asian","Cheshire East","!","86"
"Asian","Cheshire West and Chester","75","84"
"Asian","City of London","!","!"
"Asian","Cornwall","!","67"
"Asian","County Durham","74","82"
"Asian","Coventry","82","85"
"Asian","Croydon","84","92"
"Asian","Cumbria","!","82"
"Asian","Darlington","60","71"
"Asian","Derby","76","78"
"Asian","Derbyshire","82","86"
"Asian","Devon","81","85"
"Asian","Doncaster","70","87"
"Asian","Dorset","82","86"
"Asian","Dudley","69","80"
"Asian","Ealing","80","84"
"Asian","East Riding of Yorkshire","!","!"
"Asian","East Sussex","79","85"
"Asian","Enfield","83","89"
"Asian","Essex","88","88"
"Asian","Gateshead","75","!"
"Asian","Gloucestershire","79","83"
"Asian","Greenwich","88","91"
"Asian","Hackney","87","85"
"Asian","Halton","!","!"
"Asian","Hammersmith and Fulham","!","!"
"Asian","Hampshire","86","89"
"Asian","Haringey","83","88"
"Asian","Harrow","88","92"
"Asian","Hartlepool","!","!"
"Asian","Havering","87","87"
"Asian","Herefordshire, County of","!","!"
"Asian","Hertfordshire","83","90"
"Asian","Hillingdon","83","90"
"Asian","Hounslow","85","94"
"Asian","Isle of Wight","!","!"
"Asian","Isles of Scilly","!","!"
"Asian","Islington","75","84"
"Asian","Kensington and Chelsea","!","71"
"Asian","Kent","84","90"
"Asian","Kingston upon Hull, City of","75","80"
"Asian","Kingston upon Thames","85","88"
"Asian","Kirklees","72","77"
"Asian","Knowsley","80","100"
"Asian","Lambeth","83","94"
"Asian","Lancashire","72","82"
"Asian","Leeds","71","79"
"Asian","Leicester","82","85"
"Asian","Leicestershire","87","90"
"Asian","Lewisham","80","92"
"Asian","Lincolnshire","90","100"
"Asian","Liverpool","59","79"
"Asian","Luton","74","81"
"Asian","Manchester","72","78"
"Asian","Medway","72","96"
"Asian","Merton","83","89"
"Asian","Middlesbrough","69","77"
"Asian","Milton Keynes","81","92"
"Asian","Newcastle upon Tyne","74","78"
"Asian","Newham","83","86"
"Asian","Norfolk","85","85"
"Asian","North East Lincolnshire","!","!"
"Asian","North Lincolnshire","84","90"
"Asian","North Somerset","77","!"
"Asian","North Tyneside","72","77"
"Asian","North Yorkshire","81","81"
"Asian","Northamptonshire","72","89"
"Asian","Northumberland","!","100"
"Asian","Nottingham","75","83"
"Asian","Nottinghamshire","79","86"
"Asian","Oldham","70","74"
"Asian","Oxfordshire","74","80"
"Asian","Peterborough","73","81"
"Asian","Plymouth","!","!"
"Asian","Poole","73","100"
"Asian","Portsmouth","76","84"
"Asian","Reading","83","83"
"Asian","Redbridge","83","89"
"Asian","Redcar and Cleveland","!","!"
"Asian","Richmond upon Thames","90","96"
"Asian","Rochdale","71","81"
"Asian","Rotherham","74","84"
"Asian","Rutland","!","!"
"Asian","Salford","90","90"
"Asian","Sandwell","75","82"
"Asian","Sefton","!","!"
"Asian","Sheffield","75","81"
"Asian","Shropshire","!","!"
"Asian","Slough","82","88"
"Asian","Solihull","86","88"
"Asian","Somerset","79","85"
"Asian","South Gloucestershire","91","86"
"Asian","South Tyneside","84","!"
"Asian","Southampton","82","87"
"Asian","Southend-on-Sea","76","94"
"Asian","Southwark","73","88"
"Asian","St. Helens","!","!"
"Asian","Staffordshire","84","85"
"Asian","Stockport","74","81"
"Asian","Stockton-on-Tees","73","86"
"Asian","Stoke-on-Trent","76","82"
"Asian","Suffolk","77","90"
"Asian","Sunderland","73","83"
"Asian","Surrey","81","86"
"Asian","Sutton","87","90"
"Asian","Swindon","78","83"
"Asian","Tameside","68","84"
"Asian","Telford and Wrekin","76","86"
"Asian","Thurrock","89","85"
"Asian","Torbay","63","100"
"Asian","Tower Hamlets","79","84"
"Asian","Trafford","83","87"
"Asian","Wakefield","71","73"
"Asian","Walsall","75","83"
"Asian","Waltham Forest","84","90"
"Asian","Wandsworth","84","87"
"Asian","Warrington","89","86"
"Asian","Warwickshire","86","90"
"Asian","West Berkshire","91","89"
"Asian","West Sussex","72","77"
"Asian","Westminster","71","83"
"Asian","Wigan","71","!"
"Asian","Wiltshire","83","76"
"Asian","Windsor and Maidenhead","91","90"
"Asian","Wirral","63","81"
"Asian","Wokingham","91","88"
"Asian","Wolverhampton","81","87"
"Asian","Worcestershire","78","78"
"Asian","York","74","!"
"Black","Barking and Dagenham","80","88"
"Black","Barnet","74","83"
"Black","Barnsley","!","!"
"Black","Bath and North East Somerset","!","100"
"Black","Bedford","!","!"
"Black","Bexley","84","94"
"Black","Birmingham","75","79"
"Black","Blackburn with Darwen","64","!"
"Black","Blackpool","!","!"
"Black","Bolton","59","72"
"Black","Bournemouth","!","100"
"Black","Bracknell Forest","!","!"
"Black","Bradford","!","!"
"Black","Brent","77","85"
"Black","Brighton and Hove","79","84"
"Black","Bristol, City of","69","70"
"Black","Bromley","84","91"
"Black","Buckinghamshire","72","83"
"Black","Bury","75","74"
"Black","Calderdale","!","!"
"Black","Cambridgeshire","62","78"
"Black","Camden","76","86"
"Black","Central Bedfordshire","82","93"
"Black","Cheshire East","!","!"
"Black","Cheshire West and Chester","!","!"
"Black","City of London","!","!"
"Black","Cornwall","N/A","!"
"Black","County Durham","!","!"
"Black","Coventry","73","82"
"Black","Croydon","78","86"
"Black","Cumbria","!","!"
"Black","Darlington","!","!"
"Black","Derby","74","83"
"Black","Derbyshire","64","!"
"Black","Devon","!","!"
"Black","Doncaster","78","83"
"Black","Dorset","!","!"
"Black","Dudley","74","70"
"Black","Ealing","72","79"
"Black","East Riding of Yorkshire","!","!"
"Black","East Sussex","61","!"
"Black","Enfield","72","81"
"Black","Essex","82","86"
"Black","Gateshead","!","!"
"Black","Gloucestershire","85","81"
"Black","Greenwich","81","90"
"Black","Hackney","78","86"
"Black","Halton","N/A","N/A"
"Black","Hammersmith and Fulham","72","83"
"Black","Hampshire","82","85"
"Black","Haringey","78","84"
"Black","Harrow","74","80"
"Black","Hartlepool","!","!"
"Black","Havering","82","92"
"Black","Herefordshire, County of","!","!"
"Black","Hertfordshire","73","85"
"Black","Hillingdon","73","86"
"Black","Hounslow","76","91"
"Black","Isle of Wight","!","!"
"Black","Isles of Scilly","!","!"
"Black","Islington","74","79"
"Black","Kensington and Chelsea","84","83"
"Black","Kent","86","94"
"Black","Kingston upon Hull, City of","61","63"
"Black","Kingston upon Thames","!","82"
"Black","Kirklees","63","84"
"Black","Knowsley","!","!"
"Black","Lambeth","77","87"
"Black","Lancashire","!","!"
"Black","Leeds","65","74"
"Black","Leicester","70","83"
"Black","Leicestershire","64","91"
"Black","Lewisham","83","86"
"Black","Lincolnshire","!","!"
"Black","Liverpool","66","75"
"Black","Luton","73","83"
"Black","Manchester","75","85"
"Black","Medway","85","89"
"Black","Merton","84","89"
"Black","Middlesbrough","!","!"
"Black","Milton Keynes","79","89"
"Black","Newcastle upon Tyne","83","87"
"Black","Newham","79","87"
"Black","Norfolk","79","85"
"Black","North East Lincolnshire","!","!"
"Black","North Lincolnshire","!","!"
"Black","North Somerset","!","!"
"Black","North Tyneside","!","!"
"Black","North Yorkshire","!","!"
"Black","Northamptonshire","75","80"
"Black","Northumberland","N/A","!"
"Black","Nottingham","76","81"
"Black","Nottinghamshire","80","85"
"Black","Oldham","63","74"
"Black","Oxfordshire","79","86"
"Black","Peterborough","73","78"
"Black","Plymouth","!","!"
"Black","Poole","!","!"
"Black","Portsmouth","76","83"
"Black","Reading","78","84"
"Black","Redbridge","80","83"
"Black","Redcar and Cleveland","!","N/A"
"Black","Richmond upon Thames","86","83"
"Black","Rochdale","81","80"
"Black","Rotherham","76","81"
"Black","Rutland","!","!"
