"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Gender","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East","Peterborough","E06000031","All","74","%","3024"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East","Thurrock","E06000034","All","79","%","2397"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East","Central Bedfordshire","E06000056","All","85","%","3402"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East","Norfolk","E10000020","All","85","%","9002"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East","Suffolk","E10000029","All","81","%","7982"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East","Hertfordshire","E10000015","All","85","%","14300"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East","Luton","E06000032","All","77","%","3324"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East","Southend-on-Sea","E06000033","All","82","%","2195"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East","Essex","E10000012","All","83","%","16466"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East","Cambridgeshire","E10000003","All","82","%","7294"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East","Bedford","E06000055","All","81","%","2242"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derby","E06000015","All","75","%","3389"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Leicester","E06000016","All","74","%","4606"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derbyshire","E10000007","All","86","%","8401"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Northamptonshire","E10000021","All","81","%","9418"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Rutland","E06000017","All","86","%","407"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Leicestershire","E10000018","All","85","%","7568"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottinghamshire","E10000024","All","81","%","9264"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottingham","E06000018","All","75","%","3800"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Lincolnshire","E10000019","All","81","%","7964"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","London","Bromley","E09000006","All","87","%","3838"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","London","Greenwich","E09000011","All","86","%","3459"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","London","Islington","E09000019","All","80","%","2033"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","London","Camden","E09000007","All","82","%","1633"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","London","Croydon","E09000008","All","83","%","4753"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","London","Lambeth","E09000022","All","84","%","3195"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","London","Waltham Forest","E09000031","All","86","%","3633"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","London","Lewisham","E09000023","All","84","%","3665"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 5+1","2015/2016","Academic year","London","Haringey","E09000014","All","83","%","3138"
