"Title","Science attainment for children aged 6 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local authority","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls"
"Barking and Dagenham","78","85","84","89","80","88","100","100","72","86","76","83"
"Barnet","81","87","81","93","74","83","80","!","82","90","85","89"
"Barnsley","76","83","67","100","!","!","!","N/A","75","75","76","83"
"Bath and North East Somerset","84","87","80","77","!","100","100","!","83","85","84","87"
"Bedford","75","82","70","76","!","!","!","!","72","83","77","84"
"Bexley","83","89","89","91","84","94","83","100","76","88","83","87"
"Birmingham","74","80","75","82","75","79","90","91","75","84","75","79"
"Blackburn with Darwen","78","84","80","86","64","!","N/A","!","82","90","78","83"
"Blackpool","79","82","79","!","!","!","!","!","92","86","79","82"
"Bolton","77","82","80","83","59","72","!","!","87","87","77","84"
"Bournemouth","84","86","76","91","!","100","100","100","94","94","84","85"
"Bracknell Forest","81","85","89","91","!","!","N/A","100","87","83","81","85"
"Bradford","75","81","74","81","!","!","!","!","70","81","76","81"
"Brent","77","83","77","85","77","85","!","!","!","!","78","85"
"Brighton and Hove","84","88","74","72","79","84","100","!","81","88","85","89"
"Bristol, City of","79","81","78","84","69","70","!","100","75","81","81","83"
"Bromley","86","90","89","88","84","91","91","88","90","89","85","90"
"Buckinghamshire","82","87","74","80","72","83","100","100","84","86","84","89"
"Bury","79","81","72","73","75","74","100","!","75","78","81","84"
"Calderdale","76","81","69","67","!","!","!","!","78","82","78","83"
"Cambridgeshire","80","83","73","80","62","78","!","!","83","84","80","84"
"Camden","80","85","72","80","76","86","!","100","85","90","85","87"
"Central Bedfordshire","81","87","85","84","82","93","100","100","87","86","81","87"
"Cheshire East","80","86","!","86","!","!","!","!","78","87","80","86"
"Cheshire West and Chester","81","85","75","84","!","!","50","!","83","94","81","85"
"City of London","!","!","!","!","!","!","!","!","!","!","!","!"
"Cornwall","84","86","!","67","N/A","!","!","!","85","91","84","86"
"County Durham","82","87","74","82","!","!","!","!","77","88","82","86"
"Coventry","75","82","82","85","73","82","!","100","73","84","75","81"
"Croydon","82","88","84","92","78","86","100","100","82","90","83","89"
"Cumbria","81","86","!","82","!","!","!","!","82","87","81","86"
"Darlington","78","86","60","71","!","!","!","!","!","!","78","87"
"Derby","75","80","76","78","74","83","69","77","77","77","75","81"
"Derbyshire","82","88","82","86","64","!","!","!","78","93","83","88"
"Devon","83","86","81","85","!","!","!","!","87","91","83","86"
"Doncaster","79","82","70","87","78","83","!","!","75","89","80","82"
"Dorset","82","86","82","86","!","!","!","!","78","89","82","86"
"Dudley","76","83","69","80","74","70","!","!","75","78","78","84"
"Ealing","79","86","80","84","72","79","!","!","84","88","84","91"
"East Riding of Yorkshire","84","88","!","!","!","!","N/A","!","91","93","84","88"
"East Sussex","84","87","79","85","61","!","100","!","86","87","85","88"
"Enfield","74","80","83","89","72","81","100","!","74","84","73","77"
"Essex","81","86","88","88","82","86","!","!","80","88","81","86"
"Gateshead","79","85","75","!","!","!","!","!","77","91","80","86"
"Gloucestershire","81","86","79","83","85","81","!","100","79","89","82","86"
"Greenwich","83","88","88","91","81","90","100","100","89","94","82","83"
"Hackney","81","87","87","85","78","86","!","!","81","93","82","88"
"Halton","73","79","!","!","N/A","N/A","!","N/A","!","!","74","79"
"Hammersmith and Fulham","80","86","!","!","72","83","!","!","80","83","86","89"
"Hampshire","87","90","86","89","82","85","!","!","90","92","87","90"
"Haringey","81","87","83","88","78","84","!","!","88","91","80","89"
"Harrow","83","88","88","92","74","80","100","100","87","90","79","86"
"Hartlepool","78","83","!","!","!","!","!","!","!","!","78","84"
"Havering","86","87","87","87","82","92","100","100","85","89","86","87"
"Herefordshire, County of","83","88","!","!","!","!","!","N/A","79","93","83","88"
"Hertfordshire","83","88","83","90","73","85","93","100","82","89","84","89"
"Hillingdon","81","86","83","90","73","86","!","!","84","90","80","84"
"Hounslow","82","91","85","94","76","91","100","!","88","92","82","91"
"Isle of Wight","78","85","!","!","!","!","!","!","76","83","78","85"
"Isles of Scilly","!","!","!","!","!","!","!","!","!","!","!","!"
"Islington","77","82","75","84","74","79","!","!","76","86","79","83"
"Kensington and Chelsea","86","86","!","71","84","83","100","N/A","86","88","90","90"
"Kent","84","89","84","90","86","94","100","!","84","93","84","89"
"Kingston upon Hull, City of","78","83","75","80","61","63","!","!","79","84","79","84"
"Kingston upon Thames","85","89","85","88","!","82","!","!","83","90","86","90"
"Kirklees","75","81","72","77","63","84","!","!","75","79","77","83"
"Knowsley","77","82","80","100","!","!","!","!","71","63","77","82"
"Lambeth","81","88","83","94","77","87","!","100","81","90","84","89"
"Lancashire","80","85","72","82","!","!","!","!","79","83","81","85"
"Leeds","74","79","71","79","65","74","85","!","71","77","76","81"
"Leicester","75","81","82","85","70","83","56","100","79","84","72","78"
"Leicestershire","81","86","87","90","64","91","100","100","82","87","81","86"
"Lewisham","85","89","80","92","83","86","84","!","87","89","88","91"
"Lincolnshire","81","85","90","100","!","!","80","100","81","88","81","84"
"Liverpool","71","77","59","79","66","75","75","90","71","78","73","78"
"Luton","75","80","74","81","73","83","!","!","78","84","76","79"
"Manchester","73","81","72","78","75","85","84","86","76","82","75","82"
