"ethnicity","Local authority","%"
"Asian","North Tyneside","74"
"Asian","North Yorkshire","81"
"Asian","Northamptonshire","81"
"Asian","Northumberland","87"
"Asian","Nottingham","79"
"Asian","Nottinghamshire","82"
"Asian","Oldham","72"
"Asian","Oxfordshire","77"
"Asian","Peterborough","76"
"Asian","Plymouth","89"
"Asian","Poole","87"
"Asian","Portsmouth","79"
"Asian","Reading","83"
"Asian","Redbridge","86"
"Asian","Redcar and Cleveland","!"
"Asian","Richmond upon Thames","93"
"Asian","Rochdale","76"
"Asian","Rotherham","79"
"Asian","Rutland","100"
"Asian","Salford","90"
"Asian","Sandwell","79"
"Asian","Sefton","88"
"Asian","Sheffield","78"
"Asian","Shropshire","82"
"Asian","Slough","85"
"Asian","Solihull","87"
"Asian","Somerset","82"
"Asian","South Gloucestershire","89"
"Asian","South Tyneside","90"
"Asian","Southampton","84"
"Asian","Southend-on-Sea","86"
"Asian","Southwark","80"
"Asian","St. Helens","71"
"Asian","Staffordshire","85"
"Asian","Stockport","77"
"Asian","Stockton-on-Tees","80"
"Asian","Stoke-on-Trent","79"
"Asian","Suffolk","84"
"Asian","Sunderland","79"
"Asian","Surrey","84"
"Asian","Sutton","88"
"Asian","Swindon","80"
"Asian","Tameside","77"
"Asian","Telford and Wrekin","81"
"Asian","Thurrock","87"
"Asian","Torbay","79"
"Asian","Tower Hamlets","82"
"Asian","Trafford","85"
"Asian","Wakefield","73"
"Asian","Walsall","79"
"Asian","Waltham Forest","87"
"Asian","Wandsworth","85"
"Asian","Warrington","88"
"Asian","Warwickshire","88"
"Asian","West Berkshire","90"
"Asian","West Sussex","74"
"Asian","Westminster","78"
"Asian","Wigan","80"
"Asian","Wiltshire","79"
"Asian","Windsor and Maidenhead","90"
"Asian","Wirral","72"
"Asian","Wokingham","90"
"Asian","Wolverhampton","84"
"Asian","Worcestershire","78"
"Asian","York","79"
"Black","Barking and Dagenham","84"
"Black","Barnet","78"
"Black","Barnsley","!"
"Black","Bath and North East Somerset","!"
"Black","Bedford","74"
"Black","Bexley","89"
"Black","Birmingham","77"
"Black","Blackburn with Darwen","69"
"Black","Blackpool","!"
"Black","Bolton","65"
"Black","Bournemouth","!"
"Black","Bracknell Forest","83"
"Black","Bradford","72"
"Black","Brent","81"
"Black","Brighton and Hove","82"
"Black","Bristol, City of","69"
"Black","Bromley","87"
"Black","Buckinghamshire","78"
"Black","Bury","75"
"Black","Calderdale","76"
"Black","Cambridgeshire","70"
"Black","Camden","81"
"Black","Central Bedfordshire","88"
"Black","Cheshire East","80"
"Black","Cheshire West and Chester","80"
"Black","City of London","!"
"Black","Cornwall","!"
"Black","County Durham","!"
"Black","Coventry","77"
"Black","Croydon","82"
"Black","Cumbria","!"
"Black","Darlington","!"
"Black","Derby","78"
"Black","Derbyshire","79"
"Black","Devon","79"
"Black","Doncaster","80"
"Black","Dorset","!"
"Black","Dudley","72"
"Black","Ealing","75"
"Black","East Riding of Yorkshire","!"
"Black","East Sussex","65"
"Black","Enfield","76"
"Black","Essex","84"
"Black","Gateshead","68"
"Black","Gloucestershire","83"
"Black","Greenwich","86"
"Black","Hackney","82"
"Black","Halton","N/A"
"Black","Hammersmith and Fulham","77"
"Black","Hampshire","83"
"Black","Haringey","81"
"Black","Harrow","77"
"Black","Hartlepool","!"
"Black","Havering","87"
"Black","Herefordshire, County of","!"
"Black","Hertfordshire","80"
"Black","Hillingdon","79"
"Black","Hounslow","83"
"Black","Isle of Wight","!"
"Black","Isles of Scilly","!"
"Black","Islington","76"
"Black","Kensington and Chelsea","84"
"Black","Kent","90"
"Black","Kingston upon Hull, City of","62"
"Black","Kingston upon Thames","86"
"Black","Kirklees","74"
"Black","Knowsley","!"
"Black","Lambeth","82"
"Black","Lancashire","77"
"Black","Leeds","70"
"Black","Leicester","77"
"Black","Leicestershire","79"
"Black","Lewisham","85"
"Black","Lincolnshire","86"
"Black","Liverpool","71"
"Black","Luton","77"
"Black","Manchester","80"
"Black","Medway","87"
"Black","Merton","86"
"Black","Middlesbrough","77"
"Black","Milton Keynes","84"
"Black","Newcastle upon Tyne","85"
"Black","Newham","83"
"Black","Norfolk","82"
"Black","North East Lincolnshire","100"
"Black","North Lincolnshire","67"
"Black","North Somerset","!"
"Black","North Tyneside","72"
"Black","North Yorkshire","!"
"Black","Northamptonshire","77"
"Black","Northumberland","!"
"Black","Nottingham","79"
"Black","Nottinghamshire","83"
"Black","Oldham","69"
"Black","Oxfordshire","82"
"Black","Peterborough","76"
"Black","Plymouth","69"
"Black","Poole","100"
"Black","Portsmouth","80"
"Black","Reading","81"
"Black","Redbridge","82"
"Black","Redcar and Cleveland","!"
"Black","Richmond upon Thames","84"
"Black","Rochdale","80"
"Black","Rotherham","79"
"Black","Rutland","!"
"Black","Salford","83"
"Black","Sandwell","75"
"Black","Sefton","!"
"Black","Sheffield","78"
"Black","Shropshire","100"
"Black","Slough","79"
"Black","Solihull","84"
"Black","Somerset","!"
"Black","South Gloucestershire","79"
"Black","South Tyneside","60"
"Black","Southampton","83"
"Black","Southend-on-Sea","86"
"Black","Southwark","84"
"Black","St. Helens","67"
"Black","Staffordshire","90"
"Black","Stockport","77"
"Black","Stockton-on-Tees","91"
"Black","Stoke-on-Trent","81"
"Black","Suffolk","77"
"Black","Sunderland","!"
"Black","Surrey","83"
"Black","Sutton","81"
"Black","Swindon","84"
"Black","Tameside","75"
"Black","Telford and Wrekin","75"
"Black","Thurrock","85"
"Black","Torbay","!"
"Black","Tower Hamlets","83"
"Black","Trafford","79"
"Black","Wakefield","69"
"Black","Walsall","84"
"Black","Waltham Forest","85"
"Black","Wandsworth","77"
"Black","Warrington","!"
"Black","Warwickshire","90"
"Black","West Berkshire","88"
"Black","West Sussex","67"
"Black","Westminster","83"
"Black","Wigan","72"
"Black","Wiltshire","83"
"Black","Windsor and Maidenhead","72"
"Black","Wirral","!"
"Black","Wokingham","70"
"Black","Wolverhampton","82"
"Black","Worcestershire","74"
"Black","York","!"
"Chinese","Barking and Dagenham","100"
"Chinese","Barnet","88"
"Chinese","Barnsley","!"
"Chinese","Bath and North East Somerset","!"
"Chinese","Bedford","100"
"Chinese","Bexley","93"
"Chinese","Birmingham","90"
"Chinese","Blackburn with Darwen","!"
"Chinese","Blackpool","100"
"Chinese","Bolton","!"
"Chinese","Bournemouth","100"
"Chinese","Bracknell Forest","!"
"Chinese","Bradford","!"
"Chinese","Brent","100"
"Chinese","Brighton and Hove","!"
"Chinese","Bristol, City of","!"
"Chinese","Bromley","90"
"Chinese","Buckinghamshire","100"
"Chinese","Bury","!"
"Chinese","Calderdale","!"
"Chinese","Cambridgeshire","93"
"Chinese","Camden","!"
"Chinese","Central Bedfordshire","100"
"Chinese","Cheshire East","!"
"Chinese","Cheshire West and Chester","65"
"Chinese","City of London","!"
"Chinese","Cornwall","!"
"Chinese","County Durham","!"
"Chinese","Coventry","!"
"Chinese","Croydon","100"
"Chinese","Cumbria","69"
"Chinese","Darlington","100"
"Chinese","Derby","73"
"Chinese","Derbyshire","83"
"Chinese","Devon","80"
"Chinese","Doncaster","!"
"Chinese","Dorset","!"
"Chinese","Dudley","79"
"Chinese","Ealing","!"
"Chinese","East Riding of Yorkshire","!"
"Chinese","East Sussex","!"
"Chinese","Enfield","!"
"Chinese","Essex","93"
"Chinese","Gateshead","!"
"Chinese","Gloucestershire","!"
"Chinese","Greenwich","100"
"Chinese","Hackney","79"
"Chinese","Halton","!"
"Chinese","Hammersmith and Fulham","100"
"Chinese","Hampshire","89"
"Chinese","Haringey","85"
"Chinese","Harrow","100"
"Chinese","Hartlepool","100"
"Chinese","Havering","100"
"Chinese","Herefordshire, County of","!"
"Chinese","Hertfordshire","96"
"Chinese","Hillingdon","!"
"Chinese","Hounslow","!"
"Chinese","Isle of Wight","!"
"Chinese","Isles of Scilly","!"
"Chinese","Islington","100"
"Chinese","Kensington and Chelsea","100"
"Chinese","Kent","!"
"Chinese","Kingston upon Hull, City of","!"
"Chinese","Kingston upon Thames","91"
"Chinese","Kirklees","62"
"Chinese","Knowsley","100"
"Chinese","Lambeth","!"
"Chinese","Lancashire","85"
"Chinese","Leeds","89"
"Chinese","Leicester","67"
"Chinese","Leicestershire","100"
"Chinese","Lewisham","87"
"Chinese","Lincolnshire","87"
"Chinese","Liverpool","83"
"Chinese","Luton","!"
"Chinese","Manchester","85"
"Chinese","Medway","!"
"Chinese","Merton","79"
"Chinese","Middlesbrough","!"
"Chinese","Milton Keynes","!"
"Chinese","Newcastle upon Tyne","85"
"Chinese","Newham","!"
"Chinese","Norfolk","88"
"Chinese","North East Lincolnshire","100"
"Chinese","North Lincolnshire","100"
"Chinese","North Somerset","!"
"Chinese","North Tyneside","!"
"Chinese","North Yorkshire","!"
"Chinese","Northamptonshire","!"
"Chinese","Northumberland","!"
"Chinese","Nottingham","!"
"Chinese","Nottinghamshire","73"
"Chinese","Oldham","100"
"Chinese","Oxfordshire","87"
"Chinese","Peterborough","!"
"Chinese","Plymouth","!"
"Chinese","Poole","!"
"Chinese","Portsmouth","!"
"Chinese","Reading","100"
"Chinese","Redbridge","!"
"Chinese","Redcar and Cleveland","N/A"
"Chinese","Richmond upon Thames","!"
"Chinese","Rochdale","!"
"Chinese","Rotherham","80"
"Chinese","Rutland","N/A"
"Chinese","Salford","!"
"Chinese","Sandwell","!"
"Chinese","Sefton","!"
"Chinese","Sheffield","93"
"Chinese","Shropshire","100"
"Chinese","Slough","!"
"Chinese","Solihull","100"
"Chinese","Somerset","!"
"Chinese","South Gloucestershire","!"
"Chinese","South Tyneside","!"
"Chinese","Southampton","79"
"Chinese","Southend-on-Sea","100"
"Chinese","Southwark","92"
"Chinese","St. Helens","73"
"Chinese","Staffordshire","90"
"Chinese","Stockport","68"
"Chinese","Stockton-on-Tees","!"
"Chinese","Stoke-on-Trent","80"
"Chinese","Suffolk","!"
"Chinese","Sunderland","!"
"Chinese","Surrey","80"
"Chinese","Sutton","92"
"Chinese","Swindon","!"
"Chinese","Tameside","76"
"Chinese","Telford and Wrekin","100"
"Chinese","Thurrock","100"
"Chinese","Torbay","!"
"Chinese","Tower Hamlets","!"
"Chinese","Trafford","!"
"Chinese","Wakefield","!"
"Chinese","Walsall","73"
"Chinese","Waltham Forest","91"
"Chinese","Wandsworth","83"
"Chinese","Warrington","!"
"Chinese","Warwickshire","!"
"Chinese","West Berkshire","100"
"Chinese","West Sussex","!"
"Chinese","Westminster","!"
"Chinese","Wigan","!"
"Chinese","Wiltshire","73"
"Chinese","Windsor and Maidenhead","100"
"Chinese","Wirral","!"
"Chinese","Wokingham","100"
"Chinese","Wolverhampton","!"
"Chinese","Worcestershire","!"
"Chinese","York","!"
"Mixed","Barking and Dagenham","79"
"Mixed","Barnet","86"
"Mixed","Barnsley","75"
"Mixed","Bath and North East Somerset","84"
"Mixed","Bedford","77"
"Mixed","Bexley","83"
"Mixed","Birmingham","79"
"Mixed","Blackburn with Darwen","86"
"Mixed","Blackpool","89"
"Mixed","Bolton","87"
"Mixed","Bournemouth","94"
"Mixed","Bracknell Forest","85"
"Mixed","Bradford","75"
"Mixed","Brent","84"
"Mixed","Brighton and Hove","84"
"Mixed","Bristol, City of","78"
"Mixed","Bromley","89"
"Mixed","Buckinghamshire","85"
"Mixed","Bury","77"
"Mixed","Calderdale","80"
"Mixed","Cambridgeshire","83"
"Mixed","Camden","87"
"Mixed","Central Bedfordshire","86"
"Mixed","Cheshire East","83"
"Mixed","Cheshire West and Chester","88"
"Mixed","City of London","!"
"Mixed","Cornwall","88"
"Mixed","County Durham","83"
"Mixed","Coventry","78"
"Mixed","Croydon","86"
"Mixed","Cumbria","84"
"Mixed","Darlington","89"
"Mixed","Derby","77"
"Mixed","Derbyshire","86"
"Mixed","Devon","89"
"Mixed","Doncaster","82"
"Mixed","Dorset","83"
"Mixed","Dudley","76"
"Mixed","Ealing","86"
"Mixed","East Riding of Yorkshire","92"
"Mixed","East Sussex","86"
"Mixed","Enfield","79"
"Mixed","Essex","84"
"Mixed","Gateshead","84"
"Mixed","Gloucestershire","84"
"Mixed","Greenwich","91"
