"","2016/17","","2017/18",""
"","Percentage","Number of respondents","Percentage","Number of respondents"
"All","81","9,963","82","9,551"
"Asian","85","1,095","84","906"
"Black","77","354","78","330"
"Mixed","80","460","82","460"
"White","81","7,774","83","7,572"
"Other","81","159","78","120"
