"Title","Feeling of community integration"
"Location","England"
"Time period","2016/17 to 2017/18"
"Data source","Department for Digital, Culture, Media and Sport"
"Data source link","https://www.gov.uk/government/collections/community-life-survey--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-08"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Number of respondents"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2016/17","Year","All","5+1","England","81","9963"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2016/17","Year","Asian","5+1","England","85","1095"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2016/17","Year","Black","5+1","England","77","354"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2016/17","Year","Mixed","5+1","England","80","460"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2016/17","Year","White","5+1","England","81","7774"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2016/17","Year","Other","5+1","England","81","159"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2017/18","Year","All","5+1","England","82","9551"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2017/18","Year","Asian","5+1","England","84","906"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2017/18","Year","Black","5+1","England","78","330"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2017/18","Year","Mixed","5+1","England","82","460"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2017/18","Year","White","5+1","England","83","7572"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2017/18","Year","Other","5+1","England","78","120"
