"Title","Average hourly pay by ethnicity"
"Location","UK"
"Time period","2013 to 2017"
"Data source","Labour Force Survey"
"Data source link","https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=59"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","2013","2014","2015","2016","2017"
"","£","£","£","£","£"
"All","10.48","10.68","10.76","11.00","11.31"
"Ethnic minorities (excluding White minorities)","10.07","10.12","10.12","10.69","11.24"
"Indian","11.29","12.18","11.58","12.29","13.14"
"Pakistani/Bangladeshi","8.27","7.88","9.15","9.33","9.52"
"Black","10.30","10.27","9.77","10.24","11.10"
"Mixed","11.57","11.11","10.85","11.06","11.26"
"White","10.52","10.74","10.84","11.05","11.34"
"Other inc Chinese and Other Asian","9.77","9.81","9.88","10.78","11.05"
