"Title","Mathematics attainments for children aged 5 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_girls"
"North West","Wigan","E08000010","Asian","ONS 5","Boys","All/Boys/Girls","69","70"
"South West","Wiltshire","E06000054","Asian","ONS 5","Boys","All/Boys/Girls","86","82"
"South East","Windsor and Maidenhead","E06000040","Asian","ONS 5","Boys","All/Boys/Girls","75","79"
"North West","Wirral","E08000015","Asian","ONS 5","Boys","All/Boys/Girls","79","79"
"South East","Wokingham","E06000041","Asian","ONS 5","Boys","All/Boys/Girls","80","84"
"West Midlands","Wolverhampton","E08000031","Asian","ONS 5","Boys","All/Boys/Girls","71","76"
"West Midlands","Worcestershire","E10000034","Asian","ONS 5","Boys","All/Boys/Girls","61","55"
"Yorkshire and The Humber","York","E06000014","Asian","ONS 5","Boys","All/Boys/Girls","77","79"
"London","Barking and Dagenham","E09000002","Black","ONS 5","Boys","All/Boys/Girls","75","82"
"London","Barnet","E09000003","Black","ONS 5","Boys","All/Boys/Girls","68","67"
"Yorkshire and The Humber","Barnsley","E08000016","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Bath and North East Somerset","E06000022","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"East","Bedford","E06000055","Black","ONS 5","Boys","All/Boys/Girls","66","72"
"London","Bexley","E09000004","Black","ONS 5","Boys","All/Boys/Girls","88","85"
"West Midlands","Birmingham","E08000025","Black","ONS 5","Boys","All/Boys/Girls","67","68"
"North West","Blackburn with Darwen","E06000008","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Blackpool","E06000009","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Bolton","E08000001","Black","ONS 5","Boys","All/Boys/Girls","66","60"
"South West","Bournemouth","E06000028","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","Bracknell Forest","E06000036","Black","ONS 5","Boys","All/Boys/Girls","63","59"
"Yorkshire and The Humber","Bradford","E08000032","Black","ONS 5","Boys","All/Boys/Girls","60","62"
"London","Brent","E09000005","Black","ONS 5","Boys","All/Boys/Girls","71","73"
"South East","Brighton and Hove","E06000043","Black","ONS 5","Boys","All/Boys/Girls","63","71"
"South West","Bristol, City of","E06000023","Black","ONS 5","Boys","All/Boys/Girls","58","62"
"London","Bromley","E09000006","Black","ONS 5","Boys","All/Boys/Girls","78","84"
"South East","Buckinghamshire","E10000002","Black","ONS 5","Boys","All/Boys/Girls","69","73"
"North West","Bury","E08000002","Black","ONS 5","Boys","All/Boys/Girls","64","67"
"Yorkshire and The Humber","Calderdale","E08000033","Black","ONS 5","Boys","All/Boys/Girls","56","44"
"East","Cambridgeshire","E10000003","Black","ONS 5","Boys","All/Boys/Girls","60","63"
"London","Camden","E09000007","Black","ONS 5","Boys","All/Boys/Girls","68","69"
"East","Central Bedfordshire","E06000056","Black","ONS 5","Boys","All/Boys/Girls","74","71"
"North West","Cheshire East","E06000049","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Cheshire West and Chester","E06000050","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"London","City of London","E09000001","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Cornwall","E06000052","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"North East","County Durham","E06000047","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"West Midlands","Coventry","E08000026","Black","ONS 5","Boys","All/Boys/Girls","64","72"
"London","Croydon","E09000008","Black","ONS 5","Boys","All/Boys/Girls","66","72"
"North West","Cumbria","E10000006","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"North East","Darlington","E06000005","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"East Midlands","Derby","E06000015","Black","ONS 5","Boys","All/Boys/Girls","62","75"
"East Midlands","Derbyshire","E10000007","Black","ONS 5","Boys","All/Boys/Girls","67","67"
"South West","Devon","E10000008","Black","ONS 5","Boys","All/Boys/Girls","43","57"
"Yorkshire and The Humber","Doncaster","E08000017","Black","ONS 5","Boys","All/Boys/Girls","53","64"
"South West","Dorset","E10000009","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"West Midlands","Dudley","E08000027","Black","ONS 5","Boys","All/Boys/Girls","72","76"
"London","Ealing","E09000009","Black","ONS 5","Boys","All/Boys/Girls","63","61"
"Yorkshire and The Humber","East Riding of Yorkshire","E06000011","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","East Sussex","E10000011","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Enfield","E09000010","Black","ONS 5","Boys","All/Boys/Girls","65","71"
"East","Essex","E10000012","Black","ONS 5","Boys","All/Boys/Girls","72","77"
"North East","Gateshead","E08000037","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Gloucestershire","E10000013","Black","ONS 5","Boys","All/Boys/Girls","56","72"
"London","Greenwich","E09000011","Black","ONS 5","Boys","All/Boys/Girls","83","84"
"London","Hackney","E09000012","Black","ONS 5","Boys","All/Boys/Girls","74","81"
"North West","Halton","E06000006","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Hammersmith and Fulham","E09000013","Black","ONS 5","Boys","All/Boys/Girls","69","69"
"South East","Hampshire","E10000014","Black","ONS 5","Boys","All/Boys/Girls","65","77"
"London","Haringey","E09000014","Black","ONS 5","Boys","All/Boys/Girls","71","76"
"London","Harrow","E09000015","Black","ONS 5","Boys","All/Boys/Girls","65","69"
"North East","Hartlepool","E06000001","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Havering","E09000016","Black","ONS 5","Boys","All/Boys/Girls","69","79"
"West Midlands","Herefordshire, County of","E06000019","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"East","Hertfordshire","E10000015","Black","ONS 5","Boys","All/Boys/Girls","76","74"
"London","Hillingdon","E09000017","Black","ONS 5","Boys","All/Boys/Girls","74","72"
"London","Hounslow","E09000018","Black","ONS 5","Boys","All/Boys/Girls","69","75"
"South East","Isle of Wight","E06000046","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Isles of Scilly","E06000053","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Islington","E09000019","Black","ONS 5","Boys","All/Boys/Girls","66","64"
"London","Kensington and Chelsea","E09000020","Black","ONS 5","Boys","All/Boys/Girls","74","82"
"South East","Kent","E10000016","Black","ONS 5","Boys","All/Boys/Girls","77","85"
"Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","Black","ONS 5","Boys","All/Boys/Girls","50","63"
"London","Kingston upon Thames","E09000021","Black","ONS 5","Boys","All/Boys/Girls","53","56"
"Yorkshire and The Humber","Kirklees","E08000034","Black","ONS 5","Boys","All/Boys/Girls","67","71"
"North West","Knowsley","E08000011","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Lambeth","E09000022","Black","ONS 5","Boys","All/Boys/Girls","71","73"
"North West","Lancashire","E10000017","Black","ONS 5","Boys","All/Boys/Girls","70","88"
"Yorkshire and The Humber","Leeds","E08000035","Black","ONS 5","Boys","All/Boys/Girls","53","62"
"East Midlands","Leicester","E06000016","Black","ONS 5","Boys","All/Boys/Girls","65","70"
"East Midlands","Leicestershire","E10000018","Black","ONS 5","Boys","All/Boys/Girls","59","74"
"London","Lewisham","E09000023","Black","ONS 5","Boys","All/Boys/Girls","71","75"
"East Midlands","Lincolnshire","E10000019","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Liverpool","E08000012","Black","ONS 5","Boys","All/Boys/Girls","63","60"
"East","Luton","E06000032","Black","ONS 5","Boys","All/Boys/Girls","65","70"
"North West","Manchester","E08000003","Black","ONS 5","Boys","All/Boys/Girls","67","75"
"South East","Medway","E06000035","Black","ONS 5","Boys","All/Boys/Girls","79","91"
"London","Merton","E09000024","Black","ONS 5","Boys","All/Boys/Girls","66","74"
"North East","Middlesbrough","E06000002","Black","ONS 5","Boys","All/Boys/Girls","81","76"
"South East","Milton Keynes","E06000042","Black","ONS 5","Boys","All/Boys/Girls","69","70"
"North East","Newcastle upon Tyne","E08000021","Black","ONS 5","Boys","All/Boys/Girls","65","80"
"London","Newham","E09000025","Black","ONS 5","Boys","All/Boys/Girls","73","81"
"East","Norfolk","E10000020","Black","ONS 5","Boys","All/Boys/Girls","65","62"
"Yorkshire and The Humber","North East Lincolnshire","E06000012","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","North Lincolnshire","E06000013","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","North Somerset","E06000024","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"North East","North Tyneside","E08000022","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","North Yorkshire","E10000023","Black","ONS 5","Boys","All/Boys/Girls","50","57"
"East Midlands","Northamptonshire","E10000021","Black","ONS 5","Boys","All/Boys/Girls","63","71"
"North East","Northumberland","E06000057","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"East Midlands","Nottingham","E06000018","Black","ONS 5","Boys","All/Boys/Girls","66","74"
"East Midlands","Nottinghamshire","E10000024","Black","ONS 5","Boys","All/Boys/Girls","48","70"
"North West","Oldham","E08000004","Black","ONS 5","Boys","All/Boys/Girls","45","58"
"South East","Oxfordshire","E10000025","Black","ONS 5","Boys","All/Boys/Girls","69","66"
"East","Peterborough","E06000031","Black","ONS 5","Boys","All/Boys/Girls","65","79"
"South West","Plymouth","E06000026","Black","ONS 5","Boys","All/Boys/Girls","57","64"
"South West","Poole","E06000029","Black","ONS 5","Boys","All/Boys/Girls","57","50"
"South East","Portsmouth","E06000044","Black","ONS 5","Boys","All/Boys/Girls","70","68"
"South East","Reading","E06000038","Black","ONS 5","Boys","All/Boys/Girls","72","71"
"London","Redbridge","E09000026","Black","ONS 5","Boys","All/Boys/Girls","68","67"
"North East","Redcar and Cleveland","E06000003","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Richmond upon Thames","E09000027","Black","ONS 5","Boys","All/Boys/Girls","79","79"
"North West","Rochdale","E08000005","Black","ONS 5","Boys","All/Boys/Girls","63","55"
"Yorkshire and The Humber","Rotherham","E08000018","Black","ONS 5","Boys","All/Boys/Girls","62","59"
"East Midlands","Rutland","E06000017","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Salford","E08000006","Black","ONS 5","Boys","All/Boys/Girls","64","75"
"West Midlands","Sandwell","E08000028","Black","ONS 5","Boys","All/Boys/Girls","62","68"
"North West","Sefton","E08000014","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","Sheffield","E08000019","Black","ONS 5","Boys","All/Boys/Girls","70","73"
"West Midlands","Shropshire","E06000051","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","Slough","E06000039","Black","ONS 5","Boys","All/Boys/Girls","65","80"
"West Midlands","Solihull","E08000029","Black","ONS 5","Boys","All/Boys/Girls","74","74"
"South West","Somerset","E10000027","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","South Gloucestershire","E06000025","Black","ONS 5","Boys","All/Boys/Girls","73","76"
"North East","South Tyneside","E08000023","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","Southampton","E06000045","Black","ONS 5","Boys","All/Boys/Girls","71","64"
"East","Southend-on-Sea","E06000033","Black","ONS 5","Boys","All/Boys/Girls","69","63"
"London","Southwark","E09000028","Black","ONS 5","Boys","All/Boys/Girls","72","78"
"North West","St. Helens","E08000013","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"West Midlands","Staffordshire","E10000028","Black","ONS 5","Boys","All/Boys/Girls","56","81"
"North West","Stockport","E08000007","Black","ONS 5","Boys","All/Boys/Girls","63","72"
"North East","Stockton-on-Tees","E06000004","Black","ONS 5","Boys","All/Boys/Girls","67","73"
"West Midlands","Stoke-on-Trent","E06000021","Black","ONS 5","Boys","All/Boys/Girls","67","77"
"East","Suffolk","E10000029","Black","ONS 5","Boys","All/Boys/Girls","69","64"
"North East","Sunderland","E08000024","Black","ONS 5","Boys","All/Boys/Girls","57","100"
"South East","Surrey","E10000030","Black","ONS 5","Boys","All/Boys/Girls","80","73"
"London","Sutton","E09000029","Black","ONS 5","Boys","All/Boys/Girls","71","65"
"South West","Swindon","E06000030","Black","ONS 5","Boys","All/Boys/Girls","62","76"
"North West","Tameside","E08000008","Black","ONS 5","Boys","All/Boys/Girls","68","67"
"West Midlands","Telford and Wrekin","E06000020","Black","ONS 5","Boys","All/Boys/Girls","81","84"
"East","Thurrock","E06000034","Black","ONS 5","Boys","All/Boys/Girls","76","85"
"South West","Torbay","E06000027","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Tower Hamlets","E09000030","Black","ONS 5","Boys","All/Boys/Girls","74","81"
"North West","Trafford","E08000009","Black","ONS 5","Boys","All/Boys/Girls","75","82"
"Yorkshire and The Humber","Wakefield","E08000036","Black","ONS 5","Boys","All/Boys/Girls","59","75"
"West Midlands","Walsall","E08000030","Black","ONS 5","Boys","All/Boys/Girls","75","72"
"London","Waltham Forest","E09000031","Black","ONS 5","Boys","All/Boys/Girls","72","82"
"London","Wandsworth","E09000032","Black","ONS 5","Boys","All/Boys/Girls","70","73"
"North West","Warrington","E06000007","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"West Midlands","Warwickshire","E10000031","Black","ONS 5","Boys","All/Boys/Girls","61","81"
"South East","West Berkshire","E06000037","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","West Sussex","E10000032","Black","ONS 5","Boys","All/Boys/Girls","59","48"
"London","Westminster","E09000033","Black","ONS 5","Boys","All/Boys/Girls","80","80"
"North West","Wigan","E08000010","Black","ONS 5","Boys","All/Boys/Girls","67","65"
"South West","Wiltshire","E06000054","Black","ONS 5","Boys","All/Boys/Girls","65","74"
"South East","Windsor and Maidenhead","E06000040","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Wirral","E08000015","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","Wokingham","E06000041","Black","ONS 5","Boys","All/Boys/Girls","76","71"
"West Midlands","Wolverhampton","E08000031","Black","ONS 5","Boys","All/Boys/Girls","74","80"
"West Midlands","Worcestershire","E10000034","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","York","E06000014","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Barking and Dagenham","E09000002","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Barnet","E09000003","Chinese","ONS 5","Boys","All/Boys/Girls","80","87"
"Yorkshire and The Humber","Barnsley","E08000016","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Bath and North East Somerset","E06000022","Chinese","ONS 5","Boys","All/Boys/Girls","100","100"
"East","Bedford","E06000055","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"London","Bexley","E09000004","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"West Midlands","Birmingham","E08000025","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Blackburn with Darwen","E06000008","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Blackpool","E06000009","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Bolton","E08000001","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Bournemouth","E06000028","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"South East","Bracknell Forest","E06000036","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"Yorkshire and The Humber","Bradford","E08000032","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"London","Brent","E09000005","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"South East","Brighton and Hove","E06000043","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"South West","Bristol, City of","E06000023","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"London","Bromley","E09000006","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"South East","Buckinghamshire","E10000002","Chinese","ONS 5","Boys","All/Boys/Girls","100","64"
"North West","Bury","E08000002","Chinese","ONS 5","Boys","All/Boys/Girls","100","100"
"Yorkshire and The Humber","Calderdale","E08000033","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"East","Cambridgeshire","E10000003","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Camden","E09000007","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"East","Central Bedfordshire","E06000056","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"North West","Cheshire East","E06000049","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Cheshire West and Chester","E06000050","Chinese","ONS 5","Boys","All/Boys/Girls","100","100"
"London","City of London","E09000001","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Cornwall","E06000052","Chinese","ONS 5","Boys","All/Boys/Girls","100","100"
"North East","County Durham","E06000047","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"West Midlands","Coventry","E08000026","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"London","Croydon","E09000008","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"North West","Cumbria","E10000006","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"North East","Darlington","E06000005","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"East Midlands","Derby","E06000015","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"East Midlands","Derbyshire","E10000007","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Devon","E10000008","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"Yorkshire and The Humber","Doncaster","E08000017","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Dorset","E10000009","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"West Midlands","Dudley","E08000027","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"London","Ealing","E09000009","Chinese","ONS 5","Boys","All/Boys/Girls","100","100"
"Yorkshire and The Humber","East Riding of Yorkshire","E06000011","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","East Sussex","E10000011","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"London","Enfield","E09000010","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"East","Essex","E10000012","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North East","Gateshead","E08000037","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Gloucestershire","E10000013","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Greenwich","E09000011","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Hackney","E09000012","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Halton","E06000006","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Hammersmith and Fulham","E09000013","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","Hampshire","E10000014","Chinese","ONS 5","Boys","All/Boys/Girls","86","88"
"London","Haringey","E09000014","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"London","Harrow","E09000015","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"North East","Hartlepool","E06000001","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Havering","E09000016","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"West Midlands","Herefordshire, County of","E06000019","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"East","Hertfordshire","E10000015","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Hillingdon","E09000017","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Hounslow","E09000018","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","Isle of Wight","E06000046","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Isles of Scilly","E06000053","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Islington","E09000019","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Kensington and Chelsea","E09000020","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","Kent","E10000016","Chinese","ONS 5","Boys","All/Boys/Girls","83","91"
"Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Kingston upon Thames","E09000021","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","Kirklees","E08000034","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Knowsley","E08000011","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"London","Lambeth","E09000022","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Lancashire","E10000017","Chinese","ONS 5","Boys","All/Boys/Girls","80","100"
"Yorkshire and The Humber","Leeds","E08000035","Chinese","ONS 5","Boys","All/Boys/Girls","84","73"
"East Midlands","Leicester","E06000016","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"East Midlands","Leicestershire","E10000018","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Lewisham","E09000023","Chinese","ONS 5","Boys","All/Boys/Girls","82","81"
"East Midlands","Lincolnshire","E10000019","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"North West","Liverpool","E08000012","Chinese","ONS 5","Boys","All/Boys/Girls","67","89"
"East","Luton","E06000032","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Manchester","E08000003","Chinese","ONS 5","Boys","All/Boys/Girls","92","94"
"South East","Medway","E06000035","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Merton","E09000024","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North East","Middlesbrough","E06000002","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","Milton Keynes","E06000042","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North East","Newcastle upon Tyne","E08000021","Chinese","ONS 5","Boys","All/Boys/Girls","82","100"
"London","Newham","E09000025","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"East","Norfolk","E10000020","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"Yorkshire and The Humber","North East Lincolnshire","E06000012","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","North Lincolnshire","E06000013","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","North Somerset","E06000024","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North East","North Tyneside","E08000022","Chinese","ONS 5","Boys","All/Boys/Girls","57","100"
"Yorkshire and The Humber","North Yorkshire","E10000023","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"East Midlands","Northamptonshire","E10000021","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"North East","Northumberland","E06000057","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"East Midlands","Nottingham","E06000018","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"East Midlands","Nottinghamshire","E10000024","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Oldham","E08000004","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","Oxfordshire","E10000025","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"East","Peterborough","E06000031","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Plymouth","E06000026","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Poole","E06000029","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"South East","Portsmouth","E06000044","Chinese","ONS 5","Boys","All/Boys/Girls","100","100"
"South East","Reading","E06000038","Chinese","ONS 5","Boys","All/Boys/Girls","100","100"
"London","Redbridge","E09000026","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"North East","Redcar and Cleveland","E06000003","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Richmond upon Thames","E09000027","Chinese","ONS 5","Boys","All/Boys/Girls","100","100"
"North West","Rochdale","E08000005","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","Rotherham","E08000018","Chinese","ONS 5","Boys","All/Boys/Girls","100","50"
"East Midlands","Rutland","E06000017","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Salford","E08000006","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"West Midlands","Sandwell","E08000028","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"North West","Sefton","E08000014","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"Yorkshire and The Humber","Sheffield","E08000019","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"West Midlands","Shropshire","E06000051","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","Slough","E06000039","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"West Midlands","Solihull","E08000029","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"South West","Somerset","E10000027","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","South Gloucestershire","E06000025","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North East","South Tyneside","E08000023","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","Southampton","E06000045","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"East","Southend-on-Sea","E06000033","Chinese","ONS 5","Boys","All/Boys/Girls","100","100"
"London","Southwark","E09000028","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","St. Helens","E08000013","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"West Midlands","Staffordshire","E10000028","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"North West","Stockport","E08000007","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North East","Stockton-on-Tees","E06000004","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"West Midlands","Stoke-on-Trent","E06000021","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"East","Suffolk","E10000029","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North East","Sunderland","E08000024","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"South East","Surrey","E10000030","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Sutton","E09000029","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Swindon","E06000030","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Tameside","E08000008","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"West Midlands","Telford and Wrekin","E06000020","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"East","Thurrock","E06000034","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Torbay","E06000027","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Tower Hamlets","E09000030","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Trafford","E08000009","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","Wakefield","E08000036","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"West Midlands","Walsall","E08000030","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"London","Waltham Forest","E09000031","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Wandsworth","E09000032","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Warrington","E06000007","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"West Midlands","Warwickshire","E10000031","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","West Berkshire","E06000037","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
