"Title","Mathematics attainments for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value"
"West Midlands","Worcestershire","E10000034","White","ONS 5","All","All/Boys/Girls","71"
"East","Bedford","E06000055","White","ONS 5","All","All/Boys/Girls","72"
"East","Cambridgeshire","E10000003","White","ONS 5","All","All/Boys/Girls","71"
"East","Central Bedfordshire","E06000056","White","ONS 5","All","All/Boys/Girls","76"
"East","Essex","E10000012","White","ONS 5","All","All/Boys/Girls","74"
"East","Hertfordshire","E10000015","White","ONS 5","All","All/Boys/Girls","77"
"East","Luton","E06000032","White","ONS 5","All","All/Boys/Girls","70"
"East","Norfolk","E10000020","White","ONS 5","All","All/Boys/Girls","74"
"East","Peterborough","E06000031","White","ONS 5","All","All/Boys/Girls","70"
"East","Southend-on-Sea","E06000033","White","ONS 5","All","All/Boys/Girls","74"
"East","Suffolk","E10000029","White","ONS 5","All","All/Boys/Girls","71"
"East","Thurrock","E06000034","White","ONS 5","All","All/Boys/Girls","74"
"London","Camden","E09000007","White","ONS 5","All","All/Boys/Girls","78"
"London","City of London","E09000001","White","ONS 5","All","All/Boys/Girls","!"
"London","Hackney","E09000012","White","ONS 5","All","All/Boys/Girls","83"
"London","Hammersmith and Fulham","E09000013","White","ONS 5","All","All/Boys/Girls","82"
"London","Haringey","E09000014","White","ONS 5","All","All/Boys/Girls","80"
"London","Islington","E09000019","White","ONS 5","All","All/Boys/Girls","77"
"London","Kensington and Chelsea","E09000020","White","ONS 5","All","All/Boys/Girls","84"
"London","Lambeth","E09000022","White","ONS 5","All","All/Boys/Girls","80"
"London","Lewisham","E09000023","White","ONS 5","All","All/Boys/Girls","81"
"London","Newham","E09000025","White","ONS 5","All","All/Boys/Girls","74"
"London","Southwark","E09000028","White","ONS 5","All","All/Boys/Girls","79"
"London","Tower Hamlets","E09000030","White","ONS 5","All","All/Boys/Girls","74"
"London","Wandsworth","E09000032","White","ONS 5","All","All/Boys/Girls","85"
"London","Westminster","E09000033","White","ONS 5","All","All/Boys/Girls","78"
"London","Barking and Dagenham","E09000002","White","ONS 5","All","All/Boys/Girls","71"
"London","Barnet","E09000003","White","ONS 5","All","All/Boys/Girls","77"
"London","Bexley","E09000004","White","ONS 5","All","All/Boys/Girls","78"
"London","Brent","E09000005","White","ONS 5","All","All/Boys/Girls","74"
"London","Bromley","E09000006","White","ONS 5","All","All/Boys/Girls","79"
"London","Croydon","E09000008","White","ONS 5","All","All/Boys/Girls","74"
"London","Ealing","E09000009","White","ONS 5","All","All/Boys/Girls","76"
"London","Enfield","E09000010","White","ONS 5","All","All/Boys/Girls","72"
"London","Greenwich","E09000011","White","ONS 5","All","All/Boys/Girls","79"
"London","Harrow","E09000015","White","ONS 5","All","All/Boys/Girls","71"
"London","Havering","E09000016","White","ONS 5","All","All/Boys/Girls","77"
"London","Hillingdon","E09000017","White","ONS 5","All","All/Boys/Girls","72"
"London","Hounslow","E09000018","White","ONS 5","All","All/Boys/Girls","76"
"London","Kingston upon Thames","E09000021","White","ONS 5","All","All/Boys/Girls","75"
"London","Merton","E09000024","White","ONS 5","All","All/Boys/Girls","72"
"London","Redbridge","E09000026","White","ONS 5","All","All/Boys/Girls","72"
"London","Richmond upon Thames","E09000027","White","ONS 5","All","All/Boys/Girls","79"
"London","Sutton","E09000029","White","ONS 5","All","All/Boys/Girls","73"
"London","Waltham Forest","E09000031","White","ONS 5","All","All/Boys/Girls","80"
"South East","Bracknell Forest","E06000036","White","ONS 5","All","All/Boys/Girls","75"
"South East","Brighton and Hove","E06000043","White","ONS 5","All","All/Boys/Girls","74"
"South East","Buckinghamshire","E10000002","White","ONS 5","All","All/Boys/Girls","74"
"South East","East Sussex","E10000011","White","ONS 5","All","All/Boys/Girls","75"
"South East","Hampshire","E10000014","White","ONS 5","All","All/Boys/Girls","77"
"South East","Isle of Wight","E06000046","White","ONS 5","All","All/Boys/Girls","73"
"South East","Kent","E10000016","White","ONS 5","All","All/Boys/Girls","77"
"South East","Medway","E06000035","White","ONS 5","All","All/Boys/Girls","74"
"South East","Milton Keynes","E06000042","White","ONS 5","All","All/Boys/Girls","71"
"South East","Oxfordshire","E10000025","White","ONS 5","All","All/Boys/Girls","72"
"South East","Portsmouth","E06000044","White","ONS 5","All","All/Boys/Girls","71"
"South East","Reading","E06000038","White","ONS 5","All","All/Boys/Girls","75"
"South East","Slough","E06000039","White","ONS 5","All","All/Boys/Girls","71"
"South East","Southampton","E06000045","White","ONS 5","All","All/Boys/Girls","75"
"South East","Surrey","E10000030","White","ONS 5","All","All/Boys/Girls","76"
"South East","West Berkshire","E06000037","White","ONS 5","All","All/Boys/Girls","72"
"South East","West Sussex","E10000032","White","ONS 5","All","All/Boys/Girls","64"
"South East","Windsor and Maidenhead","E06000040","White","ONS 5","All","All/Boys/Girls","79"
"South East","Wokingham","E06000041","White","ONS 5","All","All/Boys/Girls","78"
"South West","Bath and North East Somerset","E06000022","White","ONS 5","All","All/Boys/Girls","73"
"South West","Bournemouth","E06000028","White","ONS 5","All","All/Boys/Girls","71"
"South West","Bristol, City of","E06000023","White","ONS 5","All","All/Boys/Girls","73"
"South West","Cornwall","E06000052","White","ONS 5","All","All/Boys/Girls","71"
"South West","Devon","E10000008","White","ONS 5","All","All/Boys/Girls","70"
"South West","Dorset","E10000009","White","ONS 5","All","All/Boys/Girls","68"
"South West","Gloucestershire","E10000013","White","ONS 5","All","All/Boys/Girls","69"
"South West","Isles of Scilly","E06000053","White","ONS 5","All","All/Boys/Girls","!"
"South West","North Somerset","E06000024","White","ONS 5","All","All/Boys/Girls","76"
"South West","Plymouth","E06000026","White","ONS 5","All","All/Boys/Girls","69"
"South West","Poole","E06000029","White","ONS 5","All","All/Boys/Girls","76"
"South West","Somerset","E10000027","White","ONS 5","All","All/Boys/Girls","73"
"South West","South Gloucestershire","E06000025","White","ONS 5","All","All/Boys/Girls","75"
"South West","Swindon","E06000030","White","ONS 5","All","All/Boys/Girls","69"
"South West","Torbay","E06000027","White","ONS 5","All","All/Boys/Girls","69"
"South West","Wiltshire","E06000054","White","ONS 5","All","All/Boys/Girls","71"
"North East","County Durham","E06000047","Mixed","ONS 5","All","All/Boys/Girls","76"
"North East","Darlington","E06000005","Mixed","ONS 5","All","All/Boys/Girls","86"
"North East","Gateshead","E08000037","Mixed","ONS 5","All","All/Boys/Girls","77"
"North East","Hartlepool","E06000001","Mixed","ONS 5","All","All/Boys/Girls","56"
"North East","Middlesbrough","E06000002","Mixed","ONS 5","All","All/Boys/Girls","64"
"North East","Newcastle upon Tyne","E08000021","Mixed","ONS 5","All","All/Boys/Girls","80"
"North East","North Tyneside","E08000022","Mixed","ONS 5","All","All/Boys/Girls","71"
"North East","Northumberland","E06000057","Mixed","ONS 5","All","All/Boys/Girls","73"
"North East","Redcar and Cleveland","E06000003","Mixed","ONS 5","All","All/Boys/Girls","70"
"North East","South Tyneside","E08000023","Mixed","ONS 5","All","All/Boys/Girls","69"
"North East","Stockton-on-Tees","E06000004","Mixed","ONS 5","All","All/Boys/Girls","74"
"North East","Sunderland","E08000024","Mixed","ONS 5","All","All/Boys/Girls","71"
"North West","Blackburn with Darwen","E06000008","Mixed","ONS 5","All","All/Boys/Girls","67"
"North West","Blackpool","E06000009","Mixed","ONS 5","All","All/Boys/Girls","74"
"North West","Bolton","E08000001","Mixed","ONS 5","All","All/Boys/Girls","71"
"North West","Bury","E08000002","Mixed","ONS 5","All","All/Boys/Girls","71"
"North West","Cheshire East","E06000049","Mixed","ONS 5","All","All/Boys/Girls","66"
"North West","Cheshire West and Chester","E06000050","Mixed","ONS 5","All","All/Boys/Girls","78"
"North West","Cumbria","E10000006","Mixed","ONS 5","All","All/Boys/Girls","66"
"North West","Halton","E06000006","Mixed","ONS 5","All","All/Boys/Girls","70"
"North West","Knowsley","E08000011","Mixed","ONS 5","All","All/Boys/Girls","70"
"North West","Lancashire","E10000017","Mixed","ONS 5","All","All/Boys/Girls","70"
"North West","Liverpool","E08000012","Mixed","ONS 5","All","All/Boys/Girls","64"
"North West","Manchester","E08000003","Mixed","ONS 5","All","All/Boys/Girls","73"
"North West","Oldham","E08000004","Mixed","ONS 5","All","All/Boys/Girls","66"
"North West","Rochdale","E08000005","Mixed","ONS 5","All","All/Boys/Girls","73"
"North West","Salford","E08000006","Mixed","ONS 5","All","All/Boys/Girls","74"
"North West","Sefton","E08000014","Mixed","ONS 5","All","All/Boys/Girls","73"
"North West","St. Helens","E08000013","Mixed","ONS 5","All","All/Boys/Girls","65"
"North West","Stockport","E08000007","Mixed","ONS 5","All","All/Boys/Girls","77"
"North West","Tameside","E08000008","Mixed","ONS 5","All","All/Boys/Girls","74"
"North West","Trafford","E08000009","Mixed","ONS 5","All","All/Boys/Girls","71"
"North West","Warrington","E06000007","Mixed","ONS 5","All","All/Boys/Girls","75"
"North West","Wigan","E08000010","Mixed","ONS 5","All","All/Boys/Girls","81"
"North West","Wirral","E08000015","Mixed","ONS 5","All","All/Boys/Girls","80"
"Yorkshire and The Humber","Barnsley","E08000016","Mixed","ONS 5","All","All/Boys/Girls","70"
"Yorkshire and The Humber","Bradford","E08000032","Mixed","ONS 5","All","All/Boys/Girls","70"
"Yorkshire and The Humber","Calderdale","E08000033","Mixed","ONS 5","All","All/Boys/Girls","67"
"Yorkshire and The Humber","Doncaster","E08000017","Mixed","ONS 5","All","All/Boys/Girls","70"
"Yorkshire and The Humber","East Riding of Yorkshire","E06000011","Mixed","ONS 5","All","All/Boys/Girls","76"
"Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","Mixed","ONS 5","All","All/Boys/Girls","79"
"Yorkshire and The Humber","Kirklees","E08000034","Mixed","ONS 5","All","All/Boys/Girls","67"
"Yorkshire and The Humber","Leeds","E08000035","Mixed","ONS 5","All","All/Boys/Girls","59"
"Yorkshire and The Humber","North East Lincolnshire","E06000012","Mixed","ONS 5","All","All/Boys/Girls","80"
"Yorkshire and The Humber","North Lincolnshire","E06000013","Mixed","ONS 5","All","All/Boys/Girls","81"
"Yorkshire and The Humber","North Yorkshire","E10000023","Mixed","ONS 5","All","All/Boys/Girls","67"
"Yorkshire and The Humber","Rotherham","E08000018","Mixed","ONS 5","All","All/Boys/Girls","70"
"Yorkshire and The Humber","Sheffield","E08000019","Mixed","ONS 5","All","All/Boys/Girls","70"
"Yorkshire and The Humber","Wakefield","E08000036","Mixed","ONS 5","All","All/Boys/Girls","74"
"Yorkshire and The Humber","York","E06000014","Mixed","ONS 5","All","All/Boys/Girls","71"
"East Midlands","Derby","E06000015","Mixed","ONS 5","All","All/Boys/Girls","68"
"East Midlands","Derbyshire","E10000007","Mixed","ONS 5","All","All/Boys/Girls","71"
"East Midlands","Leicester","E06000016","Mixed","ONS 5","All","All/Boys/Girls","64"
"East Midlands","Leicestershire","E10000018","Mixed","ONS 5","All","All/Boys/Girls","72"
"East Midlands","Lincolnshire","E10000019","Mixed","ONS 5","All","All/Boys/Girls","80"
"East Midlands","Northamptonshire","E10000021","Mixed","ONS 5","All","All/Boys/Girls","70"
"East Midlands","Nottingham","E06000018","Mixed","ONS 5","All","All/Boys/Girls","67"
"East Midlands","Nottinghamshire","E10000024","Mixed","ONS 5","All","All/Boys/Girls","70"
"East Midlands","Rutland","E06000017","Mixed","ONS 5","All","All/Boys/Girls","69"
"West Midlands","Birmingham","E08000025","Mixed","ONS 5","All","All/Boys/Girls","66"
"West Midlands","Coventry","E08000026","Mixed","ONS 5","All","All/Boys/Girls","70"
"West Midlands","Dudley","E08000027","Mixed","ONS 5","All","All/Boys/Girls","75"
"West Midlands","Herefordshire, County of","E06000019","Mixed","ONS 5","All","All/Boys/Girls","83"
"West Midlands","Sandwell","E08000028","Mixed","ONS 5","All","All/Boys/Girls","71"
"West Midlands","Shropshire","E06000051","Mixed","ONS 5","All","All/Boys/Girls","74"
"West Midlands","Solihull","E08000029","Mixed","ONS 5","All","All/Boys/Girls","75"
"West Midlands","Staffordshire","E10000028","Mixed","ONS 5","All","All/Boys/Girls","75"
"West Midlands","Stoke-on-Trent","E06000021","Mixed","ONS 5","All","All/Boys/Girls","72"
"West Midlands","Telford and Wrekin","E06000020","Mixed","ONS 5","All","All/Boys/Girls","71"
"West Midlands","Walsall","E08000030","Mixed","ONS 5","All","All/Boys/Girls","69"
"West Midlands","Warwickshire","E10000031","Mixed","ONS 5","All","All/Boys/Girls","75"
"West Midlands","Wolverhampton","E08000031","Mixed","ONS 5","All","All/Boys/Girls","71"
"West Midlands","Worcestershire","E10000034","Mixed","ONS 5","All","All/Boys/Girls","70"
"East","Bedford","E06000055","Mixed","ONS 5","All","All/Boys/Girls","69"
"East","Cambridgeshire","E10000003","Mixed","ONS 5","All","All/Boys/Girls","72"
"East","Central Bedfordshire","E06000056","Mixed","ONS 5","All","All/Boys/Girls","68"
"East","Essex","E10000012","Mixed","ONS 5","All","All/Boys/Girls","75"
"East","Hertfordshire","E10000015","Mixed","ONS 5","All","All/Boys/Girls","78"
"East","Luton","E06000032","Mixed","ONS 5","All","All/Boys/Girls","74"
"East","Norfolk","E10000020","Mixed","ONS 5","All","All/Boys/Girls","74"
"East","Peterborough","E06000031","Mixed","ONS 5","All","All/Boys/Girls","68"
"East","Southend-on-Sea","E06000033","Mixed","ONS 5","All","All/Boys/Girls","71"
"East","Suffolk","E10000029","Mixed","ONS 5","All","All/Boys/Girls","71"
"East","Thurrock","E06000034","Mixed","ONS 5","All","All/Boys/Girls","73"
"London","Camden","E09000007","Mixed","ONS 5","All","All/Boys/Girls","75"
"London","City of London","E09000001","Mixed","ONS 5","All","All/Boys/Girls","!"
"London","Hackney","E09000012","Mixed","ONS 5","All","All/Boys/Girls","85"
"London","Hammersmith and Fulham","E09000013","Mixed","ONS 5","All","All/Boys/Girls","74"
"London","Haringey","E09000014","Mixed","ONS 5","All","All/Boys/Girls","83"
"London","Islington","E09000019","Mixed","ONS 5","All","All/Boys/Girls","79"
"London","Kensington and Chelsea","E09000020","Mixed","ONS 5","All","All/Boys/Girls","79"
"London","Lambeth","E09000022","Mixed","ONS 5","All","All/Boys/Girls","79"
"London","Lewisham","E09000023","Mixed","ONS 5","All","All/Boys/Girls","80"
"London","Newham","E09000025","Mixed","ONS 5","All","All/Boys/Girls","85"
"London","Southwark","E09000028","Mixed","ONS 5","All","All/Boys/Girls","70"
"London","Tower Hamlets","E09000030","Mixed","ONS 5","All","All/Boys/Girls","78"
"London","Wandsworth","E09000032","Mixed","ONS 5","All","All/Boys/Girls","73"
"London","Westminster","E09000033","Mixed","ONS 5","All","All/Boys/Girls","80"
"London","Barking and Dagenham","E09000002","Mixed","ONS 5","All","All/Boys/Girls","73"
"London","Barnet","E09000003","Mixed","ONS 5","All","All/Boys/Girls","72"
"London","Bexley","E09000004","Mixed","ONS 5","All","All/Boys/Girls","81"
"London","Brent","E09000005","Mixed","ONS 5","All","All/Boys/Girls","78"
"London","Bromley","E09000006","Mixed","ONS 5","All","All/Boys/Girls","78"
"London","Croydon","E09000008","Mixed","ONS 5","All","All/Boys/Girls","74"
"London","Ealing","E09000009","Mixed","ONS 5","All","All/Boys/Girls","78"
"London","Enfield","E09000010","Mixed","ONS 5","All","All/Boys/Girls","76"
"London","Greenwich","E09000011","Mixed","ONS 5","All","All/Boys/Girls","82"
"London","Harrow","E09000015","Mixed","ONS 5","All","All/Boys/Girls","76"
"London","Havering","E09000016","Mixed","ONS 5","All","All/Boys/Girls","76"
"London","Hillingdon","E09000017","Mixed","ONS 5","All","All/Boys/Girls","77"
"London","Hounslow","E09000018","Mixed","ONS 5","All","All/Boys/Girls","81"
"London","Kingston upon Thames","E09000021","Mixed","ONS 5","All","All/Boys/Girls","72"
"London","Merton","E09000024","Mixed","ONS 5","All","All/Boys/Girls","68"
"London","Redbridge","E09000026","Mixed","ONS 5","All","All/Boys/Girls","75"
"London","Richmond upon Thames","E09000027","Mixed","ONS 5","All","All/Boys/Girls","77"
"London","Sutton","E09000029","Mixed","ONS 5","All","All/Boys/Girls","81"
"London","Waltham Forest","E09000031","Mixed","ONS 5","All","All/Boys/Girls","81"
"South East","Bracknell Forest","E06000036","Mixed","ONS 5","All","All/Boys/Girls","84"
"South East","Brighton and Hove","E06000043","Mixed","ONS 5","All","All/Boys/Girls","74"
"South East","Buckinghamshire","E10000002","Mixed","ONS 5","All","All/Boys/Girls","71"
"South East","East Sussex","E10000011","Mixed","ONS 5","All","All/Boys/Girls","75"
"South East","Hampshire","E10000014","Mixed","ONS 5","All","All/Boys/Girls","77"
"South East","Isle of Wight","E06000046","Mixed","ONS 5","All","All/Boys/Girls","73"
"South East","Kent","E10000016","Mixed","ONS 5","All","All/Boys/Girls","82"
"South East","Medway","E06000035","Mixed","ONS 5","All","All/Boys/Girls","79"
"South East","Milton Keynes","E06000042","Mixed","ONS 5","All","All/Boys/Girls","74"
"South East","Oxfordshire","E10000025","Mixed","ONS 5","All","All/Boys/Girls","71"
"South East","Portsmouth","E06000044","Mixed","ONS 5","All","All/Boys/Girls","71"
"South East","Reading","E06000038","Mixed","ONS 5","All","All/Boys/Girls","72"
"South East","Slough","E06000039","Mixed","ONS 5","All","All/Boys/Girls","74"
"South East","Southampton","E06000045","Mixed","ONS 5","All","All/Boys/Girls","75"
"South East","Surrey","E10000030","Mixed","ONS 5","All","All/Boys/Girls","78"
