"Title","Overall absence by ethnicity and local authority"
"Location","England"
"Time period","2015/16"
"Data source","Statistics: pupil absence"
"Data source link","https://www.gov.uk/government/collections/statistics-pupil-absence"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","18 May 2017"

"Standard Ethnicity","Local authority","%"
"Asian","Barking and Dagenham","4.6"
"Asian","Barnet","4.2"
"Asian","Barnsley","4.4"
"Asian","Bath and North East Somerset","4.9"
"Asian","Bedford","5.1"
"Asian","Bexley","3.5"
"Asian","Birmingham","5.2"
"Asian","Blackburn with Darwen","4.4"
"Asian","Blackpool","3.7"
"Asian","Bolton","4.0"
"Asian","Bournemouth","3.6"
"Asian","Bracknell Forest","3.5"
"Asian","Bradford","4.8"
"Asian","Brent","4.0"
"Asian","Brighton and Hove","5.1"
"Asian","Bristol, City of","5.7"
"Asian","Bromley","3.9"
"Asian","Buckinghamshire","5.4"
"Asian","Bury","5.3"
"Asian","Calderdale","4.3"
"Asian","Cambridgeshire","4.7"
"Asian","Camden","5.8"
"Asian","Central Bedfordshire","4.5"
"Asian","Cheshire East","4.5"
"Asian","Cheshire West and Chester","4.7"
"Asian","City of London","4.6"
"Asian","Cornwall","4.8"
"Asian","County Durham","4.3"
"Asian","Coventry","3.9"
"Asian","Croydon","4.6"
"Asian","Cumbria","4.5"
"Asian","Darlington","4.9"
"Asian","Derby","4.5"
"Asian","Derbyshire","4.2"
"Asian","Devon","4.1"
"Asian","Doncaster","4.7"
"Asian","Dorset","4.1"
"Asian","Dudley","4.9"
"Asian","Ealing","4.2"
"Asian","East Riding of Yorkshire","4.2"
"Asian","East Sussex","4.4"
"Asian","Enfield","4.7"
"Asian","Essex","4.1"
"Asian","Gateshead","4.5"
"Asian","Gloucestershire","4.5"
"Asian","Greenwich","4.1"
"Asian","Hackney","4.8"
"Asian","Halton","4.4"
"Asian","Hammersmith and Fulham","4.5"
"Asian","Hampshire","3.4"
"Asian","Haringey","5.1"
"Asian","Harrow","3.9"
