"Title","Persistent absence by ethnicity and local authority"
"Location","England"
"Time period","2015/16"
"Data source","Statistics: pupil absence"
"Data source link","https://www.gov.uk/government/collections/statistics-pupil-absence"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","18 May 2017"

"Standard Ethnicity","Local authority","%"
"Asian","Barking and Dagenham","9.5"
"Asian","Barnet","7.3"
"Asian","Barnsley","11.3"
"Asian","Bath and North East Somerset","11.7"
"Asian","Bedford","11.5"
"Asian","Bexley","4.5"
"Asian","Birmingham","11.8"
"Asian","Blackburn with Darwen","9.4"
"Asian","Blackpool","6.5"
"Asian","Bolton","7.6"
"Asian","Bournemouth","5.8"
"Asian","Bracknell Forest","5.3"
"Asian","Bradford","10.9"
"Asian","Brent","7.7"
"Asian","Brighton and Hove","12.5"
"Asian","Bristol, City of","15.6"
"Asian","Bromley","7.9"
"Asian","Buckinghamshire","13.5"
"Asian","Bury","12.0"
"Asian","Calderdale","8.4"
"Asian","Cambridgeshire","11.4"
"Asian","Camden","14.4"
"Asian","Central Bedfordshire","10.0"
"Asian","Cheshire East","9.9"
"Asian","Cheshire West and Chester","11.5"
"Asian","City of London","5.0"
"Asian","Cornwall","11.4"
"Asian","Coventry","7.1"
"Asian","Croydon","10.1"
"Asian","Cumbria","10.9"
"Asian","Darlington","10.6"
"Asian","Derby","9.6"
"Asian","Derbyshire","9.1"
"Asian","Devon","7.0"
"Asian","Doncaster","10.9"
"Asian","Dorset","9.9"
"Asian","Dudley","10.6"
"Asian","Durham","10.5"
"Asian","Ealing","8.7"
"Asian","East Riding of Yorkshire","9.0"
"Asian","East Sussex","9.8"
"Asian","Enfield","10.2"
"Asian","Essex","8.6"
"Asian","Gateshead","9.3"
"Asian","Gloucestershire","9.2"
"Asian","Greenwich","7.0"
"Asian","Hackney","9.5"
"Asian","Halton","14.3"
"Asian","Hammersmith and Fulham","10.7"
"Asian","Hampshire","5.8"
"Asian","Haringey","11.3"
"Asian","Harrow","6.6"
"Asian","Hartlepool","10.0"
"Asian","Havering","9.6"
"Asian","Herefordshire","11.0"
"Asian","Hertfordshire","8.9"
"Asian","Hillingdon","7.9"
"Asian","Hounslow","6.6"
"Asian","Isle of Wight","11.1"
"Asian","Isles of Scilly","!"
"Asian","Islington","10.1"
"Asian","Kensington and Chelsea","10.1"
"Asian","Kent","6.3"
"Asian","Kingston upon Hull, City of","9.5"
"Asian","Kingston upon Thames","7.4"
"Asian","Kirklees","12.4"
"Asian","Knowsley","4.7"
"Asian","Lambeth","10.2"
"Asian","Lancashire","10.7"
"Asian","Leeds","12.1"
"Asian","Leicester","8.0"
"Asian","Leicestershire","6.1"
"Asian","Lewisham","8.4"
"Asian","Lincolnshire","8.4"
"Asian","Liverpool","7.7"
"Asian","Luton","11.7"
"Asian","Manchester","9.2"
"Asian","Medway","7.6"
"Asian","Merton","7.8"
"Asian","Middlesbrough","10.7"
"Asian","Milton Keynes","10.0"
"Asian","Newcastle upon Tyne","9.4"
"Asian","Newham","9.9"
"Asian","Norfolk","10.8"
