"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Girls-Value","Girls-Denominator"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Wolverhampton","Local Authority","E08000031","All pupils","All pupils","22","1457","NA","NA","","15","718","29","739"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Worcestershire","Local Authority","E10000034","All pupils","All pupils","40","5183","NA","NA","","36","2615","44","2568"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Bedford","Local Authority","E06000055","All pupils","All pupils","33","1308","NA","NA","","28","666","39","642"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Cambridgeshire","Local Authority","E10000003","All pupils","All pupils","40","5139","NA","NA","","35","2596","45","2543"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Central Bedfordshire","Local Authority","E06000056","All pupils","All pupils","35","2376","NA","NA","","30","1172","40","1204"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Essex","Local Authority","E10000012","All pupils","All pupils","36","13142","NA","NA","","31","6723","42","6419"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Hertfordshire","Local Authority","E10000015","All pupils","All pupils","45","10336","NA","NA","","40","5354","49","4982"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Luton","Local Authority","E06000032","All pupils","All pupils","24","937","NA","NA","","25","496","24","441"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Norfolk","Local Authority","E10000020","All pupils","All pupils","35","7551","NA","NA","","30","3880","42","3671"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Peterborough","Local Authority","E06000031","All pupils","All pupils","36","1698","NA","NA","","29","841","43","857"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Southend-on-Sea","Local Authority","E06000033","All pupils","All pupils","37","1649","NA","NA","","33","813","42","836"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Suffolk","Local Authority","E10000029","All pupils","All pupils","30","6440","NA","NA","","26","3326","34","3114"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Thurrock","Local Authority","E06000034","All pupils","All pupils","40","1385","NA","NA","","36","700","44","685"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Camden","Local Authority","E09000007","All pupils","All pupils","49","549","NA","NA","","42","233","55","316"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","City of London","Local Authority","E09000001","All pupils","All pupils",".",".","NA","NA","Not applicable",".",".",".","."
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Hackney","Local Authority","E09000012","All pupils","All pupils","53","687","NA","NA","","52","302","55","385"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Hammersmith and Fulham","Local Authority","E09000013","All pupils","All pupils","68","624","NA","NA","","69","286","67","338"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Haringey","Local Authority","E09000014","All pupils","All pupils","41","1005","NA","NA","","36","510","47","495"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Islington","Local Authority","E09000019","All pupils","All pupils","40","506","NA","NA","","38","276","43","230"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Kensington and Chelsea","Local Authority","E09000020","All pupils","All pupils","55","297","NA","NA","","53","189","57","108"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Lambeth","Local Authority","E09000022","All pupils","All pupils","50","491","NA","NA","","45","263","56","228"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Lewisham","Local Authority","E09000023","All pupils","All pupils","42","698","NA","NA","","35","384","51","314"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Newham","Local Authority","E09000025","All pupils","All pupils","36","582","NA","NA","","34","298","38","284"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Southwark","Local Authority","E09000028","All pupils","All pupils","55","685","NA","NA","","51","328","59","357"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Tower Hamlets","Local Authority","E09000030","All pupils","All pupils","29","316","NA","NA","","28","169","31","147"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Wandsworth","Local Authority","E09000032","All pupils","All pupils","56","571","NA","NA","","49","287","64","284"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Westminster","Local Authority","E09000033","All pupils","All pupils","56","483","NA","NA","","39","197","68","286"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Barking and Dagenham","Local Authority","E09000002","All pupils","All pupils","33","1051","NA","NA","","29","533","38","518"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Barnet","Local Authority","E09000003","All pupils","All pupils","57","1835","NA","NA","","53","923","61","912"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Bexley","Local Authority","E09000004","All pupils","All pupils","37","2183","NA","NA","","34","1120","41","1063"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Brent","Local Authority","E09000005","All pupils","All pupils","49","579","NA","NA","","41","300","57","279"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Bromley","Local Authority","E09000006","All pupils","All pupils","52","2419","NA","NA","","42","1179","61","1240"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Croydon","Local Authority","E09000008","All pupils","All pupils","45","1534","NA","NA","","34","714","54","820"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Ealing","Local Authority","E09000009","All pupils","All pupils","61","826","NA","NA","","56","446","67","380"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Enfield","Local Authority","E09000010","All pupils","All pupils","54","1754","NA","NA","","48","890","60","864"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Greenwich","Local Authority","E09000011","All pupils","All pupils","41","1071","NA","NA","","36","511","45","560"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Harrow","Local Authority","E09000015","All pupils","All pupils","48","610","NA","NA","","41","303","54","307"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Havering","Local Authority","E09000016","All pupils","All pupils","47","2237","NA","NA","","45","1135","49","1102"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Hillingdon","Local Authority","E09000017","All pupils","All pupils","35","1479","NA","NA","","30","770","39","709"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Hounslow","Local Authority","E09000018","All pupils","All pupils","55","951","NA","NA","","54","448","56","503"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Kingston upon Thames","Local Authority","E09000021","All pupils","All pupils","56","871","NA","NA","","54","396","57","475"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Merton","Local Authority","E09000024","All pupils","All pupils","44","734","NA","NA","","38","372","51","362"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Redbridge","Local Authority","E09000026","All pupils","All pupils","35","903","NA","NA","","32","467","39","436"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Richmond upon Thames","Local Authority","E09000027","All pupils","All pupils","57","1025","NA","NA","","50","470","63","555"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Sutton","Local Authority","E09000029","All pupils","All pupils","44","1623","NA","NA","","39","851","51","772"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Waltham Forest","Local Authority","E09000031","All pupils","All pupils","39","969","NA","NA","","31","494","47","475"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Bracknell Forest","Local Authority","E06000036","All pupils","All pupils","37","946","NA","NA","","31","479","43","467"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Brighton and Hove","Local Authority","E06000043","All pupils","All pupils","38","1802","NA","NA","","35","903","41","899"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Buckinghamshire","Local Authority","E10000002","All pupils","All pupils","45","4220","NA","NA","","41","2106","49","2114"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","East Sussex","Local Authority","E10000011","All pupils","All pupils","34","4532","NA","NA","","31","2271","38","2261"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Hampshire","Local Authority","E10000014","All pupils","All pupils","41","12110","NA","NA","","36","6208","47","5902"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Isle of Wight","Local Authority","E06000046","All pupils","All pupils","28","1249","NA","NA","","22","638","34","611"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Kent","Local Authority","E10000016","All pupils","All pupils","42","14022","NA","NA","","36","7114","48","6908"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Medway","Local Authority","E06000035","All pupils","All pupils","35","2508","NA","NA","","34","1293","36","1215"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Milton Keynes","Local Authority","E06000042","All pupils","All pupils","41","1994","NA","NA","","36","997","47","997"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Oxfordshire","Local Authority","E10000025","All pupils","All pupils","38","5136","NA","NA","","30","2605","46","2531"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Portsmouth","Local Authority","E06000044","All pupils","All pupils","37","1515","NA","NA","","35","809","38","706"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Reading","Local Authority","E06000038","All pupils","All pupils","37","711","NA","NA","","37","411","38","300"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Slough","Local Authority","E06000039","All pupils","All pupils","39","497","NA","NA","","34","253","43","244"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Southampton","Local Authority","E06000045","All pupils","All pupils","38","1593","NA","NA","","33","798","44","795"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Surrey","Local Authority","E10000030","All pupils","All pupils","45","8958","NA","NA","","40","4588","51","4370"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","West Berkshire","Local Authority","E06000037","All pupils","All pupils","49","1704","NA","NA","","45","874","52","830"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","West Sussex","Local Authority","E10000032","All pupils","All pupils","41","7316","NA","NA","","35","3719","46","3597"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Windsor and Maidenhead","Local Authority","E06000040","All pupils","All pupils","43","1119","NA","NA","","37","586","50","533"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Wokingham","Local Authority","E06000041","All pupils","All pupils","53","1231","NA","NA","","45","633","62","598"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Bath and North East Somerset","Local Authority","E06000022","All pupils","All pupils","53","1863","NA","NA","","50","903","56","960"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Bournemouth","Local Authority","E06000028","All pupils","All pupils","41","1429","NA","NA","","37","733","45","696"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Bristol, City of","Local Authority","E06000023","All pupils","All pupils","32","2316","NA","NA","","26","1151","37","1165"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Cornwall","Local Authority","E06000052","All pupils","All pupils","33","5232","NA","NA","","27","2665","38","2567"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Devon","Local Authority","E10000008","All pupils","All pupils","43","6726","NA","NA","","38","3486","47","3240"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Dorset","Local Authority","E10000009","All pupils","All pupils","47","3933","NA","NA","","43","1996","50","1937"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Gloucestershire","Local Authority","E10000013","All pupils","All pupils","34","5882","NA","NA","","30","3043","39","2839"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Isles of Scilly","Local Authority","E06000053","All pupils","All pupils","x","21","NA","NA","Suppressed","x","11","x","10"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","North Somerset","Local Authority","E06000024","All pupils","All pupils","31","2043","NA","NA","","27","1039","35","1004"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Plymouth","Local Authority","E06000026","All pupils","All pupils","39","2489","NA","NA","","31","1273","47","1216"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Poole","Local Authority","E06000029","All pupils","All pupils","39","1338","NA","NA","","x","689","x","649"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Somerset","Local Authority","E10000027","All pupils","All pupils","36","4933","NA","NA","","30","2486","41","2447"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","South Gloucestershire","Local Authority","E06000025","All pupils","All pupils","33","2530","NA","NA","","31","1324","35","1206"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Swindon","Local Authority","E06000030","All pupils","All pupils","31","1756","NA","NA","","27","900","35","856"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Torbay","Local Authority","E06000027","All pupils","All pupils","x","1335","NA","NA","Suppressed","32","701","x","634"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Wiltshire","Local Authority","E06000054","All pupils","All pupils","41","4582","NA","NA","","37","2263","45","2319"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","County Durham","Local Authority","E06000047","All pupils","All pupils","62","42","NA","NA","","63","16","62","26"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Darlington","Local Authority","E06000005","All pupils","All pupils","47","15","NA","NA","","x","x","x","x"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Gateshead","Local Authority","E08000037","All pupils","All pupils","50","20","NA","NA","","46","11","56","9"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Hartlepool","Local Authority","E06000001","All pupils","All pupils","50","8","NA","NA","","x","x","x","x"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","25","53","NA","NA","","18","22","29","31"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","52","65","NA","NA","","42","31","62","34"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","North Tyneside","Local Authority","E08000022","All pupils","All pupils","51","35","NA","NA","","53","17","50","18"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Northumberland","Local Authority","E06000057","All pupils","All pupils","33","36","NA","NA","","43","14","27","22"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","45","20","NA","NA","","x","9","x","11"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","South Tyneside","Local Authority","E08000023","All pupils","All pupils","35","17","NA","NA","","x","11","x","6"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","44","25","NA","NA","","38","16","56","9"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Sunderland","Local Authority","E08000024","All pupils","All pupils","56","27","NA","NA","","25","12","80","15"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","33","61","NA","NA","","23","30","42","31"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Blackpool","Local Authority","E06000009","All pupils","All pupils","17","24","NA","NA","","x","12","x","12"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Bolton","Local Authority","E08000001","All pupils","All pupils","31","88","NA","NA","","15","46","48","42"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Bury","Local Authority","E08000002","All pupils","All pupils","49","101","NA","NA","","45","51","52","50"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Cheshire East","Local Authority","E06000049","All pupils","All pupils","36","93","NA","NA","","19","48","53","45"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","50","72","NA","NA","","45","38","56","34"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Cumbria","Local Authority","E10000006","All pupils","All pupils","43","53","NA","NA","","32","22","52","31"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Halton","Local Authority","E06000006","All pupils","All pupils","68","25","NA","NA","","77","13","58","12"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Knowsley","Local Authority","E08000011","All pupils","All pupils","x","21","NA","NA","Suppressed","x","11","x","10"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Lancashire","Local Authority","E10000017","All pupils","All pupils","34","277","NA","NA","","25","130","42","147"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Liverpool","Local Authority","E08000012","All pupils","All pupils","27","203","NA","NA","","23","104","30","99"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Manchester","Local Authority","E08000003","All pupils","All pupils","30","344","NA","NA","","25","175","34","169"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Oldham","Local Authority","E08000004","All pupils","All pupils","18","90","NA","NA","","24","38","14","52"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Rochdale","Local Authority","E08000005","All pupils","All pupils","34","83","NA","NA","","33","33","34","50"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Salford","Local Authority","E08000006","All pupils","All pupils","46","80","NA","NA","","44","45","49","35"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Sefton","Local Authority","E08000014","All pupils","All pupils","37","60","NA","NA","","32","28","41","32"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","St. Helens","Local Authority","E08000013","All pupils","All pupils","x","15","NA","NA","Suppressed","x","7","x","8"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Stockport","Local Authority","E08000007","All pupils","All pupils","48","105","NA","NA","","41","59","57","46"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Tameside","Local Authority","E08000008","All pupils","All pupils","28","74","NA","NA","","34","41","21","33"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Trafford","Local Authority","E08000009","All pupils","All pupils","50","132","NA","NA","","44","66","56","66"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Warrington","Local Authority","E06000007","All pupils","All pupils","34","35","NA","NA","","20","20","53","15"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Wigan","Local Authority","E08000010","All pupils","All pupils","36","66","NA","NA","","26","27","44","39"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Wirral","Local Authority","E08000015","All pupils","All pupils","52","69","NA","NA","","47","34","57","35"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Barnsley","Local Authority","E08000016","All pupils","All pupils","40","35","NA","NA","","x","17","x","18"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Bradford","Local Authority","E08000032","All pupils","All pupils","32","218","NA","NA","","26","103","37","115"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Calderdale","Local Authority","E08000033","All pupils","All pupils","29","93","NA","NA","","19","42","37","51"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Doncaster","Local Authority","E08000017","All pupils","All pupils","30","61","NA","NA","","17","30","42","31"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","28","46","NA","NA","","25","28","33","18"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Kingston upon Hull, City of","Local Authority","E06000010","All pupils","All pupils","41","44","NA","NA","","32","28","56","16"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Kirklees","Local Authority","E08000034","All pupils","All pupils","30","225","NA","NA","","23","118","37","107"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Leeds","Local Authority","E08000035","All pupils","All pupils","41","335","NA","NA","","40","172","42","163"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","North East Lincolnshire","Local Authority","E06000012","All pupils","All pupils","32","38","NA","NA","","28","25","39","13"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","North Lincolnshire","Local Authority","E06000013","All pupils","All pupils","37","19","NA","NA","","x","9","x","10"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","North Yorkshire","Local Authority","E10000023","All pupils","All pupils","43","124","NA","NA","","40","72","46","52"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Rotherham","Local Authority","E08000018","All pupils","All pupils","38","58","NA","NA","","33","33","44","25"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Sheffield","Local Authority","E08000019","All pupils","All pupils","40","265","NA","NA","","35","128","45","137"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Wakefield","Local Authority","E08000036","All pupils","All pupils","34","64","NA","NA","","26","27","41","37"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","York","Local Authority","E06000014","All pupils","All pupils","67","33","NA","NA","","53","17","81","16"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Derby","Local Authority","E06000015","All pupils","All pupils","36","166","NA","NA","","30","77","42","89"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Derbyshire","Local Authority","E10000007","All pupils","All pupils","28","161","NA","NA","","21","80","35","81"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Leicester","Local Authority","E06000016","All pupils","All pupils","29","210","NA","NA","","26","105","31","105"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Leicestershire","Local Authority","E10000018","All pupils","All pupils","36","246","NA","NA","","28","133","45","113"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Lincolnshire","Local Authority","E10000019","All pupils","All pupils","55","134","NA","NA","","x","73","x","61"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Northamptonshire","Local Authority","E10000021","All pupils","All pupils","39","327","NA","NA","","30","158","49","169"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Nottingham","Local Authority","E06000018","All pupils","All pupils","37","231","NA","NA","","30","118","45","113"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Nottinghamshire","Local Authority","E10000024","All pupils","All pupils","40","255","NA","NA","","28","134","52","121"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Rutland","Local Authority","E06000017","All pupils","All pupils","56","9","NA","NA","","x","4","x","5"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Birmingham","Local Authority","E08000025","All pupils","All pupils","41","834","NA","NA","","40","432","43","402"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Coventry","Local Authority","E08000026","All pupils","All pupils","39","181","NA","NA","","30","96","49","85"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Dudley","Local Authority","E08000027","All pupils","All pupils","28","183","NA","NA","","26","97","30","86"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Herefordshire, County of","Local Authority","E06000019","All pupils","All pupils","52","25","NA","NA","","56","16","44","9"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Sandwell","Local Authority","E08000028","All pupils","All pupils","21","223","NA","NA","","13","127","32","96"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Shropshire","Local Authority","E06000051","All pupils","All pupils","40","53","NA","NA","","42","31","36","22"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Solihull","Local Authority","E08000029","All pupils","All pupils","39","181","NA","NA","","36","95","43","86"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Staffordshire","Local Authority","E10000028","All pupils","All pupils","34","189","NA","NA","","23","90","43","99"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Stoke-on-Trent","Local Authority","E06000021","All pupils","All pupils","22","69","NA","NA","","19","36","24","33"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Telford and Wrekin","Local Authority","E06000020","All pupils","All pupils","47","70","NA","NA","","42","36","53","34"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Walsall","Local Authority","E08000030","All pupils","All pupils","34","155","NA","NA","","29","84","39","71"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Warwickshire","Local Authority","E10000031","All pupils","All pupils","46","187","NA","NA","","47","95","45","92"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Wolverhampton","Local Authority","E08000031","All pupils","All pupils","20","223","NA","NA","","11","105","28","118"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Worcestershire","Local Authority","E10000034","All pupils","All pupils","40","169","NA","NA","","36","93","46","76"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Bedford","Local Authority","E06000055","All pupils","All pupils","27","143","NA","NA","","23","69","31","74"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Cambridgeshire","Local Authority","E10000003","All pupils","All pupils","50","194","NA","NA","","40","103","62","91"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Central Bedfordshire","Local Authority","E06000056","All pupils","All pupils","38","103","NA","NA","","32","53","44","50"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Essex","Local Authority","E10000012","All pupils","All pupils","47","541","NA","NA","","44","268","50","273"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Hertfordshire","Local Authority","E10000015","All pupils","All pupils","46","702","NA","NA","","41","366","52","336"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Luton","Local Authority","E06000032","All pupils","All pupils","25","192","NA","NA","","22","90","28","102"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Norfolk","Local Authority","E10000020","All pupils","All pupils","35","178","NA","NA","","28","91","43","87"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Peterborough","Local Authority","E06000031","All pupils","All pupils","42","105","NA","NA","","33","55","52","50"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Southend-on-Sea","Local Authority","E06000033","All pupils","All pupils","44","91","NA","NA","","39","46","49","45"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Suffolk","Local Authority","E10000029","All pupils","All pupils","33","305","NA","NA","","33","133","33","172"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Thurrock","Local Authority","E06000034","All pupils","All pupils","51","61","NA","NA","","47","32","55","29"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Camden","Local Authority","E09000007","All pupils","All pupils","42","142","NA","NA","","28","60","52","82"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","City of London","Local Authority","E09000001","All pupils","All pupils",".",".","NA","NA","Not applicable",".",".",".","."
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Hackney","Local Authority","E09000012","All pupils","All pupils","51","193","NA","NA","","49","80","53","113"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Hammersmith and Fulham","Local Authority","E09000013","All pupils","All pupils","69","133","NA","NA","","62","71","77","62"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","Haringey","Local Authority","E09000014","All pupils","All pupils","43","253","NA","NA","","34","125","52","128"
