"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Girls-Value","Girls-Denominator"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bradford","Local Authority","E08000032","All pupils","All pupils","32","5859","NA","NA","","25","2923","39","2936"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Calderdale","Local Authority","E08000033","All pupils","All pupils","35","2524","NA","NA","","30","1295","41","1229"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Doncaster","Local Authority","E08000017","All pupils","All pupils","27","3026","NA","NA","","22","1535","33","1491"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","37","3346","NA","NA","","30","1673","44","1673"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Kingston upon Hull, City of","Local Authority","E06000010","All pupils","All pupils","40","2255","NA","NA","","40","1119","41","1136"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Kirklees","Local Authority","E08000034","All pupils","All pupils","36","4534","NA","NA","","30","2257","43","2277"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Leeds","Local Authority","E08000035","All pupils","All pupils","41","7483","NA","NA","","35","3854","47","3629"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","North East Lincolnshire","Local Authority","E06000012","All pupils","All pupils","35","1596","NA","NA","","29","799","41","797"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","North Lincolnshire","Local Authority","E06000013","All pupils","All pupils","33","1856","NA","NA","","28","955","38","901"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","North Yorkshire","Local Authority","E10000023","All pupils","All pupils","41","6188","NA","NA","","35","3226","48","2962"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Rotherham","Local Authority","E08000018","All pupils","All pupils","31","3335","NA","NA","","24","1656","38","1679"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Sheffield","Local Authority","E08000019","All pupils","All pupils","39","5242","NA","NA","","33","2725","46","2517"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Wakefield","Local Authority","E08000036","All pupils","All pupils","33","3645","NA","NA","","26","1887","40","1758"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","York","Local Authority","E06000014","All pupils","All pupils","56","1585","NA","NA","","52","808","61","777"
