"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, special education needs (SEN) and gender"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","SEN","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","GirlsValue","Girls-Denominator"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","No identified SEN","53","359608","NA","NA","","52","175039","54","184569"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All SEN","31","63150","NA","NA","","30","40314","33","22836"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","SEN Support","36","46589","NA","NA","","35","28116","37","18473"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","17","16561","NA","NA","","18","12198","15","4363"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","No identified SEN","54","19394","NA","NA","","52","9340","55","10054"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All SEN","32","3474","NA","NA","","31","2195","35","1279"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","SEN Support","37","2625","NA","NA","","35","1543","39","1082"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","18","849","NA","NA","","19","652","16","197"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","No identified SEN","55","45478","NA","NA","","53","23063","57","22415"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All SEN","31","5740","NA","NA","","31","3496","32","2244"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","SEN Support","37","4302","NA","NA","","36","2556","38","1746"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","15","1438","NA","NA","","16","940","14","498"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","No identified SEN","52","23590","NA","NA","","49","11183","54","12407"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All SEN","32","4333","NA","NA","","30","2728","35","1605"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","SEN Support","37","3281","NA","NA","","36","1959","39","1322"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","16","1052","NA","NA","","16","769","15","283"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","No identified SEN","64","1899","NA","NA","","62","954","66","945"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All SEN","41","126","NA","NA","","39","78","46","48"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","SEN Support","49","86","NA","NA","","46","48","53","38"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","25","40","NA","NA","","28","30","16","10"
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","No identified SEN","53","461072","NA","NA","","52","225149","55","235923"
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All SEN","31","78682","NA","NA","","30","49977","33","28705"
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","SEN Support","36","58279","NA","NA","","36","35056","37","23223"
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","17","20403","NA","NA","","18","14921","15","5482"
