"Title","EBacc achievement by ethnicity and area "
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","County Durham","Local Authority","E06000047","All pupils","All pupils","25","4979","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Darlington","Local Authority","E06000005","All pupils","All pupils","24","1139","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Gateshead","Local Authority","E08000037","All pupils","All pupils","25","1913","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Hartlepool","Local Authority","E06000001","All pupils","All pupils","14","1068","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","11","1464","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","24","2393","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","North Tyneside","Local Authority","E08000022","All pupils","All pupils","26","1945","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Northumberland","Local Authority","E06000057","All pupils","All pupils","19","3198","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","19","1620","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","South Tyneside","Local Authority","E08000023","All pupils","All pupils","21","1535","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","26","1994","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Sunderland","Local Authority","E08000024","All pupils","All pupils","21","2828","NA","NA",""
