"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and type of school"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","School Type","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","51","414528","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","51","22465","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","53","50515","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","50","27407","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","63","2008","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","50","145402","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","50","8130","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","52","21499","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","49","11496","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","61","591","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Academies and free schools","51","268711","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Academies and free schools","52","14288","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Academies and free schools","54","28983","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Academies and free schools","50","15874","NA","NA",""
