"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","50","2461","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","48","979","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","18+1 (Major)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","44","6544","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","40","1689","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","46","4086","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","42","769","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","18+1 (Major)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","59","130","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Other - Any other","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","46","2024","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","unclassified","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","37","977","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","All - England","All pupils","England","Country","E92000001","All pupils","Pupils eligible for free school meals","39","72528","NA","NA",""
