"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator"
"Average Attainment 8 score per pupil","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","All pupils","All pupils","50","422763"
"Average Attainment 8 score per pupil","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","50","395316"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","55","1774"
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy or Irish Traveller","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","29","122"
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","20","1107"
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","50","24444"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","All pupils","All pupils","51","22868"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","46","7160"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","50","2687"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","55","5089"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","52","7932"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","All pupils","All pupils","53","51218"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","57","14046"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","49","20434"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","52","8319"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","55","8419"
"Average Attainment 8 score per pupil","2016","Academic year","Black","18+1 (Major)","England","Country","E92000001","All pupils","All pupils","49","27924"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","45","7216"
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","50","17349"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","47","3359"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","18+1 (Major)","England","Country","E92000001","All pupils","All pupils","62","2026"
"Average Attainment 8 score per pupil","2016","Academic year","Other - Any other","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","50","8119"
"Average Attainment 8 score per pupil","2016","Academic year","unclassified","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","44","5771"
"Average Attainment 8 score per pupil","2016","Academic year","All - England","All pupils","England","Country","E92000001","All pupils","All pupils","50","540689"
