"Time","Ethnicity","%"
"2014","All","53.5"
"2014","Asian","40.7"
"2014","Chinese","55.1"
"2014","Black","38.9"
"2014","Mixed","51.2"
"2014","White","55.1"
"2014","Other","49.5"
"2015","All","52.3"
"2015","Asian","40.0"
"2015","Chinese","49.6"
"2015","Black","36.4"
"2015","Mixed","52.0"
"2015","White","53.9"
"2015","Other","46.7"
