"","2014","2015"
"Ethnicity","%","%"
"All","53.5","52.3"
"Asian","40.7","40.0"
"Chinese","55.1","49.6"
"Black","38.9","36.4"
"Mixed","51.2","52.0"
"White","55.1","53.9"
"Other","49.5","46.7"
