"Ethnicity","Socio-economic group","%","Social housing households ('000s)","All households ('000s)"
"White British","Higher managerial, administrative and professional occupations","5","373","7,758"
"White British","Intermediate occupations","13","496","3,850"
"White British","Routine and manual occupations","30","1,840","6,111"
"Other than White British","Higher managerial, administrative and professional occupations","10","157","1,531"
"Other than White British","Intermediate occupations","17","134","775"
"Other than White British","Routine and manual occupations","32","437","1,383"
