"","White British","","","Other than White British","",""
"Age group","%","Social housing households ('000s)","All households ('000s)","%","Social housing households ('000s)","All households ('000s)"
" 16 - 24","27","149","555","21","42","197"
" 25 - 34","17","398","2,359","15","148","976"
" 35 - 44","17","468","2,786","22","255","1,174"
" 45 - 54","16","602","3,724","25","204","829"
" 55 - 64","15","498","3,380","25","110","444"
" 65 or over","16","933","6,012","26","123","472"
