"Title","Households renting social housing by ethnicity and area"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"Ethnicity","Region","%","Social housing households ('000s)","All households ('000s)"
"White British","North East","23","247","1,086"
"White British","North West","17","476","2,748"
"White British","Yorkshire and the Humber","17","347","1,986"
"White British","East Midlands","15","256","1,695"
"White British","West Midlands","18","355","1,968"
"White British","East","15","339","2,197"
"White British","London","18","303","1,706"
"White British","South East","14","437","3,215"
"White British","South West","13","289","2,215"
"Other than White British","North East","27","17","61"
"Other than White British","North West","23","81","352"
"Other than White British","Yorkshire and the Humber","21","60","283"
"Other than White British","East Midlands","19","48","257"
"Other than White British","West Midlands","20","79","394"
"Other than White British","East","16","54","331"
"Other than White British","London","27","466","1,713"
"Other than White British","South East","10","51","516"
"Other than White British","South West","14","27","187"
