"Title"," Percentage of apprenticeship starts by ethnicity"
"Location","England"
"Time period","2002/03 to 2015/15"
"Data source","Number of apprenticeship starts, achievements, and participation"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value"
"All England apprenticeship starts","2002/03","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.1"
"All England apprenticeship starts","2002/03","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.5"
"All England apprenticeship starts","2002/03","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.1"
"All England apprenticeship starts","2002/03","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","93.8"
"All England apprenticeship starts","2002/03","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.6"
"All England apprenticeship starts","2002/03","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.9"
"All England apprenticeship starts","2003/04","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.2"
"All England apprenticeship starts","2003/04","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.5"
"All England apprenticeship starts","2003/04","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.2"
"All England apprenticeship starts","2003/04","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","94.1"
"All England apprenticeship starts","2003/04","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.3"
"All England apprenticeship starts","2003/04","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.8"
"All England apprenticeship starts","2004/05","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.5"
"All England apprenticeship starts","2004/05","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.5"
"All England apprenticeship starts","2004/05","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.3"
"All England apprenticeship starts","2004/05","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","93.4"
"All England apprenticeship starts","2004/05","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.4"
"All England apprenticeship starts","2004/05","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.9"
"All England apprenticeship starts","2005/06","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.3"
"All England apprenticeship starts","2005/06","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.3"
"All England apprenticeship starts","2005/06","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.3"
"All England apprenticeship starts","2005/06","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","93.8"
"All England apprenticeship starts","2005/06","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.4"
"All England apprenticeship starts","2005/06","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.8"
