"Title","Apprenticeship starts by ethnicity"
"Location","England"
"Time period","2002/03 to 2015/15"
"Data source","Number of apprenticeship starts, achievements, and participation"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value"," Denominator "
"All England apprenticeship starts","2002/03","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3510"," 3,510 "
"All England apprenticeship starts","2002/03","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2560"," 2,560 "
"All England apprenticeship starts","2002/03","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1770"," 1,770 "
"All England apprenticeship starts","2002/03","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","157270"," 157,270 "
"All England apprenticeship starts","2002/03","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1060"," 1,060 "
"All England apprenticeship starts","2002/03","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1520"," 1,520 "
"All England apprenticeship starts","2002/03","Academic Year","All England ","All England","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","167700"," 167,700 "
"All England apprenticeship starts","2003/04","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4210"," 4,210 "
"All England apprenticeship starts","2003/04","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2820"," 2,820 "
"All England apprenticeship starts","2003/04","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2260"," 2,260 "
"All England apprenticeship starts","2003/04","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","182140"," 182,140 "
"All England apprenticeship starts","2003/04","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","670"," 670 "
"All England apprenticeship starts","2003/04","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1460"," 1,460 "
"All England apprenticeship starts","2003/04","Academic Year","All England ","All England","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","193600"," 193,600 "
"All England apprenticeship starts","2004/05","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4660"," 4,660 "
"All England apprenticeship starts","2004/05","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2920"," 2,920 "
"All England apprenticeship starts","2004/05","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2460"," 2,460 "
"All England apprenticeship starts","2004/05","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","176450"," 176,450 "
"All England apprenticeship starts","2004/05","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","820"," 820 "
"All England apprenticeship starts","2004/05","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1720"," 1,720 "
"All England apprenticeship starts","2004/05","Academic Year","All England ","All England","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","189000"," 189,000 "
"All England apprenticeship starts","2005/06","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4100"," 4,100 "
"All England apprenticeship starts","2005/06","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2350"," 2,350 "
"All England apprenticeship starts","2005/06","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2310"," 2,310 "
"All England apprenticeship starts","2005/06","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","164120"," 164,120 "
"All England apprenticeship starts","2005/06","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","750"," 750 "
