"Title","Percentage of apprenticeships by ethnic group"
"Location","England"
"Time period","2008/09 to 2015/16"
"Data source","Apprenticeship participation and number of apprenticeship achievements and starts"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"Apprenticeship participation","2014/15","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.1","18300"
"Apprenticeship participation","2014/15","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","88.7","773400"
"Apprenticeship participation","2014/15","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.7","5900"
"Apprenticeship participation","2014/15","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.9","7600"
"Apprenticeship participation","2015/16","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4.3","38400"
"Apprenticeship participation","2015/16","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3.5","31500"
"Apprenticeship participation","2015/16","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2.1","19100"
"Apprenticeship participation","2015/16","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","88.0","791700"
"Apprenticeship participation","2015/16","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","0.7","6200"
"Apprenticeship participation","2015/16","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1.4","12500"
