"Title","Number of apprenticeships"
"Location","England"
"Time period","2002/03 - 2015/16"
"Data source","Apprenticeship participation and number of apprenticeship achievements and starts"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"Apprenticeship participation","2013/14","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","9100"
"Apprenticeship participation","2013/14","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","851500"
"Apprenticeship participation","2014/15","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","37000"
"Apprenticeship participation","2014/15","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","29500"
"Apprenticeship participation","2014/15","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","18300"
"Apprenticeship participation","2014/15","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","773400"
"Apprenticeship participation","2014/15","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","5900"
"Apprenticeship participation","2014/15","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","7600"
"Apprenticeship participation","2014/15","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","871800"
"Apprenticeship participation","2015/16","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","38400"
"Apprenticeship participation","2015/16","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","31500"
"Apprenticeship participation","2015/16","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","19100"
"Apprenticeship participation","2015/16","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","791700"
"Apprenticeship participation","2015/16","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","6200"
"Apprenticeship participation","2015/16","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","12500"
"Apprenticeship participation","2015/16","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","","899400"
