"Title","Government-funded learners in further education by ethnicity"
"Location","England"
"Time period","2002/03 - 2015/16"
"Data source","Further education and skills "
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value"
"Adult education students","2004/05","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","78290"
"Adult education students","2004/05","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","240040"
"Adult education students","2004/05","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","107760"
"Adult education students","2004/05","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4529830"
"Adult education students","2005/06","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","331740"
"Adult education students","2005/06","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","250040"
"Adult education students","2005/06","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","78360"
"Adult education students","2005/06","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","169950"
"Adult education students","2005/06","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","95650"
"Adult education students","2005/06","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3968180"
"Adult education students","2006/07","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","297530"
"Adult education students","2006/07","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","230010"
"Adult education students","2006/07","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","77000"
"Adult education students","2006/07","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","131450"
"Adult education students","2006/07","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","84790"
