"Title","Arrests by ethnicity and area"
"Location","England and Wales"
"Time period","2016/2017"
"Data source","Police powers and procedures England and Wales statistics"
"Data source link","https://www.gov.uk/government/collections/police-powers-and-procedures-england-and-wales"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","08/11/2017"

"Ethnicity","Police Force Area","Rate"," Number of arrests "
"Mixed","Suffolk","6","80"
"Mixed","Surrey","11","262"
"Mixed","Sussex","16","480"
"Mixed","Thames Valley","33"," 1,833 "
"Mixed","Warwickshire","23","186"
"Mixed","West Mercia","20","275"
"Mixed","West Midlands","20"," 1,959 "
"Mixed","West Yorkshire","27"," 1,318 "
"Mixed","Wiltshire","21","208"
"Mixed","All","26"," 25,196 "
"White","Avon & Somerset","15"," 22,432 "
"White","Bedfordshire","12"," 5,541 "
"White","Cambridgeshire","12"," 8,916 "
"White","Cheshire","12"," 12,421 "
"White","Cleveland","22"," 11,332 "
"White","Cumbria","15"," 7,293 "
"White","Derbyshire","12"," 11,365 "
"White","Devon & Cornwall","6"," 10,353 "
"White","Dorset","10"," 7,338 "
"White","Durham","15"," 8,788 "
"White","Dyfed-Powys","9"," 4,322 "
"White","Essex","4"," 6,896 "
"White","Gloucestershire","7"," 4,268 "
"White","Greater Manchester","11"," 23,964 "
"White","Gwent","10"," 5,353 "
"White","Hampshire","8"," 13,612 "
"White","Hertfordshire","11"," 10,290 "
"White","Humberside","13"," 11,596 "
"White","Kent","13"," 21,441 "
"White","Lancashire","13"," 17,737 "
"White","Leicestershire","10"," 7,807 "
"White","Lincolnshire","13"," 8,874 "
"White","London, City of"," N/A ","802"
"White","Merseyside","17"," 22,638 "
"White","Metropolitan Police","14"," 70,423 "
"White","Norfolk","5"," 3,784 "
"White","North Wales","16"," 11,025 "
"White","North Yorkshire","12"," 9,332 "
"White","Northamptonshire","11"," 7,014 "
"White","Northumbria","15"," 20,453 "
"White","Nottinghamshire","11"," 10,976 "
"White","South Wales","18"," 22,004 "
"White","South Yorkshire","10"," 11,992 "
"White","Staffordshire","12"," 12,725 "
"White","Suffolk","4"," 2,537 "
"White","Surrey","7"," 6,671 "
"White","Sussex","9"," 13,388 "
"White","Thames Valley","12"," 23,622 "
"White","Warwickshire","10"," 4,854 "
"White","West Mercia","11"," 12,376 "
"White","West Midlands","12"," 23,303 "
"White","West Yorkshire","15"," 28,062 "
"White","Wiltshire","11"," 7,313 "
"White","All","12"," 567,233 "
"Other inc Chinese","Avon & Somerset","15","228"
"Other inc Chinese","Bedfordshire","13","117"
"Other inc Chinese","Cambridgeshire","13","161"
"Other inc Chinese","Cheshire","14","74"
"Other inc Chinese","Cleveland","15","66"
"Other inc Chinese","Cumbria","42","68"
"Other inc Chinese","Derbyshire","20","146"
"Other inc Chinese","Devon & Cornwall","11","101"
"Other inc Chinese","Dorset","10","59"
"Other inc Chinese","Durham","19","57"
"Other inc Chinese","Dyfed-Powys","3","7"
"Other inc Chinese","Essex","5","77"
"Other inc Chinese","Gloucestershire","24","71"
"Other inc Chinese","Greater Manchester","10","550"
"Other inc Chinese","Gwent","16","57"
"Other inc Chinese","Hampshire","7","155"
"Other inc Chinese","Hertfordshire","8","130"
"Other inc Chinese","Humberside","9","64"
"Other inc Chinese","Kent","33","514"
"Other inc Chinese","Lancashire","4","43"
"Other inc Chinese","Leicestershire","7","139"
"Other inc Chinese","Lincolnshire","35","99"
"Other inc Chinese","London, City of"," N/A ","33"
"Other inc Chinese","Merseyside","15","319"
"Other inc Chinese","Metropolitan Police","15"," 5,972 "
"Other inc Chinese","Norfolk","12","64"
"Other inc Chinese","North Wales","16","70"
"Other inc Chinese","North Yorkshire","10","61"
"Other inc Chinese","Northamptonshire","18","99"
"Other inc Chinese","Northumbria","3","54"
"Other inc Chinese","Nottinghamshire","9","132"
"Other inc Chinese","South Wales","9","175"
"Other inc Chinese","South Yorkshire","7","176"
"Other inc Chinese","Staffordshire","21","157"
"Other inc Chinese","Suffolk","8","38"
"Other inc Chinese","Surrey","5","94"
"Other inc Chinese","Sussex","12","193"
"Other inc Chinese","Thames Valley","11","360"
"Other inc Chinese","Warwickshire","7","34"
"Other inc Chinese","West Mercia","14","82"
"Other inc Chinese","West Midlands","10","646"
"Other inc Chinese","West Yorkshire","10","318"
"Other inc Chinese","Wiltshire","11","43"
"Other inc Chinese","All","10"," 12,103 "
