"Ethnicity","Arrest rate per 1,000 "," Number of arrests "
"All","14"," 779,660 "
"Asian","14"," 51,730 "
"Black","38"," 71,609 "
"Mixed","26"," 25,196 "
"White","12"," 567,233 "
"Other inc Chinese","10"," 12,103 "
"Unknown"," N/A "," 51,789 "
