"Title","Arrests by ethnicity "
"Location","England and Wales"
"Time period","2016/17"
"Data source","Police powers and procedures England and Wales statistics"
"Data source link","https://www.gov.uk/government/collections/police-powers-and-procedures-england-and-wales"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","08/11/2017"

"Ethnicity","Arrest rate per 1,000 "," Number of arrests "
"All","14"," 779,660 "
"Asian","14"," 51,730 "
"Black","38"," 71,609 "
"Mixed","26"," 25,196 "
"White","12"," 567,233 "
"Other inc Chinese","10"," 12,103 "
"Unknown"," N/A "," 51,789 "
