"Title","Travel to school"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-01"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value","Denominator","Unweighted_Sample_Trips","Numerator","Unweighted_Sample_Trip_Time_mins","Weighted_Sample_Individuals_aged_5-16","Unweighted_Sample_Individuals_aged_5-16"
"Average trip time to school in minutes of children aged 5-16","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","18.7","80431","81224","1504800","1506745","12626","12996"
"Average trip time to school in minutes of children aged 5-16","2002-2006","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","18.3","5272","4975","96738","88085","790","765"
"Average trip time to school in minutes of children aged 5-16","2002-2006","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","27","2529","2595","68331","69642","376","389"
"Average trip time to school in minutes of children aged 5-16","2002-2006","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","21.2","2526","2473","53530","52175","373","370"
"Average trip time to school in minutes of children aged 5-16","2002-2006","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","22.3","1036","1002","23118","21970","157","158"
"Average trip time to school in minutes of children aged 5-16","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","18.3","68995","70117","1261653","1273688","10923","11308"
"Average trip time to school in minutes of children aged 5-16","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","18.7","82167","84210","1538658","1566704","12778","13316"
"Average trip time to school in minutes of children aged 5-16","2003-2007","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","17.6","5390","5275","94886","91877","801","806"
"Average trip time to school in minutes of children aged 5-16","2003-2007","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","25.6","2835","2930","72593","74861","425","440"
"Average trip time to school in minutes of children aged 5-16","2003-2007","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","21.3","2783","2817","59298","59586","408","417"
"Average trip time to school in minutes of children aged 5-16","2003-2007","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","22.2","956","950","21212","20974","143","148"
"Average trip time to school in minutes of children aged 5-16","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","18.4","70130","72176","1289241","1318221","10991","11495"
"Average trip time to school in minutes of children aged 5-16","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","18.8","80490","81990","1516380","1535658","12582","13043"
