"Title","Volunteering"
"Location","England"
"Time period","2016/17 to 2017/18"
"Data source","Department for Digital, Culture, Media and Sport"
"Data source link","https://www.gov.uk/government/collections/community-life-survey--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-03"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Number of respondents"
"Formal volunteering at least once a month","2016-17","Year","All","5+1","England","22","10256"
"Formal volunteering at least once a month","2016-17","Year","Asian","5+1","England","17","1111"
"Formal volunteering at least once a month","2016-17","Year","Black","5+1","England","25","360"
"Formal volunteering at least once a month","2016-17","Year","Mixed","5+1","England","16","467"
"Formal volunteering at least once a month","2016-17","Year","Other","5+1","England","23","163"
"Formal volunteering at least once a month","2016-17","Year","White","5+1","England","23","8022"
"Formal volunteering at least once a month","2017-18","Year","All","5+1","England","22","10217"
"Formal volunteering at least once a month","2017-18","Year","Asian","5+1","England","18","926"
"Formal volunteering at least once a month","2017-18","Year","Black","5+1","England","24","353"
"Formal volunteering at least once a month","2017-18","Year","Mixed","5+1","England","19","510"
"Formal volunteering at least once a month","2017-18","Year","Other","5+1","England","18","124"
"Formal volunteering at least once a month","2017-18","Year","White","5+1","England","23","8108"
