"","2016/17","","2017/18",""
"","%","Number of respondents","%","Number of respondents"
"All","22","10,256","22","10,217"
"Asian","17","1,111","18","926"
"Black","25","360","24","353"
"Mixed","16","467","19","510"
"White","23","8,022","23","8,108"
"Other","23","163","18","124"
