"Standard Ethnicity","Religious character","All","Boys","Girls"
"All","All state-funded mainstream schools","40","35","46"
"All","Church of England schools","42","38","46"
"All","Jewish schools","51","54","49"
"All","Muslim schools","68","60","71"
"All","No religious character","40","35","45"
"All","Other Christian faith schools","40","37","44"
"All","Roman Catholic schools","45","39","50"
"All","Sikh school","78","82","75"
"Asian","All state-funded mainstream schools","48","42","54"
"Asian","Church of England schools","49","46","53"
"Asian","Jewish schools","60","55","65"
"Asian","Muslim schools","69","60","73"
"Asian","No religious character","47","41","54"
"Asian","Other Christian faith schools","52","48","57"
"Asian","Roman Catholic schools","47","40","55"
"Asian","Sikh school","!","!","!"
"Black","All state-funded mainstream schools","44","37","51"
"Black","Church of England schools","47","41","54"
"Black","Jewish schools","69","!","!"
"Black","Muslim schools","59","60","58"
"Black","No religious character","43","35","50"
"Black","Other Christian faith schools","36","31","44"
"Black","Roman Catholic schools","48","43","52"
"Black","Sikh school","!","!","!"
"Chinese","All state-funded mainstream schools","63","57","70"
"Chinese","Church of England schools","65","64","67"
"Chinese","Jewish schools","!","!","!"
"Chinese","Muslim schools","N/A","N/A","N/A"
"Chinese","No religious character","64","57","71"
"Chinese","Other Christian faith schools","61","49","77"
"Chinese","Roman Catholic schools","57","44","67"
"Chinese","Sikh school","!","!","!"
"Mixed","All state-funded mainstream schools","43","38","48"
"Mixed","Church of England schools","45","41","48"
"Mixed","Jewish schools","48","50","47"
"Mixed","Muslim schools","56","!","!"
"Mixed","No religious character","42","37","48"
"Mixed","Other Christian faith schools","45","44","46"
"Mixed","Roman Catholic schools","46","41","50"
"Mixed","Sikh school","!","!","!"
"White","All state-funded mainstream schools","39","34","44"
"White","Church of England schools","41","37","45"
"White","Jewish schools","46","50","43"
"White","Muslim schools","!","N/A","!"
"White","No religious character","38","33","43"
"White","Other Christian faith schools","39","36","43"
"White","Roman Catholic schools","44","38","49"
"White","Sikh school","!","!","!"
