"Title","EBacc entry by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"","All","White","Mixed","Asian","Black","Chinese"
"Local authority","%","%","%","%","%","%"
"Tower Hamlets","46.1","29.4","27.9","52.7","43.6","50.0"
"Wandsworth","58.4","56.4","55.3","70.0","52.8","78.6"
"Westminster","48.6","55.9","48.5","45.2","43.5","61.1"
"Barking and Dagenham","35.2","33.0","24.8","40.7","38.7","!"
"Barnet","60.1","56.8","62.5","75.2","54.8","78.3"
"Bexley","43.5","37.2","42.9","60.9","58.8","72.5"
"Brent","54.6","48.7","52.5","63.1","44.3","!"
"Bromley","50.9","51.7","53.7","66.5","45.2","72.2"
"Croydon","44.6","44.7","46.7","55.2","43.5","76.2"
"Ealing","55.4","61.4","59.0","48.5","49.1","100.0"
"Enfield","54.8","54.0","56.2","70.0","50.1","80.0"
"Greenwich","47.3","40.6","50.5","60.9","52.2","66.7"
"Harrow","54.0","47.9","55.8","57.2","53.2","72.7"
"Havering","48.6","46.8","50.4","62.4","55.5","54.5"
"Hillingdon","42.2","34.6","40.8","57.5","41.6","41.7"
"Hounslow","57.2","54.9","65.2","67.7","53.5","!"
"Kingston upon Thames","60.7","55.7","64.3","74.6","45.2","69.6"
"Merton","42.2","44.3","40.0","48.6","31.1","!"
"Redbridge","43.0","35.3","37.8","51.3","32.0","70.0"
"Richmond upon Thames","56.9","56.9","63.7","56.3","47.9","66.7"
"Sutton","55.8","44.4","61.7","82.1","63.7","80.5"
"Waltham Forest","39.3","38.8","37.0","46.1","32.3","31.8"
"Bracknell Forest","37.8","36.9","51.0","24.4","53.8","!"
"Brighton and Hove","39.1","38.0","47.5","41.5","46.3","100.0"
"Buckinghamshire","44.3","44.7","40.7","43.6","34.1","66.7"
"East Sussex","34.6","34.4","38.6","45.0","35.5","55.6"
"Hampshire","41.2","40.9","43.4","52.6","43.5","62.9"
"Isle of Wight","28.4","28.2","44.4","25.0","N/A","!"
"Kent","43.3","41.7","54.7","62.9","53.8","67.2"
"Medway","37.1","35.3","39.2","58.0","44.0","72.7"
"Milton Keynes","44.3","41.0","46.0","54.9","54.4","46.7"
"Oxfordshire","37.9","37.6","38.2","42.9","31.7","42.3"
"Portsmouth","37.9","36.6","42.6","46.3","45.5","!"
"Reading","37.3","37.3","23.5","43.9","23.3","!"
"Slough","41.6","38.6","36.6","45.6","27.0","!"
"Southampton","40.3","38.4","35.8","55.7","42.9","!"
"Surrey","46.0","45.3","48.2","51.7","48.9","75.0"
"West Berkshire","48.0","48.7","46.7","54.0","32.0","66.7"
"West Sussex","41.0","40.5","46.5","50.6","34.2","50.0"
"Windsor and Maidenhead","44.1","43.3","51.5","46.6","34.5","62.5"
"Wokingham","53.3","53.2","48.3","57.2","46.7","!"
"Bath and North East Somerset","52.3","52.9","37.8","54.2","37.5","!"
"Bournemouth","42.9","41.1","53.4","67.5","41.2","!"
"Bristol, City of","32.0","31.5","34.0","36.8","24.1","33.3"
"Cornwall","32.8","32.7","38.4","33.3","33.3","!"
"Devon","42.7","42.6","38.9","61.5","50.0","76.9"
"Dorset","46.4","46.5","46.3","34.8","33.3","45.5"
"Gloucestershire","34.8","34.1","37.4","60.3","17.5","65.2"
"Isles of Scilly","!","!","N/A","N/A","N/A","N/A"
"North Somerset","31.6","31.0","47.0","40.6","20.0","!"
"Plymouth","39.8","38.9","48.8","72.0","50.0","61.5"
"Poole","!","39.1","40.4","61.3","!","!"
"Somerset","35.5","35.5","38.0","44.0","28.6","54.5"
"South Gloucestershire","32.7","32.8","28.4","40.3","25.6","!"
"Swindon","32.8","30.9","30.0","47.7","35.7","40.0"
"Torbay","32.0","!","42.5","50.0","!","!"
"Wiltshire","41.5","41.2","52.2","42.9","39.5","!"
