"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Local authority","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All - England","40","35","45","48","42","54","43","36","51","64","57","71","42","37","48","38","33","44"
"Barking and Dagenham","35","28","42","41","30","52","39","29","47","!","!","!","25","21","28","33","29","38"
"Barnet","60","57","63","75","76","74","55","50","59","78","71","84","63","61","64","57","53","61"
"Barnsley","29","25","33","!","!","!","33","!","!","N/A","N/A","N/A","40","!","!","29","25","33"
"Bath and North East Somerset","52","50","55","54","58","50","38","36","40","!","!","!","38","37","39","53","50","56"
"Bedford","31","26","37","27","19","35","28","19","36","!","!","!","27","23","31","33","28","39"
"Bexley","44","38","49","61","52","71","59","46","72","73","68","78","43","38","49","37","34","41"
"Birmingham","42","36","49","44","37","51","39","27","50","67","48","83","41","40","43","40","35","46"
"Blackburn with Darwen","35","30","41","48","38","58","20","!","!","!","!","N/A","33","23","42","26","23","28"
"Blackpool","19","14","23","32","!","!","33","!","!","!","!","!","17","!","!","18","14","23"
"Bolton","33","28","39","58","47","70","38","32","43","57","!","!","31","15","48","26","23","30"
"Bournemouth","43","39","47","68","69","64","41","50","36","!","!","!","53","48","61","41","37","45"
"Bracknell Forest","38","32","44","24","!","!","54","46","62","!","!","!","51","56","46","37","31","43"
"Bradford","32","25","39","34","26","42","31","21","41","!","N/A","!","32","26","37","31","25","38"
"Brent","55","49","61","63","57","69","44","40","49","!","!","!","53","42","65","49","41","57"
"Brighton and Hove","39","36","42","42","41","42","46","41","53","100","!","!","48","45","51","38","35","41"
"Bristol, City of","32","26","38","37","24","51","24","17","30","33","!","!","34","27","42","32","26","37"
"Bromley","51","42","59","67","60","73","45","33","55","72","!","!","54","52","55","52","42","61"
"Buckinghamshire","44","40","48","44","39","49","34","27","41","67","!","!","41","38","44","45","41","49"
"Bury","48","46","51","48","48","48","50","35","69","!","!","!","49","45","52","48","46","51"
"Calderdale","35","30","41","35","30","39","40","25","63","!","!","!","29","19","37","36","30","41"
"Cambridgeshire","41","36","47","55","47","64","36","28","46","77","59","100","50","40","62","40","35","45"
"Camden","46","39","51","45","42","48","40","35","43","!","!","!","42","28","52","49","42","55"
"Central Bedfordshire","36","30","42","59","46","73","61","52","70","50","!","!","38","32","44","35","30","40"
"Cheshire East","39","30","47","39","35","42","!","!","!","60","!","!","36","19","53","39","30","47"
"Cheshire West and Chester","47","42","52","38","33","42","42","!","!","63","!","!","50","45","56","47","42","52"
"City of London","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cornwall","33","28","38","33","!","!","33","!","!","!","!","!","38","36","41","33","27","38"
"County Durham","42","37","47","76","82","69","50","!","!","!","!","!","62","63","62","42","36","47"
"Coventry","40","33","46","49","41","58","46","41","51","67","!","!","39","30","49","36","31","42"
"Croydon","45","35","54","55","48","63","44","34","54","76","!","!","47","39","52","45","34","54"
"Cumbria","37","32","42","39","29","47","46","!","!","67","100","50","43","32","52","37","32","41"
"Darlington","38","34","43","43","38","46","!","!","N/A","!","N/A","!","47","!","!","38","34","42"
"Derby","33","28","38","44","38","49","22","15","28","50","!","!","36","30","42","31","26","35"
"Derbyshire","31","26","36","39","!","!","!","!","!","36","!","!","28","21","35","31","25","36"
"Devon","43","38","47","62","57","67","50","43","57","77","!","!","39","37","41","43","38","47"
"Doncaster","27","22","33","29","26","31","43","41","44","60","!","!","30","17","42","27","22","33"
"Dorset","46","43","50","35","29","41","33","!","!","46","!","!","46","48","43","47","43","50"
"Dudley","33","29","38","34","25","44","43","36","50","!","!","!","28","26","30","33","29","37"
"Ealing","55","50","61","49","42","56","49","44","54","100","N/A","100","59","53","64","61","56","67"
"East Riding of Yorkshire","37","30","44","58","!","!","!","!","!","!","!","!","28","25","33","37","29","44"
"East Sussex","35","30","39","45","40","52","36","!","!","56","!","!","39","32","45","34","31","38"
"Enfield","55","49","61","70","65","76","50","46","54","80","!","!","56","48","66","54","48","60"
"Essex","38","33","43","71","62","81","55","47","62","63","60","65","47","44","50","36","31","42"
"Gateshead","41","36","46","60","!","!","36","!","!","!","!","!","50","46","56","40","35","45"
"Gloucestershire","35","31","39","60","57","65","18","11","26","65","!","!","37","32","42","34","30","39"
"Greenwich","47","43","52","61","63","59","52","47","58","67","62","73","51","43","57","41","36","45"
"Hackney","53","48","56","61","60","63","49","38","57","67","!","!","51","49","53","53","52","55"
"Halton","58","53","62","!","!","N/A","!","!","!","N/A","N/A","N/A","68","77","58","57","52","62"
"Hammersmith and Fulham","65","62","67","66","60","72","55","53","58","50","!","!","69","62","77","68","69","67"
"Hampshire","41","36","47","53","47","60","44","34","55","63","62","67","43","38","50","41","36","47"
"Haringey","39","32","46","48","41","54","30","23","38","25","!","!","43","34","52","41","36","47"
"Harrow","54","45","63","57","48","68","53","44","62","73","!","!","56","47","63","48","41","54"
