"Measure","Measure name","year","level","country_code","country_name","school_type","characteristic_desc","characteristic_1","Ethnicity","characteristic_2","headcount","num_excl","Value"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Any_other_Asian_background","Asian - Any other","Total","120350","40","0.03"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Any_other_black_background","Black - Any other","Total","49820","65","0.13"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Any_Other_Ethnic_Group","Other - Any other","Total","119415","90","0.07"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Any_other_Mixed_background","Mixed - Any other","Total","130410","150","0.11"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Any_other_white_background","White - Any other","Total","387405","205","0.05"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Asian_Total","Asian","Total","726265","315","0.04"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Bangladeshi","Asian - Bangladeshi","Total","116880","45","0.04"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Black_African","Black - African","Total","253440","230","0.09"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Black_Caribbean","Black - Caribbean","Total","85255","245","0.29"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Black_Total","Black","Total","388520","540","0.14"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Chinese","Chinese","Total","28905","5","0.01"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Gypsy_Roma","White - Gypsy/Roma","Total","20345","65","0.33"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Indian","Asian- Indian","Total","196290","30","0.02"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Irish","Irish","Total","21060","20","0.09"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Minority_Ethnic_Groups","All ethnic minorities","Total","2059410","1785","0.09"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_missing_unknown","Unknown","Total","68365","110","0.16"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Mixed_Total","Mixed","Total","362575","520","0.14"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Pakistani","Asian - Pakistani","Total","292745","195","0.07"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Traveller_of_Irish_heritage","White - Traveller of Irish Heritage","Total","4915","25","0.49"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_White_and_Asian","Mixed - White and Asian","Total","84035","70","0.08"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_White_and_Black_African","Mixed - White and Black African","Total","47375","55","0.12"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_White_and_Black_Caribbean","Mixed - White and Black Caribbean","Total","100755","250","0.25"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_White_British","White British","Total","4811695","4740","0.1"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_White_Total","White","Total","5245420","5055","0.1"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Any_other_Asian_background","Asian - Any other","Total","65175","5","0.01"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Any_other_black_background","Black - Any other","Total","27620","10","0.04"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Any_Other_Ethnic_Group","Other - Any other","Total","66530","10","0.02"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Any_other_Mixed_background","Mixed - Any other","Total","75675","25","0.03"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Any_other_white_background","White - Any other","Total","231340","25","0.01"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Asian_Total","Asian","Total","388370","10","0"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Bangladeshi","Asian - Bangladeshi","Total","60785","!","!"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Black_African","Black - African","Total","139615","20","0.02"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Black_Caribbean","Black - Caribbean","Total","40940","45","0.11"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Black_Total","Black","Total","208175","75","0.04"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Chinese","Chinese","Total","15830","!","!"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Gypsy_Roma","White - Gypsy/Roma","Total","13130","10","0.08"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Indian","Asian- Indian","Total","103825","!","!"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Irish","Irish","Total","10035","!","!"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Minority_Ethnic_Groups","All ethnic minorities","Total","1146100","250","0.02"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_missing_unknown","Unknown","Total","26480","10","0.04"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Mixed_Total","Mixed","Total","209030","105","0.05"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Pakistani","Asian - Pakistani","Total","158585","5","0"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Traveller_of_Irish_heritage","White - Traveller of Irish Heritage","Total","3660","5","0.16"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_White_and_Asian","Mixed - White and Asian","Total","48880","10","0.02"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_White_and_Black_African","Mixed - White and Black African","Total","28715","15","0.06"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_White_and_Black_Caribbean","Mixed - White and Black Caribbean","Total","55765","55","0.1"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_White_British","White British","Total","2483505","835","0.03"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_White_Total","White","Total","2741665","880","0.03"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Any_other_Asian_background","Asian - Any other","Total","53570","35","0.07"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Any_other_black_background","Black - Any other","Total","21130","55","0.25"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Any_Other_Ethnic_Group","Other - Any other","Total","51400","75","0.15"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Any_other_Mixed_background","Mixed - Any other","Total","52695","120","0.23"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Any_other_white_background","White - Any other","Total","152720","180","0.12"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Asian_Total","Asian","Total","328425","300","0.09"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Bangladeshi","Asian - Bangladeshi","Total","54550","45","0.08"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Black_African","Black - African","Total","109750","205","0.19"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Black_Caribbean","Black - Caribbean","Total","42765","195","0.45"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Black_Total","Black","Total","173645","455","0.26"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Chinese","Chinese","Total","12765","!","!"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Gypsy_Roma","White - Gypsy/Roma","Total","6890","55","0.83"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Indian","Asian- Indian","Total","90720","30","0.03"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Irish","Irish","Total","10755","15","0.15"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Minority_Ethnic_Groups","All ethnic minorities","Total","885965","1505","0.17"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_missing_unknown","Unknown","Total","40410","100","0.25"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Mixed_Total","Mixed","Total","148220","405","0.27"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Pakistani","Asian - Pakistani","Total","129585","190","0.15"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Traveller_of_Irish_heritage","White - Traveller of Irish Heritage","Total","1145","15","1.49"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_White_and_Asian","Mixed - White and Asian","Total","34220","55","0.17"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_White_and_Black_African","Mixed - White and Black African","Total","17995","40","0.21"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_White_and_Black_Caribbean","Mixed - White and Black Caribbean","Total","43305","190","0.44"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_White_British","White British","Total","2255295","3840","0.17"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_White_Total","White","Total","2426805","4110","0.17"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Any_other_Asian_background","Asian - Any other","Total","1605","!","!"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Any_other_black_background","Black - Any other","Total","1070","0","0"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Any_Other_Ethnic_Group","Other - Any other","Total","1485","!","!"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Any_other_Mixed_background","Mixed - Any other","Total","2040","5","0.2"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Any_other_white_background","White - Any other","Total","3340","!","!"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Asian_Total","Asian","Total","9470","5","0.04"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Bangladeshi","Asian - Bangladeshi","Total","1545","0","0"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Black_African","Black - African","Total","4075","5","0.07"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Black_Caribbean","Black - Caribbean","Total","1555","5","0.39"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Black_Total","Black","Total","6700","10","0.13"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Chinese","Chinese","Total","310","0","0"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Gypsy_Roma","White - Gypsy/Roma","Total","325","0","0"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Indian","Asian- Indian","Total","1745","0","0"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Irish","Irish","Total","275","0","0"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Minority_Ethnic_Groups","All ethnic minorities","Total","27345","25","0.1"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_missing_unknown","Unknown","Total","1475","!","!"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Mixed_Total","Mixed","Total","5325","10","0.17"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Pakistani","Asian - Pakistani","Total","4575","5","0.07"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Traveller_of_Irish_heritage","White - Traveller of Irish Heritage","Total","110","!","!"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_White_and_Asian","Mixed - White and Asian","Total","935","0","0"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_White_and_Black_African","Mixed - White and Black African","Total","665","!","!"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_White_and_Black_Caribbean","Mixed - White and Black Caribbean","Total","1685","5","0.24"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_White_British","White British","Total","72895","65","0.09"
"Permanent exclusion","Permanent exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_White_Total","White","Total","76950","65","0.09"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Any_other_Asian_background","Asian - Any other","Total","120350","1695","1.41"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Any_other_black_background","Black - Any other","Total","49820","3090","6.2"
