"","Asian","Black","Chinese","Mixed","White","Other"
"Local authority","%","%","%","%","%","%"
"Barking and Dagenham","!","0.08","0.00","!","0.05","0.00"
"Barnet","!","0.12","0.00","0.06","0.05","0.08"
"Barnsley","0.00","0.00","0.00","0.00","0.07","0.00"
"Bath and North East Somerset","0.00","!","0.00","0.39","0.06","0.00"
"Bedford","0.14","0.31","0.00","0.37","0.19","0.00"
"Bexley","0.00","0.08","0.00","!","0.11","!"
"Birmingham","0.09","0.24","!","0.28","0.17","0.04"
"Blackburn with Darwen","0.00","0.00","0.00","0.00","0.03","0.00"
"Blackpool","0.00","0.00","0.00","0.00","0.15","0.00"
"Bolton","0.05","0.21","0.00","0.20","0.12","!"
"Bournemouth","0.00","0.00","0.00","0.00","0.16","!"
"Bracknell Forest","0.00","0.00","0.00","0.00","!","0.00"
"Bradford","0.01","!","0.00","!","0.02","0.00"
"Brent","0.00","0.32","0.00","0.10","0.07","0.12"
"Brighton and Hove","0.00","0.00","0.00","!","0.04","0.00"
"Bristol City of","0.00","0.12","0.00","!","0.17","0.00"
"Bromley","0.00","0.16","0.00","0.14","0.08","!"
"Buckinghamshire","0.14","0.42","0.00","0.40","0.12","0.00"
"Bury","!","!","0.00","0.54","0.23","!"
"Calderdale","!","0.00","0.00","0.34","0.10","0.00"
"Cambridgeshire","0.00","0.00","0.00","0.00","0.00","0.00"
"Camden","!","0.22","0.00","0.31","0.13","!"
"Central Bedfordshire","0.00","!","0.00","0.16","0.06","0.00"
"Cheshire East","0.00","0.00","0.00","0.28","0.08","0.00"
"Cheshire West and Chester","0.00","0.00","0.00","!","0.06","0.00"
"City of London","0.00","0.00","!","0.00","0.00","0.00"
"Cornwall","0.00","0.00","!","!","0.11","!"
"Coventry","0.00","0.08","0.00","0.14","0.10","0.00"
"Croydon","0.04","0.08","0.00","0.07","0.02","0.00"
"Cumbria","0.00","0.00","0.00","0.00","0.08","0.00"
"Darlington","0.00","0.00","0.00","0.00","0.00","0.00"
"Derby","0.08","!","0.00","0.29","0.12","0.00"
"Derbyshire","0.00","!","0.00","0.26","0.10","0.00"
"Devon","0.00","0.00","0.00","0.23","0.10","!"
"Doncaster","0.00","0.00","0.00","0.00","0.01","0.00"
"Dorset","0.00","0.00","0.00","!","0.03","0.00"
"Dudley","!","0.60","0.00","0.41","0.20","!"
"Durham","0.00","0.00","0.00","0.00","0.09","0.00"
"Ealing","0.03","0.28","0.00","0.37","0.12","0.20"
"East Riding of Yorkshire","0.00","!","0.00","0.00","0.05","0.00"
"East Sussex","!","0.00","0.00","0.20","0.15","0.00"
"Enfield","!","0.22","0.00","0.08","0.09","!"
"Essex","!","!","0.00","0.04","0.04","0.00"
"Gateshead","!","0.00","0.00","0.00","0.27","!"
"Gloucestershire","!","!","0.00","0.30","0.17","!"
"Greenwich","0.00","0.03","0.00","0.12","0.03","!"
"Hackney","0.08","0.14","0.00","0.18","!","!"
"Halton","0.00","0.00","0.00","0.00","0.11","0.00"
"Hammersmith and Fulham","!","!","0.00","0.20","0.12","!"
"Hampshire","0.00","0.00","0.00","0.08","0.03","!"
"Haringey","0.00","0.08","!","0.17","0.06","!"
"Harrow","0.02","0.14","0.00","0.24","0.12","!"
"Hartlepool","0.00","0.00","0.00","0.00","0.10","0.00"
"Havering","0.00","0.15","0.00","0.39","0.06","0.00"
"Herefordshire","0.00","0.00","0.00","0.00","0.06","0.00"
"Hertfordshire","!","0.08","0.00","0.06","0.04","!"
"Hillingdon","0.03","0.13","0.00","0.10","0.13","!"
"Hounslow","0.03","0.18","0.00","0.13","0.13","!"
"Isle of Wight","0.00","0.00","0.00","0.00","0.05","0.00"
"Isles Of Scilly","!","!","!","0.00","0.00","!"
"Islington","!","0.19","0.00","!","0.16","!"
"Kensington and Chelsea","0.00","0.26","0.00","!","!","0.16"
"Kent","0.04","0.06","0.00","!","0.03","0.00"
"Kingston upon Hull City of","0.00","0.00","0.00","0.00","0.11","0.00"
"Kingston upon Thames","!","!","0.00","0.00","!","0.00"
"Kirklees","0.04","!","0.00","0.23","0.08","0.00"
"Knowsley","0.00","0.00","0.00","!","0.02","0.00"
"Lambeth","0.00","0.16","0.00","0.15","0.04","!"
"Lancashire","0.10","!","0.00","0.19","0.21","!"
"Leeds","0.00","0.05","0.00","!","0.03","!"
"Leicester","!","!","0.00","!","0.06","!"
"Leicestershire","0.00","0.00","0.00","!","0.02","0.00"
"Lewisham","!","0.32","0.00","0.23","0.12","!"
"Lincolnshire","!","0.00","0.00","0.13","0.16","0.00"
"Liverpool","0.00","0.29","0.00","0.20","0.17","0.25"
"Luton","0.06","0.13","0.00","0.14","0.08","0.00"
"Manchester","0.02","0.10","0.00","0.20","0.16","0.07"
"Medway","!","!","0.00","0.18","0.23","0.00"
"Merton","0.00","0.08","0.00","0.13","0.10","0.00"
"Middlesbrough","0.14","0.00","0.00","!","0.20","0.00"
"Milton Keynes","!","0.06","0.00","0.00","0.08","0.00"
"Newcastle upon Tyne","0.00","!","0.00","!","0.06","0.00"
"Newham","0.04","0.08","0.00","!","0.07","!"
"Norfolk","0.00","0.35","0.00","0.26","0.25","!"
"North East Lincolnshire","0.00","0.00","0.00","!","0.29","0.00"
"North Lincolnshire","0.00","0.00","0.00","0.00","0.12","0.00"
"North Somerset","0.00","0.00","0.00","!","0.14","0.00"
"North Tyneside","0.00","0.00","0.00","0.00","0.07","!"
"North Yorkshire","!","0.00","0.00","0.00","0.09","0.00"
"Northamptonshire","!","!","0.00","!","0.10","0.00"
"Northumberland","0.00","0.00","0.00","!","0.09","0.00"
"Nottingham","0.06","0.10","0.00","0.28","0.29","0.43"
"Nottinghamshire","0.00","!","0.00","0.07","0.03","0.00"
"Oldham","0.17","!","0.00","0.33","0.22","0.00"
"Oxfordshire","0.06","0.15","0.00","0.08","0.05","0.00"
"Peterborough","0.05","0.00","0.00","0.17","0.08","0.00"
