"Title","Average fuel poverty gap by ethnicity over time"
"Location","England"
"Time period","2003 to 2015"
"Data source","Fuel poverty statistics"
"Data source link","https://www.gov.uk/government/collections/fuel-poverty-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","June 2017"

"Ethnicity","Year","£"
"White","2003","229"
"White","2004","236"
"White","2005","260"
"White","2006","334"
"White","2007","333"
"White","2008","345"
"White","2009","368"
"White","2010","370"
"White","2011","407"
"White","2012","407"
"White","2013","380"
"White","2014","377"
"White","2015","358"
"Other","2003","219"
"Other","2004","228"
"Other","2005","212"
"Other","2006","271"
"Other","2007","276"
"Other","2008","304"
"Other","2009","304"
"Other","2010","281"
"Other","2011","298"
"Other","2012","324"
"Other","2013","391"
"Other","2014","358"
"Other","2015","331"
