"Title","Individuals accessing Start Up Loans "
"Location","United Kingdom"
"Time period","2013 to 2016"
"Data source","Start Up Loans Company administrative data"
"Data source link","https://www.startuploans.co.uk/inspired/?gclid=EAIaIQobChMIr5uks6iL1wIVRrobCh13wA31EAAYASAAEgK6zPD_BwE"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"","2013","","2014","","2015","","2016",""
"Ethnicity","Loans per 10,000","New Loans","Loans per 10,000","New Loans","Loans per 10,000","New Loans","Loans per 10,000","New Loans"
"All","3.3","10,366","4.6","14,765","3.0","9,784","2.8","9,095"
"Asian","3.1","594","2.8","566","1.7","344","1.8","386"
"Black","26.9","2,301","15.9","1,401","8.2","796","7.0","691"
"Mixed","14.0","437","24.9","809","14.0","458","10.0","357"
"White","2.3","6,554","3.9","11,134","2.6","7,522","2.4","6,939"
"Other","0.6","27","4.5","213","4.4","212","2.7","138"
